C0 (5153 genes)	C1 (2395 genes)	C2 (1526 genes)	C3 (4699 genes)
Genes	Genes	Genes	Genes
Pdum_DN10000_c0_g1_i10	Pdum_DN10017_c1_g1_i5	Pdum_DN10005_c0_g1_i2	Pdum_DN10034_c0_g1_i9
Pdum_DN10005_c0_g1_i17	Pdum_DN1010_c0_g2_i1	Pdum_DN10023_c0_g1_i17	Pdum_DN10040_c0_g1_i14
Pdum_DN10005_c0_g1_i27	Pdum_DN10115_c0_g1_i33	Pdum_DN10030_c0_g2_i5	Pdum_DN1005_c1_g1_i15
Pdum_DN10021_c0_g1_i2	Pdum_DN10122_c0_g1_i18	Pdum_DN10142_c0_g1_i7	Pdum_DN10061_c0_g1_i25
Pdum_DN10025_c0_g1_i10	Pdum_DN10127_c0_g1_i16	Pdum_DN1014_c0_g1_i3	Pdum_DN10061_c0_g1_i8
Pdum_DN10025_c0_g1_i14	Pdum_DN1015_c0_g1_i26	Pdum_DN10157_c0_g3_i5	Pdum_DN10085_c0_g1_i3
Pdum_DN10025_c0_g1_i8	Pdum_DN1015_c0_g2_i2	Pdum_DN1024_c0_g1_i12	Pdum_DN10183_c0_g1_i5
Pdum_DN1002_c0_g1_i30	Pdum_DN10175_c0_g1_i3	Pdum_DN10286_c0_g1_i2	Pdum_DN1020_c0_g2_i6
Pdum_DN10033_c0_g1_i25	Pdum_DN1018_c0_g1_i12	Pdum_DN10303_c0_g1_i6	Pdum_DN10219_c0_g1_i13
Pdum_DN10036_c0_g1_i18	Pdum_DN1019_c0_g1_i18	Pdum_DN1033_c0_g1_i7	Pdum_DN10231_c0_g1_i6
Pdum_DN10058_c0_g1_i29	Pdum_DN101_c0_g1_i3	Pdum_DN10342_c0_g1_i2	Pdum_DN102403_c0_g1_i2
Pdum_DN10063_c0_g1_i14	Pdum_DN10284_c0_g2_i1	Pdum_DN10346_c0_g1_i6	Pdum_DN10273_c0_g1_i10
Pdum_DN10066_c0_g1_i11	Pdum_DN10307_c1_g1_i11	Pdum_DN10392_c0_g1_i26	Pdum_DN10275_c0_g1_i8
