Starting data and time	Tuesday 09 May 2023 (07:10:35)
Ending date and time	Tuesday 09 May 2023 (07:54:13)
Time consumed	0 hours, 43 minutes, and 38 seconds
Number of datasets	1
Total number of input genes	45276
Genes included in the analysis	44682
Genes filtered out from the analysis	594
Number of clusters	8
Total number of genes in clusters	22311
Genes not included in any cluster	22371
Min cluster size	1253
Max cluster size	5253
Average cluster size	2788.875
Number of samples (including replicates)	12
Number of conditions	6
