GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0044281	small molecule metabolic process	4525	180	100.35	2.7e-18
GO:0043436	oxoacid metabolic process	2648	121	58.73	9.3e-16
GO:0006082	organic acid metabolic process	2683	122	59.5	9.7e-16
GO:0019752	carboxylic acid metabolic process	2477	114	54.93	5.4e-15
GO:0006790	sulfur compound metabolic process	962	57	21.33	1.1e-11
GO:0044282	small molecule catabolic process	1050	60	23.29	1.3e-11
GO:0032787	monocarboxylic acid metabolic process	1511	73	33.51	1.6e-10
GO:0016054	organic acid catabolic process	700	43	15.52	1.6e-09
GO:0046395	carboxylic acid catabolic process	700	43	15.52	1.6e-09
GO:0006575	cellular modified amino acid metabolic p...	544	34	12.06	6.0e-08
GO:1901605	alpha-amino acid metabolic process	607	36	13.46	9.0e-08
GO:0006749	glutathione metabolic process	240	21	5.32	9.9e-08
GO:0006520	amino acid metabolic process	799	42	17.72	2.1e-07
GO:0016053	organic acid biosynthetic process	951	47	21.09	2.3e-07
GO:0046394	carboxylic acid biosynthetic process	951	47	21.09	2.3e-07
GO:0009063	amino acid catabolic process	315	23	6.99	6.4e-07
GO:0006631	fatty acid metabolic process	1069	49	23.71	1.1e-06
GO:0044283	small molecule biosynthetic process	1704	68	37.79	1.3e-06
GO:0006081	cellular aldehyde metabolic process	213	18	4.72	1.4e-06
GO:0072329	monocarboxylic acid catabolic process	371	24	8.23	3.1e-06
GO:0009636	response to toxic substance	1475	60	32.71	3.3e-06
GO:1901135	carbohydrate derivative metabolic proces...	2432	85	53.94	1.1e-05
GO:0006766	vitamin metabolic process	482	27	10.69	1.1e-05
GO:0042180	cellular ketone metabolic process	629	32	13.95	1.2e-05
GO:1901606	alpha-amino acid catabolic process	283	19	6.28	2.0e-05
GO:0072521	purine-containing compound metabolic pro...	1333	53	29.56	2.5e-05
GO:0000096	sulfur amino acid metabolic process	94	10	2.08	4.4e-05
GO:0044255	cellular lipid metabolic process	2427	81	53.83	9.3e-05
GO:0016042	lipid catabolic process	871	37	19.32	0.00012
GO:0098754	detoxification	326	19	7.23	0.00013
GO:0055086	nucleobase-containing small molecule met...	1683	60	37.32	0.00016
GO:0051289	protein homotetramerization	204	14	4.52	0.00019
GO:0006163	purine nucleotide metabolic process	1233	47	27.35	0.00020
GO:0051260	protein homooligomerization	636	29	14.1	0.00021
GO:0006629	lipid metabolic process	3056	95	67.77	0.00028
GO:0044272	sulfur compound biosynthetic process	493	24	10.93	0.00029
GO:1990748	cellular detoxification	266	16	5.9	0.00031
GO:0043603	amide metabolic process	2177	72	48.28	0.00032
GO:0006753	nucleoside phosphate metabolic process	1370	50	30.38	0.00034
GO:0046365	monosaccharide catabolic process	167	12	3.7	0.00036
GO:0072330	monocarboxylic acid biosynthetic process	625	28	13.86	0.00036
GO:0051259	protein complex oligomerization	989	39	21.93	0.00037
GO:1901575	organic substance catabolic process	4134	121	91.68	0.00040
GO:0009117	nucleotide metabolic process	1348	49	29.9	0.00043
GO:0019693	ribose phosphate metabolic process	1070	41	23.73	0.00046
GO:1901136	carbohydrate derivative catabolic proces...	401	20	8.89	0.00068
GO:0022904	respiratory electron transport chain	134	10	2.97	0.00082
GO:0009150	purine ribonucleotide metabolic process	999	38	22.16	0.00086
GO:0009259	ribonucleotide metabolic process	1034	39	22.93	0.00086
GO:0006633	fatty acid biosynthetic process	442	21	9.8	0.00093
GO:0001508	action potential	243	14	5.39	0.00111
GO:0006855	xenobiotic transmembrane transport	328	17	7.27	0.00111
GO:0005975	carbohydrate metabolic process	1336	47	29.63	0.00114
GO:0003014	renal system process	246	14	5.46	0.00124
GO:0015695	organic cation transport	219	13	4.86	0.00126
GO:0016052	carbohydrate catabolic process	393	19	8.72	0.00131
GO:1901568	fatty acid derivative metabolic process	455	21	10.09	0.00133
GO:0098869	cellular oxidant detoxification	252	14	5.59	0.00156
GO:0006767	water-soluble vitamin metabolic process	311	16	6.9	0.00166
GO:0051262	protein tetramerization	315	16	6.99	0.00188
GO:0006690	icosanoid metabolic process	316	16	7.01	0.00195
GO:0042908	xenobiotic transport	346	17	7.67	0.00196
GO:0008217	regulation of blood pressure	288	15	6.39	0.00203
GO:0009066	aspartate family amino acid metabolic pr...	152	10	3.37	0.00212
GO:1901685	glutathione derivative metabolic process	152	10	3.37	0.00212
GO:1901687	glutathione derivative biosynthetic proc...	152	10	3.37	0.00212
GO:0044242	cellular lipid catabolic process	604	25	13.4	0.00219
GO:0008610	lipid biosynthetic process	1644	54	36.46	0.00226
GO:0008207	C21-steroid hormone metabolic process	154	10	3.42	0.00233
GO:0022900	electron transport chain	264	14	5.85	0.00240
GO:0006805	xenobiotic metabolic process	548	23	12.15	0.00273
GO:0019637	organophosphate metabolic process	2243	69	49.74	0.00293
GO:0005996	monosaccharide metabolic process	788	30	17.48	0.00293
GO:0097237	cellular response to toxic substance	585	24	12.97	0.00299
GO:0006664	glycolipid metabolic process	243	13	5.39	0.00314
GO:0015748	organophosphate ester transport	189	11	4.19	0.00338
GO:1903509	liposaccharide metabolic process	246	13	5.46	0.00349
GO:0006775	fat-soluble vitamin metabolic process	163	10	3.61	0.00352
GO:0031960	response to corticosteroid	628	25	13.93	0.00364
GO:0007584	response to nutrient	766	29	16.99	0.00371
GO:0010038	response to metal ion	1051	37	23.31	0.00377
GO:1901566	organonitrogen compound biosynthetic pro...	3435	98	76.18	0.00385
GO:0042445	hormone metabolic process	803	30	17.81	0.00385
GO:0008015	blood circulation	909	33	20.16	0.00386
GO:0033865	nucleoside bisphosphate metabolic proces...	339	16	7.52	0.00389
GO:0033875	ribonucleoside bisphosphate metabolic pr...	339	16	7.52	0.00389
GO:0034032	purine nucleoside bisphosphate metabolic...	339	16	7.52	0.00389
GO:0015711	organic anion transport	1128	39	25.02	0.00402
GO:0071466	cellular response to xenobiotic stimulus	737	28	16.34	0.00412
GO:0009110	vitamin biosynthetic process	195	11	4.32	0.00429
GO:0003013	circulatory system process	952	34	21.11	0.00435
GO:0032370	positive regulation of lipid transport	168	10	3.73	0.00435
GO:0046456	icosanoid biosynthetic process	170	10	3.77	0.00473
GO:0006811	monoatomic ion transport	2698	79	59.84	0.00526
GO:0006643	membrane lipid metabolic process	449	19	9.96	0.00568
GO:0006066	alcohol metabolic process	865	31	19.18	0.00605
GO:1902652	secondary alcohol metabolic process	387	17	8.58	0.00605
GO:0006692	prostanoid metabolic process	177	10	3.93	0.00625
GO:0006693	prostaglandin metabolic process	177	10	3.93	0.00625
GO:0009062	fatty acid catabolic process	328	15	7.27	0.00676
GO:1901615	organic hydroxy compound metabolic proce...	1318	43	29.23	0.00710
GO:1901570	fatty acid derivative biosynthetic proce...	300	14	6.65	0.00736
GO:0006091	generation of precursor metabolites and ...	843	30	18.7	0.00755
GO:0046686	response to cadmium ion	271	13	6.01	0.00773
GO:0009056	catabolic process	4836	129	107.25	0.00869
GO:0055072	iron ion homeostasis	186	10	4.13	0.00874
GO:0008202	steroid metabolic process	817	29	18.12	0.00884
GO:0010035	response to inorganic substance	1567	49	34.75	0.00905
GO:1905954	positive regulation of lipid localizatio...	217	11	4.81	0.00933
GO:0051592	response to calcium ion	249	12	5.52	0.00993
