GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0006468	protein phosphorylation	2470	101	57.73	7.6e-09
GO:0002763	positive regulation of myeloid leukocyte...	55	11	1.29	4.7e-08
GO:0002009	morphogenesis of an epithelium	1858	79	43.42	1.0e-07
GO:0060562	epithelial tube morphogenesis	1394	64	32.58	1.4e-07
GO:0016310	phosphorylation	3039	113	71.02	1.4e-07
GO:0048856	anatomical structure development	9461	273	221.11	2.3e-07
GO:0035556	intracellular signal transduction	3722	130	86.99	4.2e-07
GO:1902107	positive regulation of leukocyte differe...	137	15	3.2	7.7e-07
GO:0045859	regulation of protein kinase activity	1186	55	27.72	8.8e-07
GO:0045860	positive regulation of protein kinase ac...	801	42	18.72	9.1e-07
GO:0048522	positive regulation of cellular process	7114	215	166.26	9.2e-07
GO:0048729	tissue morphogenesis	1996	80	46.65	9.3e-07
GO:0048707	instar larval or pupal morphogenesis	959	47	22.41	1.3e-06
GO:0009653	anatomical structure morphogenesis	5373	171	125.57	1.4e-06
GO:0036211	protein modification process	5263	168	123	1.5e-06
GO:0050794	regulation of cellular process	11432	313	267.17	1.7e-06
GO:0032502	developmental process	10081	283	235.6	1.7e-06
GO:0009886	post-embryonic animal morphogenesis	1031	49	24.1	1.9e-06
GO:0048563	post-embryonic animal organ morphogenesi...	855	43	19.98	2.0e-06
GO:0050829	defense response to Gram-negative bacter...	231	19	5.4	2.3e-06
GO:0007165	signal transduction	6538	199	152.8	2.3e-06
GO:0035239	tube morphogenesis	2047	80	47.84	2.5e-06
GO:0030183	B cell differentiation	134	14	3.13	3.1e-06
GO:0033674	positive regulation of kinase activity	841	42	19.65	3.1e-06
GO:0043549	regulation of kinase activity	1269	56	29.66	3.2e-06
GO:0032879	regulation of localization	4138	137	96.71	3.8e-06
GO:0048869	cellular developmental process	6664	201	155.74	3.9e-06
GO:0048569	post-embryonic animal organ development	1183	53	27.65	3.9e-06
GO:0002165	instar larval or pupal development	1090	50	25.47	3.9e-06
GO:0065008	regulation of biological quality	6761	203	158.01	4.6e-06
GO:0009887	animal organ morphogenesis	2755	99	64.39	5.2e-06
GO:0045639	positive regulation of myeloid cell diff...	104	12	2.43	5.7e-06
GO:0007560	imaginal disc morphogenesis	833	41	19.47	5.9e-06
GO:0065007	biological regulation	13404	352	313.26	7.0e-06
GO:0001932	regulation of protein phosphorylation	1967	76	45.97	7.1e-06
GO:0002761	regulation of myeloid leukocyte differen...	125	13	2.92	7.4e-06
GO:0035114	imaginal disc-derived appendage morphoge...	704	36	16.45	9.8e-06
GO:0030154	cell differentiation	6548	196	153.03	1.0e-05
GO:0000165	MAPK cascade	1192	52	27.86	1.0e-05
GO:0009790	embryo development	2981	104	69.67	1.0e-05
GO:0035120	post-embryonic appendage morphogenesis	706	36	16.5	1.0e-05
GO:0007552	metamorphosis	1039	47	24.28	1.1e-05
GO:0030334	regulation of cell migration	1234	53	28.84	1.3e-05
GO:0007154	cell communication	7483	218	174.88	1.4e-05
GO:0043412	macromolecule modification	5488	169	128.26	1.4e-05
GO:0048737	imaginal disc-derived appendage developm...	717	36	16.76	1.5e-05
GO:0044093	positive regulation of molecular functio...	2500	90	58.43	1.5e-05
GO:0060429	epithelium development	3191	109	74.58	1.5e-05
GO:0042325	regulation of phosphorylation	2149	80	50.22	1.5e-05
GO:0023052	signaling	7380	215	172.47	1.7e-05
GO:2000145	regulation of cell motility	1282	54	29.96	1.8e-05
GO:0007472	wing disc morphogenesis	610	32	14.26	1.9e-05
GO:0044085	cellular component biogenesis	5248	162	122.65	2.1e-05
GO:0051128	regulation of cellular component organiz...	4395	140	102.71	2.3e-05
GO:0051347	positive regulation of transferase activ...	945	43	22.09	2.4e-05
GO:0010648	negative regulation of cell communicatio...	2388	86	55.81	2.4e-05
GO:0042327	positive regulation of phosphorylation	1393	57	32.56	2.4e-05
GO:0023057	negative regulation of signaling	2391	86	55.88	2.5e-05
GO:0007275	multicellular organism development	8946	251	209.07	2.6e-05
GO:0065009	regulation of molecular function	4180	134	97.69	2.8e-05
GO:0032147	activation of protein kinase activity	538	29	12.57	2.8e-05
GO:0009791	post-embryonic development	2084	77	48.7	3.0e-05
GO:0051056	regulation of small GTPase mediated sign...	541	29	12.64	3.2e-05
GO:0048518	positive regulation of biological proces...	7865	225	183.81	3.3e-05
GO:1903708	positive regulation of hemopoiesis	188	15	4.39	3.7e-05
GO:0008360	regulation of cell shape	357	22	8.34	3.8e-05
GO:0046651	lymphocyte proliferation	258	18	6.03	3.9e-05
GO:0043085	positive regulation of catalytic activit...	2031	75	47.47	3.9e-05
GO:0071900	regulation of protein serine/threonine k...	783	37	18.3	4.1e-05
GO:0022607	cellular component assembly	4914	152	114.84	4.2e-05
GO:0032943	mononuclear cell proliferation	261	18	6.1	4.5e-05
GO:0007264	small GTPase mediated signal transductio...	850	39	19.86	4.8e-05
GO:0070661	leukocyte proliferation	263	18	6.15	5.0e-05
GO:0031399	regulation of protein modification proce...	2586	90	60.44	5.4e-05
GO:0001934	positive regulation of protein phosphory...	1301	53	30.41	5.4e-05
GO:0051338	regulation of transferase activity	1501	59	35.08	5.4e-05
GO:0042113	B cell activation	265	18	6.19	5.5e-05
GO:0043408	regulation of MAPK cascade	1046	45	24.45	5.9e-05
GO:0098609	cell-cell adhesion	800	37	18.7	6.4e-05
GO:0035295	tube development	2672	92	62.45	6.5e-05
GO:0098739	import across plasma membrane	221	16	5.16	6.7e-05
GO:0007476	imaginal disc-derived wing morphogenesis	595	30	13.91	7.1e-05
GO:0098657	import into cell	1319	53	30.83	7.7e-05
GO:0035107	appendage morphogenesis	870	39	20.33	7.9e-05
GO:1902531	regulation of intracellular signal trans...	2650	91	61.93	7.9e-05
GO:0019220	regulation of phosphate metabolic proces...	2435	85	56.91	8.2e-05
GO:0051174	regulation of phosphorus metabolic proce...	2435	85	56.91	8.2e-05
GO:0050790	regulation of catalytic activity	3134	104	73.24	8.4e-05
GO:0048771	tissue remodeling	274	18	6.4	8.5e-05
GO:0010562	positive regulation of phosphorus metabo...	1526	59	35.66	8.6e-05
GO:0045937	positive regulation of phosphate metabol...	1526	59	35.66	8.6e-05
GO:0018108	peptidyl-tyrosine phosphorylation	432	24	10.1	8.8e-05
GO:0048870	cell motility	2513	87	58.73	8.9e-05
GO:0051094	positive regulation of developmental pro...	2477	86	57.89	9.0e-05
GO:0032231	regulation of actin filament bundle asse...	203	15	4.74	9.0e-05
GO:0016477	cell migration	2370	83	55.39	9.1e-05
GO:0034329	cell junction assembly	1164	48	27.2	9.3e-05
GO:0043277	apoptotic cell clearance	181	14	4.23	9.4e-05
GO:0010646	regulation of cell communication	4872	149	113.86	9.5e-05
GO:0022604	regulation of cell morphogenesis	1133	47	26.48	9.6e-05
GO:0034330	cell junction organization	1705	64	39.85	9.9e-05
GO:0009888	tissue development	4059	128	94.86	0.00010
GO:0050793	regulation of developmental process	4525	140	105.75	0.00010
GO:0018212	peptidyl-tyrosine modification	437	24	10.21	0.00010
GO:0030031	cell projection assembly	914	40	21.36	0.00011
GO:0022603	regulation of anatomical structure morph...	1955	71	45.69	0.00011
GO:0023051	regulation of signaling	4926	150	115.12	0.00011
GO:2000026	regulation of multicellular organismal d...	3686	118	86.14	0.00011
GO:0007444	imaginal disc development	1142	47	26.69	0.00012
GO:0048468	cell development	5409	162	126.41	0.00012
GO:0044087	regulation of cellular component biogene...	1995	72	46.62	0.00012
GO:0043087	regulation of GTPase activity	673	32	15.73	0.00012
GO:1902105	regulation of leukocyte differentiation	282	18	6.59	0.00012
GO:0048660	regulation of smooth muscle cell prolife...	233	16	5.45	0.00012
GO:0050789	regulation of biological process	12274	322	286.85	0.00013
GO:0048646	anatomical structure formation involved ...	2431	84	56.81	0.00013
GO:0048749	compound eye development	737	34	17.22	0.00013
GO:0002066	columnar/cuboidal epithelial cell develo...	799	36	18.67	0.00014
GO:0010594	regulation of endothelial cell migration	260	17	6.08	0.00014
GO:0043123	positive regulation of I-kappaB kinase/N...	123	11	2.87	0.00015
GO:0050878	regulation of body fluid levels	683	32	15.96	0.00016
GO:0043405	regulation of MAP kinase activity	535	27	12.5	0.00016
GO:0048736	appendage development	932	40	21.78	0.00016
GO:0031401	positive regulation of protein modificat...	1666	62	38.94	0.00016
GO:0060560	developmental growth involved in morphog...	745	34	17.41	0.00016
GO:0048659	smooth muscle cell proliferation	239	16	5.59	0.00017
GO:0040012	regulation of locomotion	1739	64	40.64	0.00017
GO:0098542	defense response to other organism	1532	58	35.8	0.00017
GO:0098742	cell-cell adhesion via plasma-membrane a...	147	12	3.44	0.00018
GO:0120031	plasma membrane bounded cell projection ...	905	39	21.15	0.00018
GO:0007164	establishment of tissue polarity	345	20	8.06	0.00019
