go	cluster	parent	parentSimScore	score	size	term	parentTerm
GO:0032787	1	GO:0032787	0.991	30	3	monocarboxylic acid metabolic process	monocarboxylic acid metabolic process
GO:0043436	1	GO:0032787	0.928	30	0	oxoacid metabolic process	monocarboxylic acid metabolic process
GO:0019752	1	GO:0032787	0.93	30	9	carboxylic acid metabolic process	monocarboxylic acid metabolic process
GO:0016042	2	GO:0016042	0.996	30	70	lipid catabolic process	lipid catabolic process
GO:0044281	1	GO:0032787	0.817	30	1	small molecule metabolic process	monocarboxylic acid metabolic process
GO:0006082	1	GO:0032787	0.927	30	7	organic acid metabolic process	monocarboxylic acid metabolic process
GO:0006629	3	GO:0006629	0.975	30	170	lipid metabolic process	lipid metabolic process
GO:0044255	3	GO:0006629	0.929	30	15	cellular lipid metabolic process	lipid metabolic process
GO:0006631	1	GO:0032787	0.948	30	85	fatty acid metabolic process	monocarboxylic acid metabolic process
GO:0016054	2	GO:0016042	0.62	29.7695510786217	0	organic acid catabolic process	lipid catabolic process
GO:0046395	2	GO:0016042	0.62	29.7695510786217	2	carboxylic acid catabolic process	lipid catabolic process
GO:0044282	2	GO:0016042	0.588	27.7958800173441	0	small molecule catabolic process	lipid catabolic process
GO:0044242	2	GO:0016042	0.97	27	3	cellular lipid catabolic process	lipid catabolic process
GO:0072329	2	GO:0016042	0.582	25.8860566476932	0	monocarboxylic acid catabolic process	lipid catabolic process
GO:0009062	2	GO:0016042	0.909	22.1487416512809	11	fatty acid catabolic process	lipid catabolic process
GO:0006805	4	GO:0006805	0.999	21.5228787452803	137	xenobiotic metabolic process	xenobiotic metabolic process
GO:0120254	5	GO:0120254	0.998	21.4436974992327	0	olefinic compound metabolic process	olefinic compound metabolic process
GO:0071466	4	GO:0006805	0.975	20.7212463990472	66	cellular response to xenobiotic stimulus	xenobiotic metabolic process
GO:0008202	3	GO:0006629	0.788	20.3187587626244	52	steroid metabolic process	lipid metabolic process
GO:0042445	6	GO:0042445	0.997	20.3098039199715	15	hormone metabolic process	hormone metabolic process
GO:0072663	7	GO:0072663	1	19.3665315444204	1	establishment of protein localization to peroxisome	establishment of protein localization to peroxisome
GO:0006625	7	GO:0072663	0.999	19.3665315444204	11	protein targeting to peroxisome	establishment of protein localization to peroxisome
GO:0072662	7	GO:0072663	0.999	19.3665315444204	0	protein localization to peroxisome	establishment of protein localization to peroxisome
GO:0043574	8	GO:0043574	1	19.0861861476163	0	peroxisomal transport	peroxisomal transport
GO:0006720	3	GO:0006629	0.712	19.0315170514461	3	isoprenoid metabolic process	lipid metabolic process
GO:0006790	9	GO:0006790	0.996	18.8239087409443	16	sulfur compound metabolic process	sulfur compound metabolic process
GO:0006721	3	GO:0006629	0.699	18.4436974992327	0	terpenoid metabolic process	lipid metabolic process
GO:0001676	1	GO:0032787	0.831	18.4089353929735	37	long-chain fatty acid metabolic process	monocarboxylic acid metabolic process
GO:0007031	7	GO:0072663	0.958	18.1487416512809	30	peroxisome organization	establishment of protein localization to peroxisome
GO:1901615	10	GO:1901615	0.994	18.0315170514461	0	organic hydroxy compound metabolic process	organic hydroxy compound metabolic process
GO:0016053	1	GO:0032787	0.804	17.698970004336	0	organic acid biosynthetic process	monocarboxylic acid metabolic process
GO:0046394	1	GO:0032787	0.808	17.698970004336	0	carboxylic acid biosynthetic process	monocarboxylic acid metabolic process
GO:1901575	2	GO:0016042	0.765	16.8538719643218	0	organic substance catabolic process	lipid catabolic process
GO:0033559	1	GO:0032787	0.833	16	1	unsaturated fatty acid metabolic process	monocarboxylic acid metabolic process
GO:0009410	4	GO:0006805	0.915	15.9208187539524	241	response to xenobiotic stimulus	xenobiotic metabolic process
GO:0006575	11	GO:0006575	0.999	14.6575773191778	0	cellular modified amino acid metabolic process	cellular modified amino acid metabolic process
GO:0006635	3	GO:0006629	0.672	14.1487416512809	79	fatty acid beta-oxidation	lipid metabolic process
GO:0019395	3	GO:0006629	0.693	13.9586073148418	15	fatty acid oxidation	lipid metabolic process
GO:0006690	1	GO:0032787	0.746	13.8239087409443	11	icosanoid metabolic process	monocarboxylic acid metabolic process
GO:0030258	3	GO:0006629	0.727	13.6575773191778	7	lipid modification	lipid metabolic process
GO:0008610	3	GO:0006629	0.864	13.6382721639824	17	lipid biosynthetic process	lipid metabolic process
GO:0006749	12	GO:0006749	0.999	13.4948500216801	53	glutathione metabolic process	glutathione metabolic process
GO:0009056	2	GO:0016042	0.724	13.2365720064371	3	catabolic process	lipid catabolic process
GO:0044248	2	GO:0016042	0.707	12.9208187539524	0	cellular catabolic process	lipid catabolic process
GO:0010817	6	GO:0042445	0.928	12.8860566476932	4	regulation of hormone levels	hormone metabolic process
GO:0006066	10	GO:1901615	0.948	12.8860566476932	7	alcohol metabolic process	organic hydroxy compound metabolic process
GO:0034440	3	GO:0006629	0.696	12.8538719643218	7	lipid oxidation	lipid metabolic process
GO:0072330	1	GO:0032787	0.876	12.7695510786217	0	monocarboxylic acid biosynthetic process	monocarboxylic acid metabolic process
GO:1901568	3	GO:0006629	0.658	12.7447274948967	0	fatty acid derivative metabolic process	lipid metabolic process
GO:0019748	13	GO:0019748	0.999	11.7447274948967	1	secondary metabolic process	secondary metabolic process
GO:0008209	6	GO:0042445	0.825	11.4948500216801	20	androgen metabolic process	hormone metabolic process
GO:0042180	1	GO:0032787	0.622	11.2006594505464	3	cellular ketone metabolic process	monocarboxylic acid metabolic process
GO:0006766	1	GO:0032787	0.581	11.2006594505464	6	vitamin metabolic process	monocarboxylic acid metabolic process
GO:1902652	10	GO:1901615	0.868	10.5850266520292	0	secondary alcohol metabolic process	organic hydroxy compound metabolic process
GO:0009404	13	GO:0019748	0.898	10.4436974992327	8	toxin metabolic process	secondary metabolic process
GO:0042446	6	GO:0042445	0.89	10.4089353929735	13	hormone biosynthetic process	hormone metabolic process
GO:0016101	3	GO:0006629	0.69	10.3665315444204	1	diterpenoid metabolic process	lipid metabolic process
