go	cluster	parent	parentSimScore	score	size	term	parentTerm
GO:0051172	1	GO:0051172	0.973	4.49485002168009	0	negative regulation of nitrogen compound metabolic process	negative regulation of nitrogen compound metabolic process
GO:0031324	1	GO:0051172	0.801	4.43179827593301	0	negative regulation of cellular metabolic process	negative regulation of nitrogen compound metabolic process
GO:0043547	2	GO:0043547	0.998	4.14874165128092	205	positive regulation of GTPase activity	positive regulation of GTPase activity
GO:0010558	1	GO:0051172	0.756	3.82390874094432	0	negative regulation of macromolecule biosynthetic process	negative regulation of nitrogen compound metabolic process
GO:0031327	1	GO:0051172	0.76	3.79588001734407	2	negative regulation of cellular biosynthetic process	negative regulation of nitrogen compound metabolic process
GO:0044706	3	GO:0044706	0.998	3.65757731917779	0	multi-multicellular organism process	multi-multicellular organism process
GO:2000113	4	GO:2000113	0.997	3.60205999132796	0	negative regulation of cellular macromolecule biosynthetic process	negative regulation of cellular macromolecule biosynthetic process
GO:0009890	1	GO:0051172	0.762	3.53760200210104	2	negative regulation of biosynthetic process	negative regulation of nitrogen compound metabolic process
GO:0010629	1	GO:0051172	0.778	3.39794000867204	325	negative regulation of gene expression	negative regulation of nitrogen compound metabolic process
GO:0043087	2	GO:0043547	0.968	3.20065945054642	91	regulation of GTPase activity	positive regulation of GTPase activity
GO:0010556	5	GO:0010556	0.945	3.09691001300806	0	regulation of macromolecule biosynthetic process	regulation of macromolecule biosynthetic process
GO:0010605	1	GO:0051172	0.864	3.06048074738138	1	negative regulation of macromolecule metabolic process	negative regulation of nitrogen compound metabolic process
GO:0031326	5	GO:0010556	0.926	3.05060999335509	0	regulation of cellular biosynthetic process	regulation of macromolecule biosynthetic process
GO:0009892	1	GO:0051172	0.875	2.86012091359876	0	negative regulation of metabolic process	negative regulation of nitrogen compound metabolic process
GO:2000112	4	GO:2000113	0.934	2.85078088734462	0	regulation of cellular macromolecule biosynthetic process	negative regulation of cellular macromolecule biosynthetic process
GO:0051253	1	GO:0051172	0.891	2.84771165561694	0	negative regulation of RNA metabolic process	negative regulation of nitrogen compound metabolic process
GO:0009889	5	GO:0010556	0.93	2.76955107862173	0	regulation of biosynthetic process	regulation of macromolecule biosynthetic process
GO:0010468	5	GO:0010556	0.696	2.73048705578208	202	regulation of gene expression	regulation of macromolecule biosynthetic process
GO:0051252	5	GO:0010556	0.634	2.67778070526608	4	regulation of RNA metabolic process	regulation of macromolecule biosynthetic process
GO:0001101	6	GO:0001101	0.999	2.60032627851896	0	response to acid chemical	response to acid chemical
