GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0006520	amino acid metabolic process	725	34	17.16	0.00012
GO:0006119	oxidative phosphorylation	263	16	6.22	0.00055
GO:1901605	alpha-amino acid metabolic process	524	25	12.4	0.00074
GO:0032543	mitochondrial translation	165	11	3.9	0.00193
GO:0009063	amino acid catabolic process	274	15	6.48	0.00231
GO:1901607	alpha-amino acid biosynthetic process	189	11	4.47	0.00544
GO:0009205	purine ribonucleoside triphosphate metab...	616	25	14.58	0.00634
GO:0140053	mitochondrial gene expression	194	11	4.59	0.00659
GO:0009199	ribonucleoside triphosphate metabolic pr...	624	25	14.77	0.00741
GO:0046034	ATP metabolic process	561	23	13.28	0.00771
GO:0009060	aerobic respiration	379	17	8.97	0.00908
GO:0044260	cellular macromolecule metabolic process	8107	215	191.85	0.00944
