go	cluster	parent	parentSimScore	score	size	term	parentTerm
GO:0008038	1	GO:0008038	1	7.39794000867204	5	neuron recognition	neuron recognition
GO:0071310	2	GO:0071310	0.975	5.74472749489669	18	cellular response to organic substance	cellular response to organic substance
GO:0008037	1	GO:0008038	0.913	5.55284196865778	12	cell recognition	neuron recognition
GO:0070887	2	GO:0071310	0.904	4.55284196865778	0	cellular response to chemical stimulus	cellular response to organic substance
GO:0030301	3	GO:0030301	0.998	4.43179827593301	24	cholesterol transport	cholesterol transport
GO:0042221	2	GO:0071310	0.791	4.3767507096021	0	response to chemical	cellular response to organic substance
GO:0009725	4	GO:0009725	0.991	4.31875876262441	41	response to hormone	response to hormone
GO:0015918	3	GO:0030301	0.992	3.92081875395238	16	sterol transport	cholesterol transport
GO:0046677	2	GO:0071310	0.433	3.85387196432176	33	response to antibiotic	cellular response to organic substance
GO:0007166	5	GO:0007166	0.958	3.76955107862173	299	cell surface receptor signaling pathway	cell surface receptor signaling pathway
GO:0071495	4	GO:0009725	0.861	3.74472749489669	0	cellular response to endogenous stimulus	response to hormone
GO:0034097	2	GO:0071310	0.739	3.74472749489669	49	response to cytokine	cellular response to organic substance
GO:0071345	2	GO:0071310	0.858	3.72124639904717	33	cellular response to cytokine stimulus	cellular response to organic substance
GO:0009636	2	GO:0071310	0.504	3.61978875828839	74	response to toxic substance	cellular response to organic substance
GO:0010033	2	GO:0071310	0.886	3.61978875828839	25	response to organic substance	cellular response to organic substance
GO:0009719	4	GO:0009725	0.879	3.53760200210104	0	response to endogenous stimulus	response to hormone
GO:0070848	4	GO:0009725	0.794	3.46852108295774	15	response to growth factor	response to hormone
GO:0033993	2	GO:0071310	0.724	3.42021640338319	9	response to lipid	cellular response to organic substance
GO:0007519	6	GO:0007519	0.999	3.39794000867204	53	skeletal muscle tissue development	skeletal muscle tissue development
GO:0065008	7	GO:0065008	0.963	3.35654732351381	0	regulation of biological quality	regulation of biological quality
GO:0071560	4	GO:0009725	0.702	3.31875876262441	68	cellular response to transforming growth factor beta stimulus	response to hormone
