C0 (5253 genes)	C1 (2751 genes)	C2 (2963 genes)	C3 (1653 genes)	C4 (3657 genes)	C5 (1253 genes)	C6 (1886 genes)	C7 (2895 genes)
Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes
Pele_DN0_c0_g1_i7	Pele_DN0_c0_g1_i6	Pele_DN0_c0_g1_i20	Pele_DN100011_c0_g3_i1	Pele_DN10004_c1_g4_i2	Pele_DN10029_c0_g2_i3	Pele_DN10034_c0_g1_i3	Pele_DN0_c3_g1_i5
Pele_DN10003_c1_g1_i3	Pele_DN10027_c0_g1_i16	Pele_DN100011_c0_g2_i1	Pele_DN1007_c0_g1_i8	Pele_DN10005_c0_g2_i8	Pele_DN1006_c0_g1_i19	Pele_DN10034_c0_g3_i3	Pele_DN10027_c0_g1_i15
Pele_DN10005_c0_g1_i1	Pele_DN1002_c0_g2_i7	Pele_DN100022_c0_g1_i2	Pele_DN10133_c0_g1_i3	Pele_DN10009_c0_g1_i1	Pele_DN10113_c0_g1_i2	Pele_DN10122_c0_g1_i4	Pele_DN1006_c1_g1_i10
Pele_DN1001_c0_g1_i107	Pele_DN10116_c0_g2_i1	Pele_DN10006_c0_g1_i5	Pele_DN10225_c1_g1_i2	Pele_DN1001_c0_g1_i80	Pele_DN10122_c0_g1_i16	Pele_DN10129_c0_g1_i20	Pele_DN10081_c0_g1_i3
Pele_DN10028_c0_g2_i9	Pele_DN10127_c1_g1_i13	Pele_DN10063_c0_g1_i1	Pele_DN10254_c0_g1_i19	Pele_DN1002_c0_g1_i11	Pele_DN10122_c0_g1_i8	Pele_DN10129_c0_g1_i4	Pele_DN1008_c0_g1_i12
Pele_DN10030_c0_g1_i15	Pele_DN10142_c0_g1_i10	Pele_DN10112_c0_g1_i3	Pele_DN10274_c0_g1_i30	Pele_DN10035_c0_g1_i25	Pele_DN10248_c2_g1_i2	Pele_DN10173_c0_g1_i1	Pele_DN10109_c2_g1_i15
Pele_DN10030_c0_g1_i7	Pele_DN1015_c0_g1_i15	Pele_DN10179_c0_g2_i1	Pele_DN10274_c0_g1_i5	Pele_DN10040_c0_g2_i2	Pele_DN1024_c0_g1_i13	Pele_DN10186_c0_g1_i2	Pele_DN10126_c0_g1_i11
Pele_DN10038_c0_g1_i8	Pele_DN10233_c0_g1_i12	Pele_DN10196_c0_g1_i2	Pele_DN1031_c2_g1_i8	Pele_DN1007_c0_g1_i9	Pele_DN102_c0_g1_i3	Pele_DN10260_c1_g1_i9	Pele_DN10158_c0_g1_i3
Pele_DN10052_c0_g1_i14	Pele_DN10238_c0_g1_i50	Pele_DN10262_c0_g1_i3	Pele_DN10466_c0_g1_i3	Pele_DN10091_c0_g1_i3	Pele_DN10318_c0_g1_i10	Pele_DN1032_c0_g1_i12	Pele_DN10170_c1_g3_i1
Pele_DN10058_c0_g1_i1	Pele_DN1023_c3_g1_i1	Pele_DN10324_c0_g1_i3	Pele_DN10495_c0_g1_i3	Pele_DN10096_c0_g1_i1	Pele_DN1036_c0_g1_i14	Pele_DN1032_c0_g1_i7	Pele_DN101801_c0_g2_i3
Pele_DN10069_c0_g1_i2	Pele_DN10255_c0_g1_i4	Pele_DN10377_c0_g1_i1	Pele_DN10740_c0_g1_i18	Pele_DN10121_c0_g1_i1	Pele_DN104468_c0_g1_i2	Pele_DN10408_c1_g1_i13	Pele_DN10211_c0_g1_i1
Pele_DN1006_c1_g2_i1	Pele_DN10258_c0_g1_i2	Pele_DN103781_c0_g1_i1	Pele_DN10792_c0_g1_i7	Pele_DN10128_c0_g1_i1	Pele_DN1045_c0_g2_i15	Pele_DN10408_c1_g1_i26	Pele_DN10238_c0_g1_i60
Pele_DN1008_c0_g1_i7	Pele_DN10307_c0_g1_i6	Pele_DN103993_c0_g2_i1	Pele_DN109_c0_g1_i15	Pele_DN10139_c0_g1_i3	Pele_DN1045_c0_g2_i9	Pele_DN10408_c1_g1_i4	Pele_DN10254_c0_g1_i15
Pele_DN10090_c0_g2_i1	Pele_DN10317_c0_g2_i15	Pele_DN104255_c0_g1_i1	Pele_DN11042_c0_g1_i3	Pele_DN10145_c0_g1_i12	Pele_DN10590_c0_g1_i2	Pele_DN10408_c1_g1_i7	Pele_DN10263_c0_g1_i2
Pele_DN10092_c0_g1_i1	Pele_DN103516_c0_g1_i2	Pele_DN10436_c0_g1_i1	Pele_DN1105_c0_g1_i4	Pele_DN1016_c0_g1_i15	Pele_DN10615_c0_g2_i10	Pele_DN1044_c1_g1_i8	Pele_DN10274_c0_g1_i2
