go	cluster	parent	parentSimScore	score	size	term	parentTerm
GO:0090304	1	GO:0090304	0.901	30	0	nucleic acid metabolic process	nucleic acid metabolic process
GO:0016070	1	GO:0090304	0.857	30	7	RNA metabolic process	nucleic acid metabolic process
GO:0006396	2	GO:0006396	0.982	30	544	RNA processing	RNA processing
GO:0010467	3	GO:0010467	0.88	27.5528419686578	88	gene expression	gene expression
GO:0022613	4	GO:0022613	0.995	25.301029995664	1	ribonucleoprotein complex biogenesis	ribonucleoprotein complex biogenesis
GO:0034470	2	GO:0006396	0.849	21.6777807052661	2	ncRNA processing	RNA processing
GO:0043170	1	GO:0090304	0.614	21.3565473235138	1	macromolecule metabolic process	nucleic acid metabolic process
GO:0034660	2	GO:0006396	0.528	20.7447274948967	0	ncRNA metabolic process	RNA processing
GO:0042254	4	GO:0022613	0.954	20.397940008672	32	ribosome biogenesis	ribonucleoprotein complex biogenesis
GO:0006139	1	GO:0090304	0.873	17.8860566476932	30	nucleobase-containing compound metabolic process	nucleic acid metabolic process
GO:0016071	2	GO:0006396	0.552	15.8860566476932	6	mRNA metabolic process	RNA processing
GO:0006364	2	GO:0006396	0.776	15.0177287669604	116	rRNA processing	RNA processing
GO:0051171	1	GO:0090304	0.522	14.6777807052661	1	regulation of nitrogen compound metabolic process	nucleic acid metabolic process
GO:0060255	1	GO:0090304	0.53	14.602059991328	0	regulation of macromolecule metabolic process	nucleic acid metabolic process
GO:0000398	2	GO:0006396	0.847	14.4436974992327	345	mRNA splicing, via spliceosome	RNA processing
GO:0000377	2	GO:0006396	0.847	14.4436974992327	0	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	RNA processing
GO:0000375	2	GO:0006396	0.85	14.4436974992327	25	RNA splicing, via transesterification reactions	RNA processing
GO:0071840	5	GO:0071840	0.892	14.3872161432803	0	cellular component organization or biogenesis	cellular component organization or biogenesis
GO:0016072	2	GO:0006396	0.47	14.3665315444204	2	rRNA metabolic process	RNA processing
GO:0006397	2	GO:0006396	0.88	14.2146701649892	180	mRNA processing	RNA processing
GO:0051252	1	GO:0090304	0.791	13.9586073148418	4	regulation of RNA metabolic process	nucleic acid metabolic process
GO:0008380	2	GO:0006396	0.882	13.2518119729938	173	RNA splicing	RNA processing
GO:0019219	1	GO:0090304	0.77	13.0915149811213	0	regulation of nucleobase-containing compound metabolic process	nucleic acid metabolic process
GO:0010468	3	GO:0010467	0.821	13	202	regulation of gene expression	gene expression
GO:0044085	4	GO:0022613	0.744	12.6382721639824	1	cellular component biogenesis	ribonucleoprotein complex biogenesis
GO:0006725	1	GO:0090304	0.862	12	1	cellular aromatic compound metabolic process	nucleic acid metabolic process
GO:0044260	6	GO:0044260	0.947	11.9586073148418	0	cellular macromolecule metabolic process	cellular macromolecule metabolic process
GO:0046483	1	GO:0090304	0.865	11.9208187539524	6	heterocycle metabolic process	nucleic acid metabolic process
GO:0006351	7	GO:0006351	0.947	11.7695510786217	188	DNA-templated transcription	DNA-templated transcription
GO:0031323	1	GO:0090304	0.52	11.7212463990472	0	regulation of cellular metabolic process	nucleic acid metabolic process
GO:0097659	7	GO:0006351	0.947	11.397940008672	0	nucleic acid-templated transcription	DNA-templated transcription
GO:0010556	7	GO:0006351	0.829	11.2596373105058	0	regulation of macromolecule biosynthetic process	DNA-templated transcription
GO:2000112	6	GO:0044260	0.691	11.2441251443275	0	regulation of cellular macromolecule biosynthetic process	cellular macromolecule metabolic process
GO:0032774	7	GO:0006351	0.945	11.2441251443275	0	RNA biosynthetic process	DNA-templated transcription
GO:0080090	1	GO:0090304	0.485	11.0705810742857	0	regulation of primary metabolic process	nucleic acid metabolic process
GO:0019222	1	GO:0090304	0.396	11.0315170514461	3	regulation of metabolic process	nucleic acid metabolic process
GO:0034645	6	GO:0044260	0.793	10.7958800173441	5	cellular macromolecule biosynthetic process	cellular macromolecule metabolic process
GO:0034641	1	GO:0090304	0.838	10.4436974992327	0	cellular nitrogen compound metabolic process	nucleic acid metabolic process
GO:0051276	5	GO:0071840	0.571	9.74472749489669	24	chromosome organization	cellular component organization or biogenesis
GO:0045935	8	GO:0045935	0.977	9.74472749489669	0	positive regulation of nucleobase-containing compound metabolic process	positive regulation of nucleobase-containing compound metabolic process
GO:0051254	8	GO:0045935	0.957	9.52287874528034	0	positive regulation of RNA metabolic process	positive regulation of nucleobase-containing compound metabolic process
GO:0050794	9	GO:0050794	0.682	9.48148606012211	0	regulation of cellular process	regulation of cellular process
GO:0006913	10	GO:0006913	0.996	9.44369749923271	52	nucleocytoplasmic transport	nucleocytoplasmic transport
GO:0051169	10	GO:0006913	0.996	9.44369749923271	0	nuclear transport	nucleocytoplasmic transport
GO:0006807	1	GO:0090304	0.636	9.38721614328026	5	nitrogen compound metabolic process	nucleic acid metabolic process
GO:1903506	1	GO:0090304	0.775	9.2839966563652	2	regulation of nucleic acid-templated transcription	nucleic acid metabolic process
GO:2001141	1	GO:0090304	0.776	9.10790539730952	3	regulation of RNA biosynthetic process	nucleic acid metabolic process
GO:0009059	7	GO:0006351	0.872	9.06048074738138	0	macromolecule biosynthetic process	DNA-templated transcription
GO:0006355	1	GO:0090304	0.775	9	566	regulation of DNA-templated transcription	nucleic acid metabolic process
GO:0031326	7	GO:0006351	0.759	8.82390874094432	0	regulation of cellular biosynthetic process	DNA-templated transcription
GO:0006366	7	GO:0006351	0.869	8.72124639904717	243	transcription by RNA polymerase II	DNA-templated transcription
GO:0001708	11	GO:0001708	0.999	8.58502665202918	32	cell fate specification	cell fate specification
GO:0010605	12	GO:0010605	0.957	8.56863623584101	1	negative regulation of macromolecule metabolic process	negative regulation of macromolecule metabolic process
GO:0016043	5	GO:0071840	0.886	8.07572071393812	0	cellular component organization	cellular component organization or biogenesis
GO:0048522	8	GO:0045935	0.663	8.0087739243075	0	positive regulation of cellular process	positive regulation of nucleobase-containing compound metabolic process
GO:0010558	7	GO:0006351	0.685	8	0	negative regulation of macromolecule biosynthetic process	DNA-templated transcription
GO:0009880	13	GO:0009880	0.999	7.92081875395237	29	embryonic pattern specification	embryonic pattern specification
GO:0050789	9	GO:0050794	0.54	7.72124639904717	0	regulation of biological process	regulation of cellular process
GO:2000113	6	GO:0044260	0.639	7.69897000433602	0	negative regulation of cellular macromolecule biosynthetic process	cellular macromolecule metabolic process
GO:0034654	7	GO:0006351	0.921	7.67778070526608	0	nucleobase-containing compound biosynthetic process	DNA-templated transcription
GO:0045934	12	GO:0010605	0.798	7.65757731917779	0	negative regulation of nucleobase-containing compound metabolic process	negative regulation of macromolecule metabolic process
GO:0045165	11	GO:0001708	0.915	7.63827216398241	55	cell fate commitment	cell fate specification
GO:0009889	7	GO:0006351	0.743	7.61978875828839	0	regulation of biosynthetic process	DNA-templated transcription
GO:0071826	14	GO:0071826	0.998	7.56863623584101	0	ribonucleoprotein complex subunit organization	ribonucleoprotein complex subunit organization
GO:0035282	13	GO:0009880	0.709	7.44369749923271	1	segmentation	embryonic pattern specification
GO:0022618	14	GO:0071826	0.995	7.43179827593301	2	ribonucleoprotein complex assembly	ribonucleoprotein complex subunit organization
GO:0010629	12	GO:0010605	0.856	7.43179827593301	325	negative regulation of gene expression	negative regulation of macromolecule metabolic process
GO:0010557	8	GO:0045935	0.703	7.34678748622466	1	positive regulation of macromolecule biosynthetic process	positive regulation of nucleobase-containing compound metabolic process
GO:0006325	15	GO:0006325	0.994	7.32790214206428	222	chromatin organization	chromatin organization
GO:0009790	16	GO:0009790	0.986	7.31875876262441	11	embryo development	embryo development
GO:1903311	2	GO:0006396	0.488	7.27572413039921	0	regulation of mRNA metabolic process	RNA processing
GO:0051172	12	GO:0010605	0.864	7.24412514432751	0	negative regulation of nitrogen compound metabolic process	negative regulation of macromolecule metabolic process
GO:0048645	17	GO:0048645	0.999	7.19382002601611	5	animal organ formation	animal organ formation
GO:1903508	8	GO:0045935	0.943	7.18708664335714	1	positive regulation of nucleic acid-templated transcription	positive regulation of nucleobase-containing compound metabolic process
GO:1902680	8	GO:0045935	0.943	7.17392519729917	2	positive regulation of RNA biosynthetic process	positive regulation of nucleobase-containing compound metabolic process
GO:0051168	10	GO:0006913	0.937	7.09691001300806	14	nuclear export	nucleocytoplasmic transport
GO:0006357	7	GO:0006351	0.853	7.05060999335509	1350	regulation of transcription by RNA polymerase II	DNA-templated transcription
GO:1901360	3	GO:0010467	0.441	7	0	organic cyclic compound metabolic process	gene expression
GO:0051173	8	GO:0045935	0.889	6.85387196432176	2	positive regulation of nitrogen compound metabolic process	positive regulation of nucleobase-containing compound metabolic process
GO:0048863	18	GO:0048863	0.998	6.82390874094432	44	stem cell differentiation	stem cell differentiation
GO:0051253	12	GO:0010605	0.811	6.82390874094432	0	negative regulation of RNA metabolic process	negative regulation of macromolecule metabolic process
