GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0044281	small molecule metabolic process	4525	367	185.25	< 1e-30
GO:0006082	organic acid metabolic process	2683	258	109.84	< 1e-30
GO:0043436	oxoacid metabolic process	2648	251	108.41	< 1e-30
GO:0019752	carboxylic acid metabolic process	2477	238	101.41	< 1e-30
GO:0032787	monocarboxylic acid metabolic process	1511	164	61.86	< 1e-30
GO:0006629	lipid metabolic process	3056	249	125.11	1.1e-29
GO:0044255	cellular lipid metabolic process	2427	210	99.36	7.8e-28
GO:0016042	lipid catabolic process	871	109	35.66	3.5e-26
GO:0006631	fatty acid metabolic process	1069	122	43.76	1.2e-25
GO:0016054	organic acid catabolic process	700	86	28.66	3.5e-20
GO:0046395	carboxylic acid catabolic process	700	86	28.66	3.5e-20
GO:1901615	organic hydroxy compound metabolic proce...	1318	127	53.96	3.9e-20
GO:0008202	steroid metabolic process	817	94	33.45	5.1e-20
GO:0001676	long-chain fatty acid metabolic process	411	63	16.83	8.0e-20
GO:0044282	small molecule catabolic process	1050	109	42.99	1.1e-19
GO:0044242	cellular lipid catabolic process	604	78	24.73	1.1e-19
GO:0120254	olefinic compound metabolic process	440	64	18.01	6.4e-19
GO:0072329	monocarboxylic acid catabolic process	371	57	15.19	4.4e-18
GO:0009062	fatty acid catabolic process	328	53	13.43	7.2e-18
GO:1902652	secondary alcohol metabolic process	387	55	15.84	5.8e-16
GO:0006066	alcohol metabolic process	865	88	35.41	1.9e-15
GO:0044283	small molecule biosynthetic process	1704	138	69.76	2.3e-15
GO:0033559	unsaturated fatty acid metabolic process	324	48	13.26	8.8e-15
GO:0006720	isoprenoid metabolic process	485	59	19.86	6.1e-14
GO:0016053	organic acid biosynthetic process	951	90	38.93	6.6e-14
GO:0046394	carboxylic acid biosynthetic process	951	90	38.93	6.6e-14
GO:0042445	hormone metabolic process	803	80	32.87	1.3e-13
GO:0006721	terpenoid metabolic process	447	55	18.3	2.8e-13
GO:0008610	lipid biosynthetic process	1644	127	67.3	1.2e-12
GO:0072330	monocarboxylic acid biosynthetic process	625	66	25.59	1.5e-12
GO:0006625	protein targeting to peroxisome	184	32	7.53	3.6e-12
GO:0072662	protein localization to peroxisome	184	32	7.53	3.6e-12
GO:0072663	establishment of protein localization to...	184	32	7.53	3.6e-12
GO:0043574	peroxisomal transport	187	32	7.66	5.6e-12
GO:0042180	cellular ketone metabolic process	629	65	25.75	5.9e-12
GO:1901568	fatty acid derivative metabolic process	455	53	18.63	6.6e-12
GO:0006694	steroid biosynthetic process	471	54	19.28	7.8e-12
GO:0006690	icosanoid metabolic process	316	42	12.94	1.6e-11
GO:0030258	lipid modification	599	62	24.52	1.7e-11
GO:0006635	fatty acid beta-oxidation	219	34	8.97	2.0e-11
GO:0055086	nucleobase-containing small molecule met...	1683	125	68.9	2.6e-11
GO:0006805	xenobiotic metabolic process	548	58	22.43	3.3e-11
GO:1901575	organic substance catabolic process	4134	246	169.24	3.5e-11
GO:0019395	fatty acid oxidation	278	38	11.38	6.7e-11
GO:0006790	sulfur compound metabolic process	962	83	39.38	8.3e-11
GO:0007031	peroxisome organization	207	32	8.47	8.9e-11
GO:0072521	purine-containing compound metabolic pro...	1333	104	54.57	1.0e-10
GO:0071466	cellular response to xenobiotic stimulus	737	69	30.17	1.1e-10
GO:0042446	hormone biosynthetic process	364	44	14.9	1.3e-10
GO:0010817	regulation of hormone levels	1329	102	54.41	4.1e-10
GO:0034440	lipid oxidation	298	38	12.2	5.2e-10
GO:0006633	fatty acid biosynthetic process	442	48	18.1	7.5e-10
GO:0006766	vitamin metabolic process	482	50	19.73	1.6e-09
GO:0008209	androgen metabolic process	183	28	7.49	1.7e-09
GO:0006163	purine nucleotide metabolic process	1233	94	50.48	3.0e-09
GO:0008203	cholesterol metabolic process	265	34	10.85	3.6e-09
GO:0044248	cellular catabolic process	4365	247	178.7	5.1e-09
GO:0006706	steroid catabolic process	219	30	8.97	6.6e-09
GO:0036109	alpha-linolenic acid metabolic process	43	13	1.76	9.6e-09
GO:0006081	cellular aldehyde metabolic process	213	29	8.72	1.3e-08
GO:1901617	organic hydroxy compound biosynthetic pr...	596	54	24.4	4.0e-08
GO:0042759	long-chain fatty acid biosynthetic proce...	138	22	5.65	4.4e-08
GO:0009056	catabolic process	4836	263	197.98	5.7e-08
GO:0009117	nucleotide metabolic process	1348	96	55.19	6.0e-08
GO:0046173	polyol biosynthetic process	228	29	9.33	6.2e-08
GO:0016125	sterol metabolic process	311	35	12.73	6.4e-08
GO:0006753	nucleoside phosphate metabolic process	1370	97	56.09	6.7e-08
GO:0005975	carbohydrate metabolic process	1336	95	54.69	7.6e-08
GO:0072524	pyridine-containing compound metabolic p...	343	37	14.04	8.1e-08
GO:0006575	cellular modified amino acid metabolic p...	544	49	22.27	2.1e-07
GO:0043648	dicarboxylic acid metabolic process	286	32	11.71	2.7e-07
GO:0009636	response to toxic substance	1475	100	60.39	3.3e-07
GO:0002933	lipid hydroxylation	108	18	4.42	3.7e-07
GO:0046165	alcohol biosynthetic process	443	42	18.14	4.0e-07
GO:0019637	organophosphate metabolic process	2243	138	91.83	4.5e-07
GO:0046456	icosanoid biosynthetic process	170	23	6.96	4.7e-07
GO:1901135	carbohydrate derivative metabolic proces...	2432	147	99.56	5.0e-07
GO:0019369	arachidonic acid metabolic process	171	23	7	5.3e-07
GO:1905952	regulation of lipid localization	448	42	18.34	5.4e-07
GO:0005996	monosaccharide metabolic process	788	62	32.26	6.3e-07
GO:0051384	response to glucocorticoid	601	51	24.6	7.2e-07
GO:1901570	fatty acid derivative biosynthetic proce...	300	32	12.28	7.8e-07
GO:0009410	response to xenobiotic stimulus	1121	80	45.89	7.8e-07
GO:0036378	calcitriol biosynthetic process from cal...	103	17	4.22	9.0e-07
GO:0070640	vitamin D3 metabolic process	103	17	4.22	9.0e-07
GO:0034308	primary alcohol metabolic process	191	24	7.82	1.1e-06
GO:0019748	secondary metabolic process	412	39	16.87	1.1e-06
GO:0009820	alkaloid metabolic process	116	18	4.75	1.1e-06
GO:0031960	response to corticosteroid	628	52	25.71	1.2e-06
GO:0044107	cellular alcohol metabolic process	106	17	4.34	1.4e-06
GO:0044108	cellular alcohol biosynthetic process	106	17	4.34	1.4e-06
GO:0009110	vitamin biosynthetic process	195	24	7.98	1.5e-06
GO:0007584	response to nutrient	766	59	31.36	2.3e-06
GO:0042368	vitamin D biosynthetic process	111	17	4.54	2.6e-06
GO:0042448	progesterone metabolic process	111	17	4.54	2.6e-06
GO:0006636	unsaturated fatty acid biosynthetic proc...	162	21	6.63	3.0e-06
GO:0019216	regulation of lipid metabolic process	919	67	37.62	3.2e-06
GO:0033993	response to lipid	1898	117	77.7	3.7e-06
GO:0033540	fatty acid beta-oxidation using acyl-CoA...	69	13	2.82	3.8e-06
GO:0006641	triglyceride metabolic process	263	28	10.77	3.9e-06
GO:0000038	very long-chain fatty acid metabolic pro...	91	15	3.73	4.0e-06
GO:0009822	alkaloid catabolic process	91	15	3.73	4.0e-06
GO:0042572	retinol metabolic process	91	15	3.73	4.0e-06
GO:0006767	water-soluble vitamin metabolic process	311	31	12.73	4.8e-06
GO:0003008	system process	3107	174	127.2	4.9e-06
GO:0007606	sensory perception of chemical stimulus	296	30	12.12	4.9e-06
GO:0016098	monoterpenoid metabolic process	93	15	3.81	5.3e-06
GO:0006714	sesquiterpenoid metabolic process	82	14	3.36	5.5e-06
GO:0048545	response to steroid hormone	1009	71	41.31	5.5e-06
GO:0016999	antibiotic metabolic process	345	33	14.12	5.8e-06
GO:0097305	response to alcohol	883	64	36.15	6.5e-06
GO:0006718	juvenile hormone biosynthetic process	52	11	2.13	6.5e-06
GO:0007608	sensory perception of smell	199	23	8.15	7.3e-06
GO:0016106	sesquiterpenoid biosynthetic process	53	11	2.17	8.0e-06
GO:0045989	positive regulation of striated muscle c...	85	14	3.48	8.4e-06
GO:0019218	regulation of steroid metabolic process	320	31	13.1	8.6e-06
GO:0014070	response to organic cyclic compound	2160	128	88.43	8.7e-06
GO:0016101	diterpenoid metabolic process	261	27	10.69	9.9e-06
GO:0070542	response to fatty acid	203	23	8.31	1.0e-05
GO:0042362	fat-soluble vitamin biosynthetic process	123	17	5.04	1.1e-05
GO:0006692	prostanoid metabolic process	177	21	7.25	1.2e-05
GO:0006693	prostaglandin metabolic process	177	21	7.25	1.2e-05
GO:0010876	lipid localization	939	66	38.44	1.2e-05
GO:0006006	glucose metabolic process	425	37	17.4	1.4e-05
GO:0009150	purine ribonucleotide metabolic process	999	69	40.9	1.4e-05
GO:0010035	response to inorganic substance	1567	98	64.15	1.4e-05
GO:0019751	polyol metabolic process	347	32	14.21	1.7e-05
GO:0001523	retinoid metabolic process	254	26	10.4	1.7e-05
GO:0006716	juvenile hormone metabolic process	79	13	3.23	1.8e-05
GO:0008207	C21-steroid hormone metabolic process	154	19	6.3	1.8e-05
GO:0006638	neutral lipid metabolic process	287	28	11.75	2.0e-05
GO:0006639	acylglycerol metabolic process	287	28	11.75	2.0e-05
GO:0070989	oxidative demethylation	104	15	4.26	2.1e-05
GO:0010038	response to metal ion	1051	71	43.03	2.2e-05
GO:0019362	pyridine nucleotide metabolic process	306	29	12.53	2.5e-05
GO:0046496	nicotinamide nucleotide metabolic proces...	306	29	12.53	2.5e-05
GO:0090181	regulation of cholesterol metabolic proc...	107	15	4.38	3.0e-05
GO:0019433	triglyceride catabolic process	83	13	3.4	3.1e-05
GO:0044272	sulfur compound biosynthetic process	493	40	20.18	3.2e-05
GO:0006637	acyl-CoA metabolic process	248	25	10.15	3.2e-05
GO:0035383	thioester metabolic process	248	25	10.15	3.2e-05
GO:0007600	sensory perception	930	64	38.07	3.2e-05
GO:0042574	retinal metabolic process	61	11	2.5	3.2e-05
GO:0062012	regulation of small molecule metabolic p...	836	59	34.23	3.3e-05
GO:0042359	vitamin D metabolic process	134	17	5.49	3.4e-05
GO:0046890	regulation of lipid biosynthetic process	394	34	16.13	3.7e-05
GO:0042440	pigment metabolic process	462	38	18.91	3.7e-05
GO:0097306	cellular response to alcohol	313	29	12.81	3.8e-05
GO:0019693	ribose phosphate metabolic process	1070	71	43.8	3.9e-05
GO:0006775	fat-soluble vitamin metabolic process	163	19	6.67	4.0e-05
GO:0009259	ribonucleotide metabolic process	1034	69	42.33	4.2e-05
GO:0097164	ammonium ion metabolic process	452	37	18.5	5.2e-05
GO:0006749	glutathione metabolic process	240	24	9.83	5.3e-05
GO:0072523	purine-containing compound catabolic pro...	127	16	5.2	6.3e-05
GO:0033865	nucleoside bisphosphate metabolic proces...	339	30	13.88	6.6e-05
GO:0033875	ribonucleoside bisphosphate metabolic pr...	339	30	13.88	6.6e-05
GO:0034032	purine nucleoside bisphosphate metabolic...	339	30	13.88	6.6e-05
GO:1901700	response to oxygen-containing compound	3300	176	135.1	7.3e-05
GO:0008206	bile acid metabolic process	90	13	3.68	7.3e-05
GO:0019217	regulation of fatty acid metabolic proce...	261	25	10.69	7.5e-05
GO:0072522	purine-containing compound biosynthetic ...	604	45	24.73	8.2e-05
GO:0032365	intracellular lipid transport	79	12	3.23	8.4e-05
GO:0045471	response to ethanol	623	46	25.51	8.5e-05
GO:1901605	alpha-amino acid metabolic process	607	45	24.85	9.3e-05
GO:0046461	neutral lipid catabolic process	105	14	4.3	9.6e-05
GO:0046464	acylglycerol catabolic process	105	14	4.3	9.6e-05
GO:0019318	hexose metabolic process	559	42	22.88	0.00012
GO:0001101	response to acid chemical	858	58	35.13	0.00012
GO:0018879	biphenyl metabolic process	108	14	4.42	0.00013
GO:0046503	glycerolipid catabolic process	122	15	4.99	0.00014
GO:0001516	prostaglandin biosynthetic process	123	15	5.04	0.00015
GO:0046457	prostanoid biosynthetic process	123	15	5.04	0.00015
GO:0006814	sodium ion transport	530	40	21.7	0.00015
GO:0032368	regulation of lipid transport	290	26	11.87	0.00016
GO:0009725	response to hormone	2238	125	91.62	0.00016
GO:1901361	organic cyclic compound catabolic proces...	1327	81	54.33	0.00019
GO:0032370	positive regulation of lipid transport	168	18	6.88	0.00019
GO:0031034	myosin filament assembly	62	10	2.54	0.00019
GO:0030301	cholesterol transport	184	19	7.53	0.00020
GO:0015918	sterol transport	200	20	8.19	0.00022
GO:0046364	monosaccharide biosynthetic process	263	24	10.77	0.00022
GO:0045922	negative regulation of fatty acid metabo...	100	13	4.09	0.00022
GO:0042537	benzene-containing compound metabolic pr...	171	18	7	0.00023
GO:0015718	monocarboxylic acid transport	416	33	17.03	0.00023
GO:0006011	UDP-glucose metabolic process	128	15	5.24	0.00024
GO:0032374	regulation of cholesterol transport	101	13	4.13	0.00024
GO:0006164	purine nucleotide biosynthetic process	578	42	23.66	0.00024
GO:0006942	regulation of striated muscle contractio...	233	22	9.54	0.00024
GO:0016063	rhodopsin biosynthetic process	76	11	3.11	0.00025
GO:0009404	toxin metabolic process	115	14	4.71	0.00025
GO:0006820	monoatomic anion transport	1341	81	54.9	0.00026
GO:0044270	cellular nitrogen compound catabolic pro...	1160	72	47.49	0.00027
GO:0033574	response to testosterone	173	18	7.08	0.00027
GO:0071361	cellular response to ethanol	144	16	5.9	0.00028
GO:0045933	positive regulation of muscle contractio...	130	15	5.32	0.00028
GO:0046154	rhodopsin metabolic process	77	11	3.15	0.00029
GO:0006869	lipid transport	679	47	27.8	0.00032
GO:0046148	pigment biosynthetic process	254	23	10.4	0.00033
GO:0006103	2-oxoglutarate metabolic process	91	12	3.73	0.00033
GO:0035725	sodium ion transmembrane transport	479	36	19.61	0.00035
GO:0032371	regulation of sterol transport	105	13	4.3	0.00035
GO:0007588	excretion	289	25	11.83	0.00037
GO:0006520	amino acid metabolic process	799	53	32.71	0.00038
GO:0016114	terpenoid biosynthetic process	93	12	3.81	0.00040
GO:0006090	pyruvate metabolic process	227	21	9.29	0.00044
GO:0006695	cholesterol biosynthetic process	136	15	5.57	0.00046
GO:0048069	eye pigmentation	181	18	7.41	0.00047
GO:0046434	organophosphate catabolic process	347	28	14.21	0.00052
GO:0031667	response to nutrient levels	1475	86	60.39	0.00052
GO:0006811	monoatomic ion transport	2698	143	110.45	0.00055
GO:0052695	cellular glucuronidation	110	13	4.5	0.00056
GO:0008299	isoprenoid biosynthetic process	111	13	4.54	0.00061
GO:0045939	negative regulation of steroid metabolic...	111	13	4.54	0.00061
GO:0098771	inorganic ion homeostasis	1195	72	48.92	0.00062
GO:1905954	positive regulation of lipid localizatio...	217	20	8.88	0.00062
GO:0046677	response to antibiotic	994	62	40.69	0.00063
GO:0009165	nucleotide biosynthetic process	701	47	28.7	0.00064
GO:0044273	sulfur compound catabolic process	98	12	4.01	0.00065
GO:0050877	nervous system process	1930	107	79.01	0.00067
GO:0006739	NADP metabolic process	127	14	5.2	0.00071
GO:1901293	nucleoside phosphate biosynthetic proces...	706	47	28.9	0.00074
GO:0071394	cellular response to testosterone stimul...	86	11	3.52	0.00075
GO:0008210	estrogen metabolic process	129	14	5.28	0.00083
GO:0042168	heme metabolic process	159	16	6.51	0.00083
GO:0015711	organic anion transport	1128	68	46.18	0.00086
GO:0009991	response to extracellular stimulus	1500	86	61.41	0.00087
GO:0015908	fatty acid transport	223	20	9.13	0.00088
GO:0010565	regulation of cellular ketone metabolic ...	359	28	14.7	0.00088
GO:0042221	response to chemical	6831	321	279.66	0.00091
GO:0019915	lipid storage	378	29	15.48	0.00093
GO:0044262	cellular carbohydrate metabolic process	695	46	28.45	0.00095
GO:0006063	uronic acid metabolic process	131	14	5.36	0.00096
GO:0019585	glucuronate metabolic process	131	14	5.36	0.00096
GO:0046470	phosphatidylcholine metabolic process	146	15	5.98	0.00097
GO:0009152	purine ribonucleotide biosynthetic proce...	470	34	19.24	0.00099
GO:0010883	regulation of lipid storage	210	19	8.6	0.00105
GO:0035337	fatty-acyl-CoA metabolic process	118	13	4.83	0.00109
GO:0045540	regulation of cholesterol biosynthetic p...	90	11	3.68	0.00110
GO:0070980	biphenyl catabolic process	90	11	3.68	0.00110
GO:0106118	regulation of sterol biosynthetic proces...	90	11	3.68	0.00110
GO:0048878	chemical homeostasis	1937	106	79.3	0.00111
GO:0050810	regulation of steroid biosynthetic proce...	164	16	6.71	0.00116
GO:0065008	regulation of biological quality	6761	317	276.79	0.00119
GO:1902653	secondary alcohol biosynthetic process	149	15	6.1	0.00119
GO:0006778	porphyrin-containing compound metabolic ...	166	16	6.8	0.00132
GO:0008344	adult locomotory behavior	351	27	14.37	0.00132
GO:0072350	tricarboxylic acid metabolic process	121	13	4.95	0.00137
GO:0006941	striated muscle contraction	336	26	13.76	0.00148
GO:0008015	blood circulation	909	56	37.21	0.00151
GO:0015701	bicarbonate transport	80	10	3.28	0.00154
GO:0003013	circulatory system process	952	58	38.97	0.00161
GO:0032355	response to estradiol	375	28	15.35	0.00169
GO:0052697	xenobiotic glucuronidation	95	11	3.89	0.00172
GO:0035384	thioester biosynthetic process	155	15	6.35	0.00177
GO:0071616	acyl-CoA biosynthetic process	155	15	6.35	0.00177
GO:0071384	cellular response to corticosteroid stim...	237	20	9.7	0.00184
GO:0042304	regulation of fatty acid biosynthetic pr...	96	11	3.93	0.00187
GO:0016126	sterol biosynthetic process	156	15	6.39	0.00189
GO:0019319	hexose biosynthetic process	188	17	7.7	0.00190
GO:0042178	xenobiotic catabolic process	141	14	5.77	0.00195
GO:0032411	positive regulation of transporter activ...	205	18	8.39	0.00197
GO:0046390	ribose phosphate biosynthetic process	510	35	20.88	0.00206
GO:0070988	demethylation	158	15	6.47	0.00214
GO:0090407	organophosphate biosynthetic process	1357	77	55.55	0.00215
GO:0006726	eye pigment biosynthetic process	143	14	5.85	0.00223
GO:0042441	eye pigment metabolic process	144	14	5.9	0.00238
GO:0043324	pigment metabolic process involved in de...	144	14	5.9	0.00238
GO:0043474	pigment metabolic process involved in pi...	144	14	5.9	0.00238
GO:0050905	neuromuscular process	348	26	14.25	0.00241
GO:0006094	gluconeogenesis	176	16	7.21	0.00241
GO:0006027	glycosaminoglycan catabolic process	114	12	4.67	0.00246
GO:0046949	fatty-acyl-CoA biosynthetic process	114	12	4.67	0.00246
GO:0009260	ribonucleotide biosynthetic process	497	34	20.35	0.00250
GO:0006605	protein targeting	730	46	29.89	0.00252
GO:0032409	regulation of transporter activity	442	31	18.1	0.00261
GO:0015909	long-chain fatty acid transport	86	10	3.52	0.00266
GO:0033866	nucleoside bisphosphate biosynthetic pro...	178	16	7.29	0.00270
GO:0034030	ribonucleoside bisphosphate biosynthetic...	178	16	7.29	0.00270
GO:0034033	purine nucleoside bisphosphate biosynthe...	178	16	7.29	0.00270
GO:0071385	cellular response to glucocorticoid stim...	229	19	9.38	0.00285
GO:0055080	monoatomic cation homeostasis	1121	65	45.89	0.00286
GO:0045833	negative regulation of lipid metabolic p...	213	18	8.72	0.00299
GO:0006953	acute-phase response	132	13	5.4	0.00299
GO:0006101	citrate metabolic process	88	10	3.6	0.00315
GO:1901655	cellular response to ketone	285	22	11.67	0.00340
GO:0050801	monoatomic ion homeostasis	1297	73	53.1	0.00341
GO:0031033	myosin filament organization	89	10	3.64	0.00342
GO:0006091	generation of precursor metabolites and ...	843	51	34.51	0.00348
GO:0097237	cellular response to toxic substance	585	38	23.95	0.00350
GO:0019755	one-carbon compound transport	90	10	3.68	0.00372
GO:0030534	adult behavior	530	35	21.7	0.00384
GO:0009066	aspartate family amino acid metabolic pr...	152	14	6.22	0.00390
GO:0015849	organic acid transport	769	47	31.48	0.00408
GO:0046942	carboxylic acid transport	769	47	31.48	0.00408
GO:0035094	response to nicotine	170	15	6.96	0.00430
GO:0033013	tetrapyrrole metabolic process	238	19	9.74	0.00435
GO:1901136	carbohydrate derivative catabolic proces...	401	28	16.42	0.00436
GO:0002028	regulation of sodium ion transport	138	13	5.65	0.00439
GO:0010043	response to zinc ion	221	18	9.05	0.00441
GO:1901565	organonitrogen compound catabolic proces...	2621	133	107.3	0.00444
GO:0006109	regulation of carbohydrate metabolic pro...	442	30	18.1	0.00486
GO:0042632	cholesterol homeostasis	189	16	7.74	0.00487
GO:0055092	sterol homeostasis	189	16	7.74	0.00487
GO:0044057	regulation of system process	1045	60	42.78	0.00506
GO:0000096	sulfur amino acid metabolic process	94	10	3.85	0.00508
GO:0062014	negative regulation of small molecule me...	225	18	9.21	0.00531
GO:0042573	retinoic acid metabolic process	142	13	5.81	0.00558
GO:1902930	regulation of alcohol biosynthetic proce...	142	13	5.81	0.00558
GO:1901659	glycosyl compound biosynthetic process	111	11	4.54	0.00580
GO:1901657	glycosyl compound metabolic process	410	28	16.79	0.00587
GO:0016137	glycoside metabolic process	96	10	3.93	0.00589
GO:0010959	regulation of metal ion transport	604	38	24.73	0.00589
GO:0017001	antibiotic catabolic process	160	14	6.55	0.00613
GO:0009166	nucleotide catabolic process	246	19	10.07	0.00618
GO:0007626	locomotory behavior	848	50	34.72	0.00618
GO:0007568	aging	1459	79	59.73	0.00628
GO:0050885	neuromuscular process controlling balanc...	128	12	5.24	0.00631
GO:0009225	nucleotide-sugar metabolic process	197	16	8.07	0.00720
GO:0030001	metal ion transport	1489	80	60.96	0.00721
GO:0061337	cardiac conduction	164	14	6.71	0.00758
GO:0051928	positive regulation of calcium ion trans...	216	17	8.84	0.00776
GO:0098754	detoxification	326	23	13.35	0.00818
GO:1901292	nucleoside phosphate catabolic process	271	20	11.09	0.00823
GO:0009812	flavonoid metabolic process	101	10	4.13	0.00837
GO:0010675	regulation of cellular carbohydrate meta...	385	26	15.76	0.00890
GO:0030104	water homeostasis	102	10	4.18	0.00895
GO:0035296	regulation of tube diameter	292	21	11.95	0.00912
GO:1903522	regulation of blood circulation	483	31	19.77	0.00928
GO:1901137	carbohydrate derivative biosynthetic pro...	1268	69	51.91	0.00931
GO:0043270	positive regulation of monoatomic ion tr...	523	33	21.41	0.00945
GO:0042447	hormone catabolic process	135	12	5.53	0.00951
