go	cluster	parent	parentSimScore	score	size	term	parentTerm
GO:0006396	1	GO:0006396	0.982	30	544	RNA processing	RNA processing
GO:0016070	2	GO:0016070	0.921	27.130768280269	7	RNA metabolic process	RNA metabolic process
GO:0022613	3	GO:0022613	0.995	26.3372421683184	1	ribonucleoprotein complex biogenesis	ribonucleoprotein complex biogenesis
GO:0010467	2	GO:0016070	0.502	26.3187587626244	88	gene expression	RNA metabolic process
GO:0090304	2	GO:0016070	0.857	26	0	nucleic acid metabolic process	RNA metabolic process
GO:0042254	3	GO:0022613	0.954	22.9586073148418	32	ribosome biogenesis	ribonucleoprotein complex biogenesis
GO:0071840	4	GO:0071840	0.892	21.0915149811213	0	cellular component organization or biogenesis	cellular component organization or biogenesis
GO:0043170	2	GO:0016070	0.579	20.1870866433571	1	macromolecule metabolic process	RNA metabolic process
GO:0034470	5	GO:0034470	0.995	19.7695510786217	2	ncRNA processing	ncRNA processing
GO:0034660	5	GO:0034470	0.95	19.0861861476163	0	ncRNA metabolic process	ncRNA processing
GO:0006364	5	GO:0034470	0.92	18.0915149811213	116	rRNA processing	ncRNA processing
GO:0016072	5	GO:0034470	0.859	17.4436974992327	2	rRNA metabolic process	ncRNA processing
GO:0060255	2	GO:0016070	0.504	16.4559319556497	0	regulation of macromolecule metabolic process	RNA metabolic process
GO:0016071	5	GO:0034470	0.48	14.8860566476932	6	mRNA metabolic process	ncRNA processing
GO:0051171	2	GO:0016070	0.498	13.9208187539524	1	regulation of nitrogen compound metabolic process	RNA metabolic process
GO:0044085	3	GO:0022613	0.744	13.7958800173441	1	cellular component biogenesis	ribonucleoprotein complex biogenesis
GO:0010468	2	GO:0016070	0.471	13.7695510786217	202	regulation of gene expression	RNA metabolic process
GO:0006139	2	GO:0016070	0.83	13.568636235841	30	nucleobase-containing compound metabolic process	RNA metabolic process
GO:0010556	6	GO:0010556	0.945	13.1487416512809	0	regulation of macromolecule biosynthetic process	regulation of macromolecule biosynthetic process
GO:0048522	7	GO:0048522	0.893	12.6777807052661	0	positive regulation of cellular process	positive regulation of cellular process
