go	cluster	parent	parentSimScore	score	size	term	parentTerm
GO:0019827	1	GO:0019827	0.999	6.42021640338319	37	stem cell population maintenance	stem cell population maintenance
GO:0098727	1	GO:0019827	0.996	6.39794000867204	1	maintenance of cell number	stem cell population maintenance
GO:0080090	2	GO:0080090	0.906	5.88605664769316	0	regulation of primary metabolic process	regulation of primary metabolic process
GO:0051171	2	GO:0080090	0.728	5.46852108295774	1	regulation of nitrogen compound metabolic process	regulation of primary metabolic process
GO:0060255	2	GO:0080090	0.775	5.06550154875643	0	regulation of macromolecule metabolic process	regulation of primary metabolic process
GO:0048468	3	GO:0048468	0.965	5.05551732784983	21	cell development	cell development
GO:0090304	4	GO:0090304	0.901	5.00436480540245	0	nucleic acid metabolic process	nucleic acid metabolic process
GO:0031323	2	GO:0080090	0.726	4.95860731484177	0	regulation of cellular metabolic process	regulation of primary metabolic process
GO:0019222	2	GO:0080090	0.794	4.92081875395237	3	regulation of metabolic process	regulation of primary metabolic process
GO:0016070	4	GO:0090304	0.857	4.88605664769316	7	RNA metabolic process	nucleic acid metabolic process
GO:0071345	5	GO:0071345	0.991	4.69897000433602	33	cellular response to cytokine stimulus	cellular response to cytokine stimulus
GO:0030718	1	GO:0019827	0.766	4.67778070526608	4	germ-line stem cell population maintenance	stem cell population maintenance
GO:0006396	4	GO:0090304	0.657	4.65757731917779	544	RNA processing	nucleic acid metabolic process
GO:0030154	3	GO:0048468	0.833	4.65757731917779	599	cell differentiation	cell development
GO:0051173	6	GO:0051173	0.961	4.58502665202918	2	positive regulation of nitrogen compound metabolic process	positive regulation of nitrogen compound metabolic process
GO:0048869	3	GO:0048468	0.831	4.55284196865778	0	cellular developmental process	cell development
GO:0019221	5	GO:0071345	0.934	4.3767507096021	149	cytokine-mediated signaling pathway	cellular response to cytokine stimulus
GO:0034097	5	GO:0071345	0.973	4.35654732351381	49	response to cytokine	cellular response to cytokine stimulus
GO:0032501	7	GO:0032501	0.805	4.29242982390206	0	multicellular organismal process	multicellular organismal process
GO:0007275	3	GO:0048468	0.598	4.25963731050576	79	multicellular organism development	cell development
GO:0010604	6	GO:0051173	0.868	4.2518119729938	0	positive regulation of macromolecule metabolic process	positive regulation of nitrogen compound metabolic process
GO:0008283	8	GO:0008283	0.976	4.23657200643706	149	cell population proliferation	cell population proliferation
GO:0048856	3	GO:0048468	0.631	4.21467016498923	49	anatomical structure development	cell development
GO:0032502	3	GO:0048468	0.592	4.21467016498923	18	developmental process	cell development
GO:0009893	6	GO:0051173	0.884	4.19382002601611	0	positive regulation of metabolic process	positive regulation of nitrogen compound metabolic process
GO:2000026	9	GO:2000026	0.985	4.15490195998574	0	regulation of multicellular organismal development	regulation of multicellular organismal development
