go	cluster	parent	parentSimScore	score	size	term	parentTerm
GO:0032501	1	GO:0032501	0.805	7.04575749056067	0	multicellular organismal process	multicellular organismal process
GO:0140352	2	GO:0140352	0.989	6.26760624017703	0	export from cell	export from cell
GO:0046330	3	GO:0046330	0.999	5.92081875395237	105	positive regulation of JNK cascade	positive regulation of JNK cascade
GO:0070304	3	GO:0046330	0.969	5.92081875395237	2	positive regulation of stress-activated protein kinase signaling cascade	positive regulation of JNK cascade
GO:0032874	3	GO:0046330	0.97	5.92081875395237	19	positive regulation of stress-activated MAPK cascade	positive regulation of JNK cascade
GO:0032872	3	GO:0046330	0.932	5.88605664769316	11	regulation of stress-activated MAPK cascade	positive regulation of JNK cascade
GO:0070302	3	GO:0046330	0.931	5.88605664769316	1	regulation of stress-activated protein kinase signaling cascade	positive regulation of JNK cascade
GO:0050793	4	GO:0050793	0.968	5.82390874094432	7	regulation of developmental process	regulation of developmental process
GO:0051094	4	GO:0050793	0.867	5.79588001734407	2	positive regulation of developmental process	regulation of developmental process
GO:0046328	3	GO:0046330	0.965	5.69897000433602	16	regulation of JNK cascade	positive regulation of JNK cascade
GO:0032940	2	GO:0140352	0.981	5.61978875828839	10	secretion by cell	export from cell
GO:0046903	2	GO:0140352	0.493	5.56863623584101	8	secretion	export from cell
GO:0065007	5	GO:0065007	0.575	5.3767507096021	0	biological regulation	biological regulation
GO:0032502	6	GO:0032502	0.84	5.31875876262441	18	developmental process	developmental process
GO:0032147	7	GO:0032147	0.999	5.2839966563652	45	activation of protein kinase activity	activation of protein kinase activity
GO:0051403	3	GO:0046330	0.906	5.13076828026902	19	stress-activated MAPK cascade	positive regulation of JNK cascade
GO:0007254	3	GO:0046330	0.94	5	64	JNK cascade	positive regulation of JNK cascade
GO:0051239	1	GO:0032501	0.573	5	0	regulation of multicellular organismal process	multicellular organismal process
GO:0007166	8	GO:0007166	0.958	4.92081875395237	299	cell surface receptor signaling pathway	cell surface receptor signaling pathway
GO:0042327	9	GO:0042327	0.992	4.92081875395237	29	positive regulation of phosphorylation	positive regulation of phosphorylation
