GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0034248	regulation of amide metabolic process	933	60	36.18	7.8e-05
GO:0048546	digestive tract morphogenesis	189	19	7.33	0.00014
GO:0006417	regulation of translation	775	51	30.06	0.00016
GO:0006396	RNA processing	1688	94	65.46	0.00019
GO:0007275	multicellular organism development	7278	325	282.25	0.00028
GO:0045184	establishment of protein localization	2916	147	113.08	0.00030
GO:0071840	cellular component organization or bioge...	8560	374	331.96	0.00033
GO:0045176	apical protein localization	83	11	3.22	0.00035
GO:0060251	regulation of glial cell proliferation	84	11	3.26	0.00039
GO:0048856	anatomical structure development	7765	342	301.13	0.00050
GO:0014009	glial cell proliferation	101	12	3.92	0.00053
GO:0006897	endocytosis	1047	62	40.6	0.00056
GO:0051128	regulation of cellular component organiz...	3600	174	139.61	0.00059
GO:0006325	chromatin organization	1116	65	43.28	0.00063
GO:0048729	tissue morphogenesis	1484	82	57.55	0.00063
GO:0036211	protein modification process	4612	215	178.86	0.00077
GO:0007424	open tracheal system development	397	29	15.4	0.00085
GO:0002009	morphogenesis of an epithelium	1370	76	53.13	0.00091
GO:0043297	apical junction assembly	187	17	7.25	0.00100
GO:0048193	Golgi vesicle transport	677	43	26.25	0.00104
GO:0048565	digestive tract development	365	27	14.15	0.00105
GO:0034470	ncRNA processing	719	45	27.88	0.00108
GO:0032502	developmental process	8290	359	321.49	0.00125
GO:0014013	regulation of gliogenesis	159	15	6.17	0.00133
GO:0120192	tight junction assembly	160	15	6.2	0.00142
GO:0007623	circadian rhythm	392	28	15.2	0.00145
GO:0016072	rRNA metabolic process	508	34	19.7	0.00145
GO:0007611	learning or memory	648	41	25.13	0.00145
GO:0010721	negative regulation of cell development	648	41	25.13	0.00145
GO:0098657	import into cell	1024	59	39.71	0.00145
GO:0009653	anatomical structure morphogenesis	4323	201	167.65	0.00146
GO:0019827	stem cell population maintenance	318	24	12.33	0.00149
GO:0006888	endoplasmic reticulum to Golgi vesicle-m...	374	27	14.5	0.00150
GO:0098727	maintenance of cell number	319	24	12.37	0.00155
GO:0006898	receptor-mediated endocytosis	375	27	14.54	0.00156
GO:0043412	macromolecule modification	4848	222	188.01	0.00164
GO:0048512	circadian behavior	179	16	6.94	0.00165
GO:0006364	rRNA processing	455	31	17.65	0.00175
GO:0014015	positive regulation of gliogenesis	86	10	3.34	0.00179
GO:0120193	tight junction organization	164	15	6.36	0.00182
GO:0055123	digestive system development	380	27	14.74	0.00188
GO:0048863	stem cell differentiation	287	22	11.13	0.00190
GO:0008104	protein localization	3862	181	149.77	0.00197
GO:0016575	histone deacetylation	102	11	3.96	0.00199
GO:0001505	regulation of neurotransmitter levels	640	40	24.82	0.00206
GO:0034249	negative regulation of amide metabolic p...	402	28	15.59	0.00209
GO:0060562	epithelial tube morphogenesis	998	57	38.7	0.00212
GO:0035159	regulation of tube length, open tracheal...	89	10	3.45	0.00231
GO:0001708	cell fate specification	238	19	9.23	0.00239
GO:0080090	regulation of primary metabolic process	5929	264	229.93	0.00242
GO:0007622	rhythmic behavior	186	16	7.21	0.00244
GO:0050768	negative regulation of neurogenesis	485	32	18.81	0.00246
GO:0051489	regulation of filopodium assembly	153	14	5.93	0.00253
GO:0035152	regulation of tube architecture, open tr...	187	16	7.25	0.00258
GO:0050890	cognition	671	41	26.02	0.00274
GO:0019882	antigen processing and presentation	259	20	10.04	0.00275
GO:0060446	branching involved in open tracheal syst...	107	11	4.15	0.00291
GO:0034660	ncRNA metabolic process	1013	57	39.28	0.00294
GO:0051130	positive regulation of cellular componen...	1844	94	71.51	0.00321
GO:0015031	protein transport	2754	133	106.8	0.00328
GO:0019538	protein metabolic process	7307	317	283.37	0.00339
GO:0070727	cellular macromolecule localization	3933	182	152.52	0.00339
GO:0048194	Golgi vesicle budding	158	14	6.13	0.00340
GO:0007276	gamete generation	2266	112	87.88	0.00352
GO:0048522	positive regulation of cellular process	5918	262	229.5	0.00360
GO:0045665	negative regulation of neuron differenti...	342	24	13.26	0.00383
GO:2000736	regulation of stem cell differentiation	112	11	4.34	0.00414
GO:0043170	macromolecule metabolic process	9909	416	384.28	0.00422
GO:0060541	respiratory system development	649	39	25.17	0.00455
GO:0051246	regulation of protein metabolic process	3573	166	138.56	0.00467
GO:0033036	macromolecule localization	4453	202	172.69	0.00474
GO:0030100	regulation of endocytosis	427	28	16.56	0.00485
GO:0048598	embryonic morphogenesis	1126	61	43.67	0.00493
GO:0071345	cellular response to cytokine stimulus	1082	59	41.96	0.00493
GO:0046847	filopodium assembly	165	14	6.4	0.00501
