C0 (4060 genes)	C1 (1821 genes)	C2 (1008 genes)	C3 (1919 genes)	C4 (4920 genes)	C5 (2858 genes)	C6 (1913 genes)	C7 (256 genes)
Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes
Pele_DN0_c0_g1_i20	Pele_DN10035_c0_g1_i25	Pele_DN1006_c0_g1_i19	Pele_DN10062_c0_g1_i2	Pele_DN0_c3_g1_i5	Pele_DN1001_c0_g1_i107	Pele_DN0_c0_g1_i6	Pele_DN10126_c0_g1_i11
Pele_DN100011_c0_g2_i1	Pele_DN10096_c0_g1_i1	Pele_DN10122_c0_g1_i10	Pele_DN1006_c1_g1_i10	Pele_DN10027_c0_g1_i15	Pele_DN1002_c0_g2_i7	Pele_DN10013_c1_g1_i14	Pele_DN10286_c0_g1_i7
Pele_DN100011_c0_g3_i1	Pele_DN10145_c0_g1_i12	Pele_DN101577_c0_g1_i2	Pele_DN1006_c1_g2_i1	Pele_DN1008_c0_g1_i12	Pele_DN10038_c0_g1_i8	Pele_DN1002_c0_g2_i5	Pele_DN10693_c0_g1_i4
Pele_DN100022_c0_g1_i2	Pele_DN101839_c0_g1_i13	Pele_DN10248_c0_g1_i4	Pele_DN10079_c0_g1_i2	Pele_DN1008_c0_g1_i18	Pele_DN10058_c0_g1_i1	Pele_DN1006_c1_g1_i5	Pele_DN10745_c0_g1_i9
Pele_DN10005_c0_g2_i8	Pele_DN10274_c0_g1_i30	Pele_DN10248_c2_g1_i2	Pele_DN10079_c0_g1_i3	Pele_DN1008_c0_g1_i7	Pele_DN10069_c0_g1_i2	Pele_DN10113_c0_g2_i1	Pele_DN11116_c1_g1_i1
Pele_DN10006_c0_g1_i5	Pele_DN10274_c0_g1_i5	Pele_DN102_c0_g1_i3	Pele_DN10129_c0_g1_i18	Pele_DN10106_c0_g1_i3	Pele_DN10071_c0_g1_i2	Pele_DN10142_c0_g1_i10	Pele_DN11141_c0_g1_i10
Pele_DN10014_c0_g1_i3	Pele_DN10380_c0_g3_i2	Pele_DN105011_c0_g1_i2	Pele_DN101801_c0_g2_i3	Pele_DN10152_c1_g1_i4	Pele_DN100741_c0_g1_i1	Pele_DN10242_c1_g1_i18	Pele_DN11869_c0_g1_i2
Pele_DN1001_c0_g1_i80	Pele_DN104258_c0_g1_i1	Pele_DN10535_c0_g1_i2	Pele_DN10233_c0_g1_i23	Pele_DN10155_c0_g2_i1	Pele_DN1007_c4_g1_i1	Pele_DN10260_c1_g1_i5	Pele_DN12164_c1_g1_i4
Pele_DN10063_c0_g1_i1	Pele_DN10480_c0_g1_i48	Pele_DN105732_c1_g1_i1	Pele_DN10260_c1_g1_i9	Pele_DN10156_c1_g1_i3	Pele_DN10086_c0_g1_i4	Pele_DN10307_c0_g1_i6	Pele_DN1281_c2_g1_i6
Pele_DN1007_c0_g1_i8	Pele_DN10495_c0_g1_i2	Pele_DN10615_c0_g2_i10	Pele_DN10263_c0_g1_i2	Pele_DN1017_c0_g1_i1	Pele_DN10092_c0_g1_i1	Pele_DN10317_c0_g2_i15	Pele_DN13107_c0_g1_i13
Pele_DN10121_c0_g1_i1	Pele_DN10497_c0_g1_i11	Pele_DN10693_c0_g1_i7	Pele_DN10353_c3_g1_i3	Pele_DN10186_c0_g1_i2	Pele_DN10116_c0_g2_i1	Pele_DN10350_c0_g1_i5	Pele_DN14134_c0_g1_i2
Pele_DN10128_c0_g1_i1	Pele_DN1055_c0_g1_i10	Pele_DN10910_c0_g1_i2	Pele_DN1038_c2_g1_i6	Pele_DN1018_c0_g1_i4	Pele_DN10139_c0_g1_i5	Pele_DN10365_c0_g1_i14	Pele_DN14359_c3_g1_i2
