go	cluster	parent	parentSimScore	score	size	term	parentTerm
GO:0001816	1	GO:0001816	0.986	5.92081875395237	7	cytokine production	cytokine production
GO:0065007	2	GO:0065007	0.575	5.69897000433602	0	biological regulation	biological regulation
GO:0031098	3	GO:0031098	0.998	5.58502665202918	6	stress-activated protein kinase signaling cascade	stress-activated protein kinase signaling cascade
GO:0001817	1	GO:0001816	0.985	5.50863830616573	64	regulation of cytokine production	cytokine production
GO:0051403	3	GO:0031098	0.996	4.79588001734407	19	stress-activated MAPK cascade	stress-activated protein kinase signaling cascade
GO:0051179	4	GO:0051179	0.895	4.76955107862173	32	localization	localization
GO:0007254	3	GO:0031098	0.962	4.60205999132796	64	JNK cascade	stress-activated protein kinase signaling cascade
GO:0065009	5	GO:0065009	0.97	4.52287874528034	0	regulation of molecular function	regulation of molecular function
GO:0007435	6	GO:0007435	1	4.34678748622466	7	salivary gland morphogenesis	salivary gland morphogenesis
GO:1902107	7	GO:1902107	0.998	4.30102999566398	0	positive regulation of leukocyte differentiation	positive regulation of leukocyte differentiation
GO:0050794	2	GO:0065007	0.491	4.20760831050175	0	regulation of cellular process	biological regulation
GO:0007431	6	GO:0007435	0.993	4.13667713987954	3	salivary gland development	salivary gland morphogenesis
GO:0002684	7	GO:1902107	0.779	3.92081875395238	2	positive regulation of immune system process	positive regulation of leukocyte differentiation
GO:0035272	6	GO:0007435	0.974	3.92081875395238	2	exocrine system development	salivary gland morphogenesis
GO:0002764	7	GO:1902107	0.629	3.82390874094432	1	immune response-regulating signaling pathway	positive regulation of leukocyte differentiation
GO:0002699	7	GO:1902107	0.672	3.74472749489669	0	positive regulation of immune effector process	positive regulation of leukocyte differentiation
GO:1903708	7	GO:1902107	0.998	3.67778070526608	0	positive regulation of hemopoiesis	positive regulation of leukocyte differentiation
GO:0002757	7	GO:1902107	0.704	3.65757731917779	1	immune response-activating signaling pathway	positive regulation of leukocyte differentiation
GO:0002221	8	GO:0002221	0.998	3.61978875828839	13	pattern recognition receptor signaling pathway	pattern recognition receptor signaling pathway
GO:0002758	8	GO:0002221	0.991	3.60205999132796	1	innate immune response-activating signaling pathway	pattern recognition receptor signaling pathway
GO:0050778	7	GO:1902107	0.741	3.60205999132796	20	positive regulation of immune response	positive regulation of leukocyte differentiation
GO:0035556	3	GO:0031098	0.689	3.58502665202918	413	intracellular signal transduction	stress-activated protein kinase signaling cascade
GO:0002253	7	GO:1902107	0.717	3.56863623584101	2	activation of immune response	positive regulation of leukocyte differentiation
GO:0048870	9	GO:0048870	0.979	3.56863623584101	39	cell motility	cell motility
GO:0001818	1	GO:0001816	0.874	3.56863623584101	33	negative regulation of cytokine production	cytokine production
GO:0006468	10	GO:0006468	0.979	3.55284196865778	578	protein phosphorylation	protein phosphorylation
GO:0050789	2	GO:0065007	0.552	3.49485002168009	0	regulation of biological process	biological regulation
GO:0042246	11	GO:0042246	0.999	3.46852108295774	20	tissue regeneration	tissue regeneration
GO:0032879	4	GO:0051179	0.684	3.45593195564972	1	regulation of localization	localization
GO:0044093	5	GO:0065009	0.889	3.39794000867204	0	positive regulation of molecular function	regulation of molecular function
GO:0042742	8	GO:0002221	0.677	3.38721614328026	151	defense response to bacterium	pattern recognition receptor signaling pathway
GO:0007249	3	GO:0031098	0.542	3.34678748622466	67	I-kappaB kinase/NF-kappaB signaling	stress-activated protein kinase signaling cascade
GO:0045229	12	GO:0045229	0.997	3.32790214206428	0	external encapsulating structure organization	external encapsulating structure organization
GO:0002224	13	GO:0002224	0.999	3.30102999566398	31	toll-like receptor signaling pathway	toll-like receptor signaling pathway
GO:0051336	5	GO:0065009	0.824	3.27572413039921	1	regulation of hydrolase activity	regulation of molecular function
GO:0009611	14	GO:0009611	0.995	3.25963731050576	68	response to wounding	response to wounding
GO:0002218	8	GO:0002221	0.983	3.21467016498923	37	activation of innate immune response	pattern recognition receptor signaling pathway
GO:0002833	8	GO:0002221	0.954	3.20065945054642	0	positive regulation of response to biotic stimulus	pattern recognition receptor signaling pathway
GO:0032680	1	GO:0001816	0.779	3.19382002601611	12	regulation of tumor necrosis factor production	cytokine production
GO:1903555	1	GO:0001816	0.781	3.19382002601611	0	regulation of tumor necrosis factor superfamily cytokine production	cytokine production
GO:0022612	15	GO:0022612	0.999	3.18045606445813	7	gland morphogenesis	gland morphogenesis
GO:0032640	1	GO:0001816	0.779	3.14874165128092	0	tumor necrosis factor production	cytokine production
GO:0071706	1	GO:0001816	0.781	3.14874165128092	0	tumor necrosis factor superfamily cytokine production	cytokine production
GO:0016477	9	GO:0048870	0.966	3.14266750356873	253	cell migration	cell motility
GO:1902105	7	GO:1902107	0.945	3.07572071393812	0	regulation of leukocyte differentiation	positive regulation of leukocyte differentiation
GO:0000209	16	GO:0000209	0.997	3.03151705144606	185	protein polyubiquitination	protein polyubiquitination
GO:0002700	7	GO:1902107	0.574	3.00877392430751	0	regulation of production of molecular mediator of immune response	positive regulation of leukocyte differentiation
GO:0051092	5	GO:0065009	0.675	3.00436480540245	209	positive regulation of NF-kappaB transcription factor activity	regulation of molecular function
GO:0050878	17	GO:0050878	0.996	2.99567862621736	4	regulation of body fluid levels	regulation of body fluid levels
GO:0050776	7	GO:1902107	0.675	2.98296666070122	32	regulation of immune response	positive regulation of leukocyte differentiation
GO:0006915	18	GO:0006915	0.975	2.97469413473523	573	apoptotic process	apoptotic process
GO:0048522	13	GO:0002224	0.349	2.96257350205938	0	positive regulation of cellular process	toll-like receptor signaling pathway
GO:0001819	1	GO:0001816	0.925	2.95078197732982	66	positive regulation of cytokine production	cytokine production
GO:0009653	15	GO:0022612	0.602	2.93554201077308	131	anatomical structure morphogenesis	gland morphogenesis
