GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0006261	DNA-templated DNA replication	238	41	11.87	3.0e-12
GO:0006260	DNA replication	405	53	20.2	1.2e-10
GO:0006259	DNA metabolic process	1210	106	60.36	7.5e-09
GO:1903047	mitotic cell cycle process	1503	118	74.98	4.3e-07
GO:0044260	cellular macromolecule metabolic process	8319	488	415	4.5e-07
GO:0006281	DNA repair	588	58	29.33	5.7e-07
GO:0044786	cell cycle DNA replication	113	20	5.64	7.2e-07
GO:0000280	nuclear division	819	73	40.86	1.0e-06
GO:0022402	cell cycle process	2337	166	116.58	1.0e-06
GO:0044772	mitotic cell cycle phase transition	794	71	39.61	1.3e-06
GO:0044770	cell cycle phase transition	945	80	47.14	2.3e-06
GO:0048285	organelle fission	907	77	45.25	3.2e-06
GO:0006270	DNA replication initiation	41	11	2.05	3.6e-06
GO:0060282	positive regulation of oocyte developmen...	43	11	2.15	5.9e-06
GO:0006974	cellular response to DNA damage stimulus	1028	83	51.28	9.1e-06
GO:1905881	positive regulation of oogenesis	63	13	3.14	1.1e-05
GO:0000278	mitotic cell cycle	1861	133	92.84	1.1e-05
GO:0031145	anaphase-promoting complex-dependent cat...	47	11	2.34	1.5e-05
GO:0140014	mitotic nuclear division	536	50	26.74	1.6e-05
GO:0010389	regulation of G2/M transition of mitotic...	222	27	11.07	1.7e-05
GO:0051783	regulation of nuclear division	389	39	19.41	2.8e-05
GO:0034645	cellular macromolecule biosynthetic proc...	5325	321	265.64	2.8e-05
GO:0097150	neuronal stem cell population maintenanc...	59	12	2.94	2.8e-05
GO:0051276	chromosome organization	1676	120	83.61	2.9e-05
GO:0006310	DNA recombination	229	27	11.42	3.0e-05
GO:0006302	double-strand break repair	255	29	12.72	3.1e-05
GO:0006284	base-excision repair	52	11	2.59	4.1e-05
GO:1903312	negative regulation of mRNA metabolic pr...	171	22	8.53	4.3e-05
GO:0007049	cell cycle	2856	186	142.47	4.9e-05
GO:0009948	anterior/posterior axis specification	372	37	18.56	5.3e-05
GO:0007088	regulation of mitotic nuclear division	319	33	15.91	6.2e-05
GO:1902749	regulation of cell cycle G2/M phase tran...	242	27	12.07	8.0e-05
GO:0033260	nuclear DNA replication	66	12	3.29	9.0e-05
GO:0010564	regulation of cell cycle process	1218	90	60.76	0.00011
GO:0097711	ciliary basal body-plasma membrane docki...	88	14	4.39	0.00011
GO:0000086	G2/M transition of mitotic cell cycle	288	30	14.37	0.00012
GO:0140013	meiotic nuclear division	374	36	18.66	0.00013
GO:0000819	sister chromatid segregation	447	41	22.3	0.00013
GO:1903046	meiotic cell cycle process	524	46	26.14	0.00015
GO:0048284	organelle fusion	334	33	16.66	0.00015
GO:0000724	double-strand break repair via homologou...	113	16	5.64	0.00015
GO:0000725	recombinational repair	113	16	5.64	0.00015
GO:0000723	telomere maintenance	213	24	10.63	0.00017
GO:0032508	DNA duplex unwinding	114	16	5.69	0.00017
GO:0051321	meiotic cell cycle	604	51	30.13	0.00017
GO:0098813	nuclear chromosome segregation	558	48	27.84	0.00017
GO:0009059	macromolecule biosynthetic process	5560	327	277.37	0.00018
GO:0071103	DNA conformation change	337	33	16.81	0.00018
GO:0032200	telomere organization	215	24	10.73	0.00019
GO:0007059	chromosome segregation	671	55	33.47	0.00021
GO:0006906	vesicle fusion	270	28	13.47	0.00021
GO:0032392	DNA geometric change	117	16	5.84	0.00023
GO:0140056	organelle localization by membrane tethe...	218	24	10.88	0.00024
GO:0009949	polarity specification of anterior/poste...	53	10	2.64	0.00025
GO:0060281	regulation of oocyte development	118	16	5.89	0.00025
GO:0000070	mitotic sister chromatid segregation	406	37	20.25	0.00031
GO:0065004	protein-DNA complex assembly	210	23	10.48	0.00034
GO:0090174	organelle membrane fusion	280	28	13.97	0.00038
GO:0022406	membrane docking	226	24	11.27	0.00041
GO:0044839	cell cycle G2/M phase transition	311	30	15.51	0.00044
GO:1905879	regulation of oogenesis	149	18	7.43	0.00046
GO:0006289	nucleotide-excision repair	137	17	6.83	0.00048
GO:0008298	intracellular mRNA localization	163	19	8.13	0.00051
GO:0061025	membrane fusion	373	34	18.61	0.00053
GO:0044843	cell cycle G1/S phase transition	418	37	20.85	0.00054
GO:0090304	nucleic acid metabolic process	5395	314	269.14	0.00056
GO:0065001	specification of axis polarity	69	11	3.44	0.00058
GO:0051052	regulation of DNA metabolic process	499	42	24.89	0.00067
GO:1901990	regulation of mitotic cell cycle phase t...	564	46	28.14	0.00074
GO:0000731	DNA synthesis involved in DNA repair	61	10	3.04	0.00081
GO:0000002	mitochondrial genome maintenance	72	11	3.59	0.00083
GO:0043170	macromolecule metabolic process	10561	573	526.85	0.00085
GO:0035019	somatic stem cell population maintenance	95	13	4.74	0.00086
GO:0006301	postreplication repair	63	10	3.14	0.00105
GO:0048469	cell maturation	735	56	36.67	0.00108
GO:0031023	microtubule organizing center organizati...	286	27	14.27	0.00115
GO:0045839	negative regulation of mitotic nuclear d...	75	11	3.74	0.00118
GO:0030261	chromosome condensation	111	14	5.54	0.00124
GO:0007062	sister chromatid cohesion	87	12	4.34	0.00124
GO:0006998	nuclear envelope organization	99	13	4.94	0.00126
GO:0090305	nucleic acid phosphodiester bond hydroly...	377	33	18.81	0.00127
GO:0071695	anatomical structure maturation	807	60	40.26	0.00130
GO:0071897	DNA biosynthetic process	261	25	13.02	0.00140
GO:0045132	meiotic chromosome segregation	164	18	8.18	0.00142
GO:0000082	G1/S transition of mitotic cell cycle	398	34	19.85	0.00163
GO:0009994	oocyte differentiation	507	41	25.29	0.00165
GO:0007346	regulation of mitotic cell cycle	1085	76	54.13	0.00167
GO:0008277	regulation of G protein-coupled receptor...	194	20	9.68	0.00171
GO:0051983	regulation of chromosome segregation	237	23	11.82	0.00180
GO:0007098	centrosome cycle	268	25	13.37	0.00202
GO:0044784	metaphase/anaphase transition of cell cy...	117	14	5.84	0.00207
GO:0070125	mitochondrial translational elongation	81	11	4.04	0.00222
GO:0033045	regulation of sister chromatid segregati...	199	20	9.93	0.00231
GO:1901987	regulation of cell cycle phase transitio...	712	53	35.52	0.00238
GO:0051225	spindle assembly	228	22	11.37	0.00241
GO:0070126	mitochondrial translational termination	82	11	4.09	0.00245
GO:0070192	chromosome organization involved in meio...	120	14	5.99	0.00262
GO:0008407	chaeta morphogenesis	83	11	4.14	0.00270
GO:0007091	metaphase/anaphase transition of mitotic...	109	13	5.44	0.00302
GO:0010965	regulation of mitotic sister chromatid s...	109	13	5.44	0.00302
GO:0051726	regulation of cell cycle	1889	120	94.23	0.00311
GO:0060260	regulation of transcription initiation b...	73	10	3.64	0.00325
GO:0090068	positive regulation of cell cycle proces...	497	39	24.79	0.00356
GO:0035050	embryonic heart tube development	236	22	11.77	0.00367
GO:0021575	hindbrain morphogenesis	112	13	5.59	0.00384
GO:0006275	regulation of DNA replication	166	17	8.28	0.00392
GO:0006354	DNA-templated transcription elongation	180	18	8.98	0.00394
GO:0045931	positive regulation of mitotic cell cycl...	313	27	15.61	0.00411
GO:0007140	male meiotic nuclear division	153	16	7.63	0.00412
GO:0014743	regulation of muscle hypertrophy	140	15	6.98	0.00429
GO:0009798	axis specification	584	44	29.13	0.00432
GO:1902750	negative regulation of cell cycle G2/M p...	76	10	3.79	0.00437
GO:2000736	regulation of stem cell differentiation	154	16	7.68	0.00439
GO:0050794	regulation of cellular process	11432	608	570.3	0.00455
GO:0001556	oocyte maturation	89	11	4.44	0.00467
GO:0090329	regulation of DNA-templated DNA replicat...	77	10	3.84	0.00481
GO:0007315	pole plasm assembly	142	15	7.08	0.00489
GO:1905818	regulation of chromosome separation	116	13	5.79	0.00518
GO:0048599	oocyte development	444	35	22.15	0.00519
GO:0006403	RNA localization	525	40	26.19	0.00526
GO:0007143	female meiotic nuclear division	104	12	5.19	0.00562
GO:1901991	negative regulation of mitotic cell cycl...	245	22	12.22	0.00571
GO:0045597	positive regulation of cell differentiat...	1711	108	85.36	0.00604
GO:0019827	stem cell population maintenance	401	32	20	0.00614
GO:0007351	tripartite regional subdivision	277	24	13.82	0.00623
GO:0008595	anterior/posterior axis specification, e...	277	24	13.82	0.00623
GO:0033047	regulation of mitotic sister chromatid s...	160	16	7.98	0.00634
GO:0000910	cytokinesis	450	35	22.45	0.00637
GO:0051306	mitotic sister chromatid separation	119	13	5.94	0.00642
GO:0007314	oocyte anterior/posterior axis specifica...	189	18	9.43	0.00653
GO:0033206	meiotic cytokinesis	133	14	6.63	0.00663
GO:0051301	cell division	972	66	48.49	0.00664
GO:0010948	negative regulation of cell cycle proces...	550	41	27.44	0.00686
GO:0008358	maternal determination of anterior/poste...	190	18	9.48	0.00688
GO:0071763	nuclear membrane organization	81	10	4.04	0.00689
GO:0030071	regulation of mitotic metaphase/anaphase...	94	11	4.69	0.00706
GO:0098727	maintenance of cell number	405	32	20.2	0.00707
GO:0006493	protein O-linked glycosylation	121	13	6.04	0.00736
GO:0007224	smoothened signaling pathway	312	26	15.56	0.00746
GO:0060271	cilium assembly	439	34	21.9	0.00756
GO:0006415	translational termination	95	11	4.74	0.00764
GO:0000075	cell cycle checkpoint signaling	313	26	15.61	0.00776
GO:2001251	negative regulation of chromosome organi...	252	22	12.57	0.00787
GO:0007093	mitotic cell cycle checkpoint signaling	237	21	11.82	0.00789
GO:0045787	positive regulation of cell cycle	689	49	34.37	0.00801
GO:0021700	developmental maturation	1016	68	50.68	0.00812
GO:0050686	negative regulation of mRNA processing	96	11	4.79	0.00825
GO:0051784	negative regulation of nuclear division	96	11	4.79	0.00825
GO:1902373	negative regulation of mRNA catabolic pr...	96	11	4.79	0.00825
GO:0009952	anterior/posterior pattern specification	640	46	31.93	0.00834
GO:0007186	G protein-coupled receptor signaling pat...	691	49	34.47	0.00844
GO:0140053	mitochondrial gene expression	181	17	9.03	0.00920
GO:0032543	mitochondrial translation	153	15	7.63	0.00960
GO:0051588	regulation of neurotransmitter transport	257	22	12.82	0.00980
GO:0044782	cilium organization	447	34	22.3	0.00980
