GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0006082	organic acid metabolic process	2683	283	109.99	< 1e-30
GO:0044281	small molecule metabolic process	4525	380	185.5	< 1e-30
GO:0019752	carboxylic acid metabolic process	2477	265	101.54	< 1e-30
GO:0043436	oxoacid metabolic process	2648	273	108.55	< 1e-30
GO:0032787	monocarboxylic acid metabolic process	1511	185	61.94	< 1e-30
GO:0044255	cellular lipid metabolic process	2427	242	99.49	< 1e-30
GO:0006629	lipid metabolic process	3056	275	125.28	< 1e-30
GO:0006631	fatty acid metabolic process	1069	140	43.82	< 1e-30
GO:0016042	lipid catabolic process	871	124	35.71	< 1e-30
GO:0016054	organic acid catabolic process	700	103	28.7	1.7e-30
GO:0046395	carboxylic acid catabolic process	700	103	28.7	1.7e-30
GO:0044282	small molecule catabolic process	1050	126	43.04	1.6e-28
GO:0044242	cellular lipid catabolic process	604	91	24.76	1.0e-27
GO:0072329	monocarboxylic acid catabolic process	371	69	15.21	1.3e-26
GO:0009062	fatty acid catabolic process	328	60	13.45	7.1e-23
GO:0006805	xenobiotic metabolic process	548	78	22.46	3.0e-22
GO:0120254	olefinic compound metabolic process	440	69	18.04	3.6e-22
GO:0071466	cellular response to xenobiotic stimulus	737	91	30.21	1.9e-21
GO:0008202	steroid metabolic process	817	96	33.49	4.8e-21
GO:0042445	hormone metabolic process	803	95	32.92	4.9e-21
GO:0006625	protein targeting to peroxisome	184	42	7.54	4.3e-20
GO:0072662	protein localization to peroxisome	184	42	7.54	4.3e-20
GO:0072663	establishment of protein localization to...	184	42	7.54	4.3e-20
GO:0043574	peroxisomal transport	187	42	7.67	8.2e-20
GO:0006720	isoprenoid metabolic process	485	69	19.88	9.3e-20
GO:0006790	sulfur compound metabolic process	962	103	39.44	1.5e-19
GO:0006721	terpenoid metabolic process	447	65	18.32	3.6e-19
GO:0001676	long-chain fatty acid metabolic process	411	62	16.85	3.9e-19
GO:0007031	peroxisome organization	207	43	8.49	7.1e-19
GO:1901615	organic hydroxy compound metabolic proce...	1318	124	54.03	9.3e-19
GO:0016053	organic acid biosynthetic process	951	100	38.98	2.0e-18
GO:0046394	carboxylic acid biosynthetic process	951	100	38.98	2.0e-18
GO:1901575	organic substance catabolic process	4134	270	169.47	1.4e-17
GO:0033559	unsaturated fatty acid metabolic process	324	51	13.28	1.0e-16
GO:0009410	response to xenobiotic stimulus	1121	107	45.95	1.2e-16
GO:0006575	cellular modified amino acid metabolic p...	544	66	22.3	2.2e-15
GO:0006635	fatty acid beta-oxidation	219	39	8.98	7.1e-15
GO:0019395	fatty acid oxidation	278	44	11.4	1.1e-14
GO:0006690	icosanoid metabolic process	316	47	12.95	1.5e-14
GO:0030258	lipid modification	599	68	24.56	2.2e-14
GO:0008610	lipid biosynthetic process	1644	132	67.39	2.3e-14
GO:0006749	glutathione metabolic process	240	40	9.84	3.2e-14
GO:0009056	catabolic process	4836	290	198.24	5.8e-14
GO:0044248	cellular catabolic process	4365	267	178.94	1.2e-13
GO:0006066	alcohol metabolic process	865	84	35.46	1.3e-13
GO:0010817	regulation of hormone levels	1329	112	54.48	1.3e-13
GO:0034440	lipid oxidation	298	44	12.22	1.4e-13
GO:0072330	monocarboxylic acid biosynthetic process	625	68	25.62	1.7e-13
GO:1901568	fatty acid derivative metabolic process	455	56	18.65	1.8e-13
GO:0019748	secondary metabolic process	412	51	16.89	1.8e-12
GO:0008209	androgen metabolic process	183	32	7.5	3.2e-12
GO:0006766	vitamin metabolic process	482	55	19.76	6.3e-12
GO:0042180	cellular ketone metabolic process	629	65	25.78	6.3e-12
GO:1902652	secondary alcohol metabolic process	387	47	15.86	2.6e-11
GO:0009404	toxin metabolic process	115	24	4.71	3.6e-11
GO:0042446	hormone biosynthetic process	364	45	14.92	3.9e-11
GO:0016101	diterpenoid metabolic process	261	37	10.7	4.3e-11
GO:0006081	cellular aldehyde metabolic process	213	33	8.73	4.4e-11
GO:0044283	small molecule biosynthetic process	1704	125	69.85	6.6e-11
GO:0036109	alpha-linolenic acid metabolic process	43	15	1.76	7.0e-11
