GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0006749	glutathione metabolic process	165	11	2.66	7.6e-05
GO:1990748	cellular detoxification	200	11	3.22	0.00041
GO:0034641	cellular nitrogen compound metabolic pro...	7831	153	126.13	0.00048
GO:1903311	regulation of mRNA metabolic process	643	22	10.36	0.00075
GO:0006807	nitrogen compound metabolic process	11365	206	183.06	0.00077
GO:0006690	icosanoid metabolic process	187	10	3.01	0.00092
GO:0044237	cellular metabolic process	12261	218	197.49	0.00118
GO:0098754	detoxification	230	11	3.7	0.00129
GO:1901564	organonitrogen compound metabolic proces...	9236	172	148.76	0.00185
GO:0071704	organic substance metabolic process	12394	219	199.63	0.00187
GO:0034605	cellular response to heat	209	10	3.37	0.00212
GO:0006575	cellular modified amino acid metabolic p...	407	15	6.56	0.00256
GO:0044281	small molecule metabolic process	3565	77	57.42	0.00262
GO:0019752	carboxylic acid metabolic process	1964	47	31.63	0.00339
GO:1901566	organonitrogen compound biosynthetic pro...	3627	77	58.42	0.00420
GO:0009266	response to temperature stimulus	656	20	10.57	0.00483
GO:0043488	regulation of mRNA stability	315	12	5.07	0.00518
GO:0008152	metabolic process	12824	223	206.56	0.00530
GO:0044238	primary metabolic process	11926	210	192.09	0.00549
GO:0044249	cellular biosynthetic process	7219	137	116.28	0.00561
GO:0097237	cellular response to toxic substance	448	15	7.22	0.00618
GO:0006518	peptide metabolic process	2082	48	33.53	0.00626
GO:0043487	regulation of RNA stability	323	12	5.2	0.00629
GO:1901576	organic substance biosynthetic process	7365	139	118.63	0.00640
GO:0044271	cellular nitrogen compound biosynthetic ...	5668	111	91.29	0.00644
GO:0061013	regulation of mRNA catabolic process	325	12	5.23	0.00660
GO:0043603	amide metabolic process	2635	58	42.44	0.00692
GO:0043436	oxoacid metabolic process	2101	48	33.84	0.00741
GO:0006139	nucleobase-containing compound metabolic...	6481	124	104.39	0.00773
GO:0006082	organic acid metabolic process	2112	48	34.02	0.00815
GO:0009058	biosynthetic process	7415	139	119.43	0.00847
GO:1901568	fatty acid derivative metabolic process	300	11	4.83	0.00957
