C0,C1,C2,C3,C4,C5,C6,C7,C8
,,,,,,,Pdum_DN305_c1_g1_i4,
,,Pdum_DN13243_c0_g1_i14,,,,,,
Pdum_DN1243_c0_g1_i44,,,,,,,,
Pdum_DN13531_c0_g1_i16,,,,,,,,
Pdum_DN13559_c0_g1_i8,,,,,,,,
Pdum_DN14289_c0_g1_i20,,,,,,,,
,,Pdum_DN18164_c0_g1_i5,,,,,,
,Pdum_DN6316_c0_g1_i4,,,,,,,
Pdum_DN2056_c0_g1_i8,,,,,,,,
Pdum_DN2241_c0_g1_i3,,,,,,,,
Pdum_DN29244_c0_g1_i1,,,,,,,,
Pdum_DN31695_c0_g1_i14,,,,,,,,
,,Pdum_DN51214_c0_g1_i6,,,,,,
,,Pdum_DN54305_c0_g1_i10,,,,,,
,,Pdum_DN6112_c1_g1_i22,,,,,,
,Pdum_NODE_39542_length_2624_cov_811_315830_g9971_i1,,,,,,,
,Pdum_NODE_56509_length_2101_cov_77_136719_g15842_i0,,,,,,,
,Pdum_NODE_68633_length_1821_cov_51_937217_g14950_i4,,,,,,,
,Pdum_NODE_7057_length_5397_cov_135_163361_g2513_i0,,,,,,,
,,Pdum_DN9268_c0_g1_i3,,,,,,
Pdum_DN5666_c1_g1_i1,,,,,,,,
Pdum_DN6367_c0_g1_i3,,,,,,,,
,,Pdum_NODE_111134_length_1121_cov_20_152622_g34498_i0,,,,,,
Pdum_DN7001_c0_g1_i13,,,,,,,,
Pdum_DN8885_c0_g1_i2,,,,,,,,
Pdum_DN9421_c0_g1_i18,,,,,,,,
Pdum_DN983_c0_g1_i27,,,,,,,,
,,Pdum_NODE_19624_length_3727_cov_146_358465_g6220_i0,,,,,,
,,Pdum_NODE_24230_length_3379_cov_142_234817_g7429_i0,,,,,,
Pdum_NODE_113653_length_1088_cov_128_971981_g20330_i4,,,,,,,,
,,Pdum_NODE_419_length_11113_cov_140_994394_g182_i0,,,,,,
Pdum_NODE_15763_length_4065_cov_608_357926_g5150_i0,,,,,,,,
Pdum_NODE_18784_length_3794_cov_45_882384_g5989_i0,,,,,,,,
,,Pdum_NODE_82854_length_1554_cov_164_705530_g23608_i0,,,,,,
Pdum_NODE_34034_length_2852_cov_68_884602_g9929_i0,,,,,,,,
Pdum_NODE_36910_length_2730_cov_17_070228_g10702_i0,,,,,,,,
Pdum_NODE_381_length_11434_cov_90_700993_g160_i0,,,,,,,,
Pdum_NODE_4289_length_6222_cov_1206_942616_g281_i1,,,,,,,,
Pdum_NODE_44022_length_2471_cov_57_933416_g12549_i0,,,,,,,,
Pdum_NODE_44037_length_2470_cov_569_189077_g11321_i1,,,,,,,,
Pdum_NODE_60345_length_2007_cov_132_810133_g16879_i0,,,,,,,,
Pdum_NODE_66228_length_1873_cov_273_669780_g18561_i0,,,,,,,,
Pdum_NODE_7152_length_5374_cov_133_243563_g2513_i1,,,,,,,,
Pdum_NODE_7484_length_5303_cov_431_704571_g2664_i0,,,,,,,,
Pdum_NODE_91434_length_1414_cov_536_540779_g2664_i2,,,,,,,,
