file	Apime_pep.fasta	Biogl_pep.fasta	Capte_pep.fasta	Cragi_pep.fasta	Dimgy_pep.fasta	Hsap_pep.fasta	Lotgi_pep.fasta	Owefu_pep.fasta	Pdum_amin_av.fasta	Pele_amin_av.fasta	Pomca_pep.fasta	
Apime_pep.fasta	0	14303	9327	22162	9094	12104	8845	16264	16830	13682	8978
Biogl_pep.fasta	14303	0	9735	25273	8487	9834	10373	15749	16372	14079	10423
Capte_pep.fasta	9327	9735	0	19059	7570	8154	9239	13660	15120	13484	7099
Cragi_pep.fasta	22162	25273	19059	0	15376	17689	20474	29640	31243	27073	18369
Dimgy_pep.fasta	9094	8487	7570	15376	0	7217	6773	11080	11936	10456	5807
Hsap_pep.fasta	12104	9834	8154	17689	7217	0	8007	12402	13457	11701	6763
Lotgi_pep.fasta	8845	10373	9239	20474	6773	8007	0	12533	12785	11402	7720
Owefu_pep.fasta	16264	15749	13660	29640	11080	12402	12533	0	22335	18770	11023
Pdum_amin_av.fasta	16830	16372	15120	31243	11936	13457	12785	22335	0	25761	11324
Pele_amin_av.fasta	13682	14079	13484	27073	10456	11701	11402	18770	25761	0	9979
Pomca_pep.fasta	8978	10423	7099	18369	5807	6763	7720	11023	11324	9979	0
