C0 (5543 genes)	C1 (1916 genes)	C2 (3829 genes)	C3 (468 genes)	C4 (2159 genes)	C5 (610 genes)	C6 (4683 genes)	C7 (789 genes)	C8 (37 genes)
Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes
Pdum_DN0_c4_g1_i17	Pdum_DN0_c0_g1_i31	Pdum_DN10005_c0_g1_i11	Pdum_DN10215_c0_g1_i1	Pdum_DN10003_c0_g1_i2	Pdum_DN10100_c0_g1_i2	Pdum_DN10034_c0_g1_i9	Pdum_DN1002_c0_g1_i10	Pdum_DN1255_c0_g1_i4
Pdum_DN10000_c0_g1_i10	Pdum_DN10017_c1_g1_i5	Pdum_DN10006_c0_g1_i5	Pdum_DN10555_c0_g1_i7	Pdum_DN10092_c0_g1_i9	Pdum_DN10160_c0_g1_i1	Pdum_DN10040_c0_g1_i14	Pdum_DN1011_c0_g1_i12	Pdum_DN12771_c0_g3_i1
Pdum_DN10010_c0_g1_i2	Pdum_DN1001_c0_g1_i1	Pdum_DN10023_c0_g1_i17	Pdum_DN10681_c0_g1_i5	Pdum_DN10153_c0_g1_i16	Pdum_DN10209_c0_g1_i34	Pdum_DN10040_c0_g1_i6	Pdum_DN10209_c0_g1_i22	Pdum_DN1944_c0_g1_i13
Pdum_DN10030_c0_g2_i5	Pdum_DN10033_c0_g1_i39	Pdum_DN10033_c0_g1_i25	Pdum_DN10853_c1_g1_i27	Pdum_DN10165_c0_g1_i1	Pdum_DN102824_c0_g1_i13	Pdum_DN1005_c1_g1_i15	Pdum_DN1025_c0_g1_i6	Pdum_DN3488_c0_g1_i1
Pdum_DN100402_c0_g1_i8	Pdum_DN10036_c0_g1_i5	Pdum_DN100360_c0_g2_i8	Pdum_DN11291_c0_g1_i16	Pdum_DN10165_c0_g1_i20	Pdum_DN10349_c0_g1_i11	Pdum_DN10061_c0_g1_i25	Pdum_DN10307_c1_g1_i22	Pdum_DN375_c0_g1_i19
Pdum_DN10058_c0_g1_i11	Pdum_DN1009_c0_g1_i3	Pdum_DN10038_c0_g1_i22	Pdum_DN11323_c0_g1_i16	Pdum_DN1017_c0_g1_i11	Pdum_DN10396_c0_g1_i3	Pdum_DN10061_c0_g1_i8	Pdum_DN1049_c0_g1_i11	Pdum_DN3767_c0_g1_i2
Pdum_DN10096_c0_g1_i12	Pdum_DN10137_c0_g1_i1	Pdum_DN100402_c0_g1_i22	Pdum_DN1171_c0_g2_i24	Pdum_DN1018_c0_g1_i13	Pdum_DN10576_c0_g1_i1	Pdum_DN10085_c0_g1_i3	Pdum_DN10538_c0_g1_i5	Pdum_DN379_c0_g1_i19
Pdum_DN1009_c0_g1_i6	Pdum_DN10143_c0_g1_i11	Pdum_DN1005_c1_g1_i11	Pdum_DN12291_c0_g1_i10	Pdum_DN10210_c0_g1_i1	Pdum_DN105_c0_g1_i15	Pdum_DN1010_c0_g1_i22	Pdum_DN1060_c0_g1_i16	Pdum_DN457_c1_g1_i16
Pdum_DN10115_c0_g1_i33	Pdum_DN1016_c0_g1_i100	Pdum_DN1006_c0_g1_i5	Pdum_DN1231_c1_g1_i33	Pdum_DN10239_c0_g1_i13	Pdum_DN10690_c0_g1_i35	Pdum_DN1010_c0_g1_i7	Pdum_DN10670_c0_g1_i10	Pdum_DN6342_c0_g1_i2
Pdum_DN10115_c0_g1_i4	Pdum_DN1016_c0_g1_i102	Pdum_DN1007_c0_g1_i17	Pdum_DN1244_c0_g1_i4	Pdum_DN102403_c0_g1_i2	Pdum_DN10833_c0_g1_i2	Pdum_DN1016_c0_g1_i104	Pdum_DN1078_c0_g1_i39	Pdum_DN7644_c0_g1_i21
Pdum_DN1011_c0_g1_i37	Pdum_DN10188_c0_g1_i3	Pdum_DN1007_c0_g1_i18	Pdum_DN12598_c0_g1_i2	Pdum_DN1024_c0_g1_i20	Pdum_DN10892_c0_g1_i33	Pdum_DN1017_c0_g1_i19	Pdum_DN1082_c0_g1_i14	Pdum_DN80894_c0_g1_i1
