Starting data and time	Monday 08 May 2023 (20:38:45)
Ending date and time	Monday 08 May 2023 (21:20:58)
Time consumed	0 hours, 42 minutes, and 12 seconds
Number of datasets	1
Total number of input genes	43781
Genes included in the analysis	43738
Genes filtered out from the analysis	43
Number of clusters	9
Total number of genes in clusters	20034
Genes not included in any cluster	23704
Min cluster size	37
Max cluster size	5543
Average cluster size	2226.0
Number of samples (including replicates)	12
Number of conditions	6
