go	cluster	parent	parentSimScore	score	size	term	parentTerm
GO:0044281	1	GO:0044281	0.969	17.568636235841	1	small molecule metabolic process	small molecule metabolic process
GO:0043436	1	GO:0044281	0.873	15.0315170514461	0	oxoacid metabolic process	small molecule metabolic process
GO:0006082	1	GO:0044281	0.874	15.0132282657338	7	organic acid metabolic process	small molecule metabolic process
GO:0019752	1	GO:0044281	0.871	14.267606240177	9	carboxylic acid metabolic process	small molecule metabolic process
GO:0006790	2	GO:0006790	0.996	10.9586073148418	16	sulfur compound metabolic process	sulfur compound metabolic process
GO:0044282	1	GO:0044281	0.756	10.8860566476932	0	small molecule catabolic process	small molecule metabolic process
GO:0032787	1	GO:0044281	0.817	9.79588001734407	3	monocarboxylic acid metabolic process	small molecule metabolic process
GO:0016054	1	GO:0044281	0.728	8.79588001734407	0	organic acid catabolic process	small molecule metabolic process
GO:0046395	1	GO:0044281	0.728	8.79588001734407	2	carboxylic acid catabolic process	small molecule metabolic process
GO:0006575	3	GO:0006575	0.999	7.22184874961636	0	cellular modified amino acid metabolic process	cellular modified amino acid metabolic process
GO:1901605	1	GO:0044281	0.727	7.04575749056067	1	alpha-amino acid metabolic process	small molecule metabolic process
GO:0006749	4	GO:0006749	0.999	7.00436480540245	53	glutathione metabolic process	glutathione metabolic process
GO:0006520	1	GO:0044281	0.754	6.67778070526608	20	amino acid metabolic process	small molecule metabolic process
GO:0046394	1	GO:0044281	0.741	6.63827216398241	0	carboxylic acid biosynthetic process	small molecule metabolic process
GO:0016053	1	GO:0044281	0.742	6.63827216398241	0	organic acid biosynthetic process	small molecule metabolic process
GO:0009063	1	GO:0044281	0.669	6.19382002601611	5	amino acid catabolic process	small molecule metabolic process
GO:0006631	1	GO:0044281	0.776	5.95860731484177	85	fatty acid metabolic process	small molecule metabolic process
GO:0044283	1	GO:0044281	0.794	5.88605664769316	0	small molecule biosynthetic process	small molecule metabolic process
GO:0006081	5	GO:0006081	0.999	5.85387196432176	13	cellular aldehyde metabolic process	cellular aldehyde metabolic process
GO:0072329	1	GO:0044281	0.674	5.50863830616573	0	monocarboxylic acid catabolic process	small molecule metabolic process
GO:0009636	6	GO:0009636	0.998	5.48148606012211	74	response to toxic substance	response to toxic substance
