GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0006396	RNA processing	1395	211	92.89	< 1e-30
GO:0016070	RNA metabolic process	4886	495	325.34	7.4e-28
GO:0022613	ribonucleoprotein complex biogenesis	698	129	46.48	4.6e-27
GO:0010467	gene expression	6414	604	427.09	4.8e-27
GO:0090304	nucleic acid metabolic process	5395	529	359.24	1.0e-26
GO:0042254	ribosome biogenesis	396	87	26.37	1.1e-23
GO:0071840	cellular component organization or bioge...	9284	779	618.19	8.1e-22
GO:0043170	macromolecule metabolic process	10561	857	703.23	6.5e-21
GO:0034470	ncRNA processing	534	98	35.56	1.7e-20
GO:0034660	ncRNA metabolic process	787	124	52.4	8.2e-20
GO:0006364	rRNA processing	263	62	17.51	8.1e-19
GO:0016072	rRNA metabolic process	317	68	21.11	3.6e-18
GO:0060255	regulation of macromolecule metabolic pr...	6920	600	460.78	3.5e-17
GO:0016071	mRNA metabolic process	1207	154	80.37	1.3e-15
GO:0051171	regulation of nitrogen compound metaboli...	6363	549	423.69	1.2e-14
GO:0044085	cellular component biogenesis	5248	469	349.45	1.6e-14
GO:0010468	regulation of gene expression	5237	468	348.72	1.7e-14
GO:0006139	nucleobase-containing compound metabolic...	6817	579	453.92	2.7e-14
GO:0010556	regulation of macromolecule biosynthetic...	4268	394	284.19	7.1e-14
GO:0048522	positive regulation of cellular process	7114	595	473.7	2.1e-13
GO:0016043	cellular component organization	9037	724	601.75	2.9e-13
GO:0051252	regulation of RNA metabolic process	3872	360	257.83	6.1e-13
GO:2000112	regulation of cellular macromolecule bio...	4120	377	274.34	1.3e-12
GO:0050789	regulation of biological process	12274	926	817.29	2.0e-12
GO:0019222	regulation of metabolic process	7822	636	520.84	4.8e-12
GO:0031326	regulation of cellular biosynthetic proc...	4566	407	304.04	4.9e-12
GO:0050794	regulation of cellular process	11432	871	761.22	6.8e-12
GO:0006325	chromatin organization	1263	146	84.1	1.9e-11
GO:0009889	regulation of biosynthetic process	4687	411	312.09	4.1e-11
GO:0080090	regulation of primary metabolic process	6776	559	451.19	4.2e-11
GO:0006397	mRNA processing	811	104	54	6.0e-11
GO:0044260	cellular macromolecule metabolic process	8319	663	553.94	6.6e-11
GO:0019219	regulation of nucleobase-containing comp...	4228	376	281.53	7.6e-11
GO:0034645	cellular macromolecule biosynthetic proc...	5325	455	354.58	9.3e-11
GO:0010608	post-transcriptional regulation of gene ...	927	114	61.73	9.5e-11
GO:0007281	germ cell development	1883	195	125.38	1.2e-10
GO:0097659	nucleic acid-templated transcription	3643	331	242.58	1.6e-10
GO:0006351	DNA-templated transcription	3597	327	239.51	2.0e-10
GO:0051276	chromosome organization	1676	177	111.6	2.1e-10
GO:0031323	regulation of cellular metabolic process	7058	574	469.97	2.4e-10
GO:0048518	positive regulation of biological proces...	7865	629	523.71	2.4e-10
GO:0000375	RNA splicing, via transesterification re...	684	90	45.55	3.4e-10
GO:0000377	RNA splicing, via transesterification re...	684	90	45.55	3.4e-10
GO:0000398	mRNA splicing, via spliceosome	684	90	45.55	3.4e-10
GO:0009059	macromolecule biosynthetic process	5560	468	370.22	4.1e-10
GO:0032774	RNA biosynthetic process	3701	333	246.44	4.3e-10
GO:0006725	cellular aromatic compound metabolic pro...	7479	601	498.01	4.7e-10
GO:0046483	heterocycle metabolic process	7443	598	495.61	5.8e-10
GO:0051254	positive regulation of RNA metabolic pro...	2212	218	147.29	7.1e-10
GO:1903506	regulation of nucleic acid-templated tra...	3471	314	231.12	9.6e-10
GO:0010557	positive regulation of macromolecule bio...	2374	230	158.08	1.0e-09
GO:2001141	regulation of RNA biosynthetic process	3483	314	231.92	1.4e-09
