go	cluster	parent	parentSimScore	score	size	term	parentTerm
GO:0006468	1	GO:0006468	0.979	8.11918640771921	578	protein phosphorylation	protein phosphorylation
GO:0002763	2	GO:0002763	1	7.32790214206428	2	positive regulation of myeloid leukocyte differentiation	positive regulation of myeloid leukocyte differentiation
GO:0002009	3	GO:0002009	0.994	7	20	morphogenesis of an epithelium	morphogenesis of an epithelium
GO:0060562	3	GO:0002009	0.94	6.85387196432176	1	epithelial tube morphogenesis	morphogenesis of an epithelium
GO:0016310	1	GO:0006468	0.955	6.85387196432176	128	phosphorylation	protein phosphorylation
GO:0048856	4	GO:0048856	0.859	6.63827216398241	49	anatomical structure development	anatomical structure development
GO:0035556	5	GO:0035556	0.965	6.3767507096021	413	intracellular signal transduction	intracellular signal transduction
GO:1902107	2	GO:0002763	0.912	6.11350927482752	0	positive regulation of leukocyte differentiation	positive regulation of myeloid leukocyte differentiation
GO:0045859	6	GO:0045859	0.994	6.05551732784983	17	regulation of protein kinase activity	regulation of protein kinase activity
GO:0045860	6	GO:0045859	0.941	6.04095860767891	66	positive regulation of protein kinase activity	regulation of protein kinase activity
GO:0048522	7	GO:0048522	0.893	6.03621217265444	0	positive regulation of cellular process	positive regulation of cellular process
GO:0048729	3	GO:0002009	0.966	6.03151705144607	3	tissue morphogenesis	morphogenesis of an epithelium
GO:0009653	8	GO:0009653	0.955	5.85387196432176	131	anatomical structure morphogenesis	anatomical structure morphogenesis
GO:0036211	9	GO:0036211	0.946	5.82390874094432	84	protein modification process	protein modification process
GO:0032502	4	GO:0048856	0.813	5.76955107862173	18	developmental process	anatomical structure development
GO:0050794	7	GO:0048522	0.463	5.76955107862173	0	regulation of cellular process	positive regulation of cellular process
GO:0009886	10	GO:0009886	1	5.72124639904717	0	post-embryonic animal morphogenesis	post-embryonic animal morphogenesis
GO:0048563	10	GO:0009886	0.98	5.69897000433602	4	post-embryonic animal organ morphogenesis	post-embryonic animal morphogenesis
GO:0007165	5	GO:0035556	0.715	5.63827216398241	1108	signal transduction	intracellular signal transduction
GO:0050829	11	GO:0050829	0.999	5.63827216398241	99	defense response to Gram-negative bacterium	defense response to Gram-negative bacterium
GO:0035239	4	GO:0048856	0.523	5.60205999132796	1	tube morphogenesis	anatomical structure development
GO:0030183	12	GO:0030183	0.999	5.50863830616573	89	B cell differentiation	B cell differentiation
GO:0033674	6	GO:0045859	0.928	5.50863830616573	56	positive regulation of kinase activity	regulation of protein kinase activity
GO:0043549	6	GO:0045859	0.978	5.49485002168009	6	regulation of kinase activity	regulation of protein kinase activity
GO:0032879	13	GO:0032879	0.974	5.42021640338319	1	regulation of localization	regulation of localization
GO:0048869	4	GO:0048856	0.661	5.4089353929735	0	cellular developmental process	anatomical structure development
GO:0048569	14	GO:0048569	1	5.4089353929735	0	post-embryonic animal organ development	post-embryonic animal organ development
GO:0065008	15	GO:0065008	0.963	5.33724216831843	0	regulation of biological quality	regulation of biological quality
GO:0009887	8	GO:0009653	0.81	5.2839966563652	106	animal organ morphogenesis	anatomical structure morphogenesis
GO:0045639	2	GO:0002763	0.962	5.24412514432751	4	positive regulation of myeloid cell differentiation	positive regulation of myeloid leukocyte differentiation
GO:0065007	7	GO:0048522	0.319	5.15490195998574	0	biological regulation	positive regulation of cellular process
GO:0001932	1	GO:0006468	0.914	5.14874165128092	44	regulation of protein phosphorylation	protein phosphorylation
GO:0002761	2	GO:0002763	0.95	5.13076828026902	1	regulation of myeloid leukocyte differentiation	positive regulation of myeloid leukocyte differentiation
GO:0000165	5	GO:0035556	0.8	5	122	MAPK cascade	intracellular signal transduction
GO:0009790	4	GO:0048856	0.538	5	11	embryo development	anatomical structure development
GO:0035120	10	GO:0009886	0.898	5	0	post-embryonic appendage morphogenesis	post-embryonic animal morphogenesis
GO:0030154	4	GO:0048856	0.659	5	599	cell differentiation	anatomical structure development
GO:0030334	16	GO:0030334	0.99	4.88605664769316	110	regulation of cell migration	regulation of cell migration
GO:0007154	17	GO:0007154	0.876	4.85387196432176	18	cell communication	cell communication
GO:0043412	9	GO:0036211	0.931	4.85387196432176	0	macromolecule modification	protein modification process
GO:0044093	6	GO:0045859	0.732	4.82390874094432	0	positive regulation of molecular function	regulation of protein kinase activity
GO:0042325	1	GO:0006468	0.887	4.82390874094432	13	regulation of phosphorylation	protein phosphorylation
GO:0060429	3	GO:0002009	0.88	4.82390874094432	6	epithelium development	morphogenesis of an epithelium
GO:0023052	5	GO:0035556	0.679	4.76955107862173	7	signaling	intracellular signal transduction
GO:2000145	16	GO:0030334	0.983	4.74472749489669	15	regulation of cell motility	regulation of cell migration
GO:0044085	18	GO:0044085	0.963	4.67778070526608	1	cellular component biogenesis	cellular component biogenesis
GO:0051128	18	GO:0044085	0.578	4.63827216398241	3	regulation of cellular component organization	cellular component biogenesis
GO:0010648	17	GO:0007154	0.588	4.61978875828839	0	negative regulation of cell communication	cell communication
GO:0042327	1	GO:0006468	0.838	4.61978875828839	29	positive regulation of phosphorylation	protein phosphorylation
GO:0051347	6	GO:0045859	0.91	4.61978875828839	0	positive regulation of transferase activity	regulation of protein kinase activity
GO:0023057	5	GO:0035556	0.496	4.60205999132796	2	negative regulation of signaling	intracellular signal transduction
GO:0007275	4	GO:0048856	0.798	4.58502665202918	79	multicellular organism development	anatomical structure development
GO:0032147	6	GO:0045859	0.839	4.55284196865778	45	activation of protein kinase activity	regulation of protein kinase activity
GO:0065009	6	GO:0045859	0.786	4.55284196865778	0	regulation of molecular function	regulation of protein kinase activity
GO:0009791	10	GO:0009886	0.893	4.52287874528034	70	post-embryonic development	post-embryonic animal morphogenesis
GO:0051056	5	GO:0035556	0.686	4.49485002168009	120	regulation of small GTPase mediated signal transduction	intracellular signal transduction
GO:0048518	7	GO:0048522	0.797	4.48148606012211	0	positive regulation of biological process	positive regulation of cellular process
GO:1903708	2	GO:0002763	0.912	4.43179827593301	0	positive regulation of hemopoiesis	positive regulation of myeloid leukocyte differentiation
GO:0008360	8	GO:0009653	0.591	4.42021640338319	148	regulation of cell shape	anatomical structure morphogenesis
GO:0046651	19	GO:0046651	0.997	4.4089353929735	7	lymphocyte proliferation	lymphocyte proliferation
GO:0043085	6	GO:0045859	0.805	4.4089353929735	28	positive regulation of catalytic activity	regulation of protein kinase activity
GO:0071900	6	GO:0045859	0.935	4.38721614328026	2	regulation of protein serine/threonine kinase activity	regulation of protein kinase activity
GO:0022607	18	GO:0044085	0.949	4.3767507096021	1	cellular component assembly	cellular component biogenesis
GO:0032943	19	GO:0046651	0.995	4.34678748622466	1	mononuclear cell proliferation	lymphocyte proliferation
GO:0007264	5	GO:0035556	0.735	4.31875876262441	84	small GTPase mediated signal transduction	intracellular signal transduction
GO:0070661	19	GO:0046651	0.986	4.30102999566398	2	leukocyte proliferation	lymphocyte proliferation
GO:0001934	1	GO:0006468	0.865	4.26760624017703	219	positive regulation of protein phosphorylation	protein phosphorylation
GO:0031399	9	GO:0036211	0.79	4.26760624017703	0	regulation of protein modification process	protein modification process
GO:0051338	6	GO:0045859	0.959	4.26760624017703	0	regulation of transferase activity	regulation of protein kinase activity
GO:0042113	12	GO:0030183	0.926	4.25963731050576	38	B cell activation	B cell differentiation
GO:0043408	5	GO:0035556	0.778	4.22914798835786	35	regulation of MAPK cascade	intracellular signal transduction
GO:0098609	20	GO:0098609	0.989	4.19382002601611	190	cell-cell adhesion	cell-cell adhesion
GO:0035295	4	GO:0048856	0.55	4.18708664335714	2	tube development	anatomical structure development
GO:0098739	21	GO:0098739	0.998	4.17392519729917	4	import across plasma membrane	import across plasma membrane
GO:0098657	21	GO:0098739	0.373	4.11350927482752	2	import into cell	import across plasma membrane
GO:1902531	5	GO:0035556	0.891	4.10237290870956	5	regulation of intracellular signal transduction	intracellular signal transduction
GO:0035107	4	GO:0048856	0.391	4.10237290870956	0	appendage morphogenesis	anatomical structure development
GO:0051174	1	GO:0006468	0.756	4.08618614761628	1	regulation of phosphorus metabolic process	protein phosphorylation
GO:0019220	1	GO:0006468	0.759	4.08618614761628	0	regulation of phosphate metabolic process	protein phosphorylation
GO:0050790	6	GO:0045859	0.855	4.07572071393812	21	regulation of catalytic activity	regulation of protein kinase activity
GO:0048771	22	GO:0048771	0.999	4.07058107428571	9	tissue remodeling	tissue remodeling
GO:0010562	1	GO:0006468	0.711	4.06550154875643	0	positive regulation of phosphorus metabolic process	protein phosphorylation
GO:0045937	1	GO:0006468	0.714	4.06550154875643	0	positive regulation of phosphate metabolic process	protein phosphorylation
GO:0018108	9	GO:0036211	0.644	4.05551732784983	152	peptidyl-tyrosine phosphorylation	protein modification process
GO:0048870	23	GO:0048870	0.979	4.05060999335509	39	cell motility	cell motility
GO:0032231	24	GO:0032231	0.999	4.04575749056067	2	regulation of actin filament bundle assembly	regulation of actin filament bundle assembly
GO:0051094	25	GO:0051094	0.986	4.04575749056067	2	positive regulation of developmental process	positive regulation of developmental process
GO:0016477	23	GO:0048870	0.966	4.04095860767891	253	cell migration	cell motility
GO:0034329	18	GO:0044085	0.724	4.03151705144607	8	cell junction assembly	cellular component biogenesis
GO:0043277	21	GO:0098739	0.32	4.0268721464003	20	apoptotic cell clearance	import across plasma membrane
GO:0010646	17	GO:0007154	0.716	4.02227639471115	0	regulation of cell communication	cell communication
GO:0022604	8	GO:0009653	0.628	4.01772876696043	24	regulation of cell morphogenesis	anatomical structure morphogenesis
GO:0034330	18	GO:0044085	0.492	4.00436480540245	0	cell junction organization	cellular component biogenesis
GO:0050793	25	GO:0051094	0.867	4	7	regulation of developmental process	positive regulation of developmental process
GO:0018212	9	GO:0036211	0.645	4	0	peptidyl-tyrosine modification	protein modification process
GO:0009888	3	GO:0002009	0.787	4	8	tissue development	morphogenesis of an epithelium
GO:2000026	25	GO:0051094	0.789	3.95860731484178	0	regulation of multicellular organismal development	positive regulation of developmental process
GO:0023051	5	GO:0035556	0.582	3.95860731484178	2	regulation of signaling	intracellular signal transduction
GO:0030031	26	GO:0030031	0.994	3.95860731484178	13	cell projection assembly	cell projection assembly
GO:0022603	25	GO:0051094	0.739	3.95860731484178	0	regulation of anatomical structure morphogenesis	positive regulation of developmental process
GO:1902105	2	GO:0002763	0.86	3.92081875395238	0	regulation of leukocyte differentiation	positive regulation of myeloid leukocyte differentiation
GO:0048468	4	GO:0048856	0.631	3.92081875395238	21	cell development	anatomical structure development
GO:0048660	19	GO:0046651	0.587	3.92081875395238	9	regulation of smooth muscle cell proliferation	lymphocyte proliferation
GO:0044087	18	GO:0044085	0.796	3.92081875395238	0	regulation of cellular component biogenesis	cellular component biogenesis
GO:0043087	6	GO:0045859	0.715	3.92081875395238	91	regulation of GTPase activity	regulation of protein kinase activity
