go	cluster	parent	parentSimScore	score	size	term	parentTerm
GO:0009056	1	GO:0009056	0.965	4.16749108729376	3	catabolic process	catabolic process
GO:1901575	1	GO:0009056	0.929	4.07058107428571	0	organic substance catabolic process	catabolic process
GO:0035966	2	GO:0035966	0.998	4.03151705144607	0	response to topologically incorrect protein	response to topologically incorrect protein
GO:0035967	2	GO:0035966	0.978	3.79588001734407	1	cellular response to topologically incorrect protein	response to topologically incorrect protein
GO:0044248	1	GO:0009056	0.935	3.39794000867204	0	cellular catabolic process	catabolic process
GO:0009123	3	GO:0009123	0.999	3.14874165128092	0	nucleoside monophosphate metabolic process	nucleoside monophosphate metabolic process
GO:0043632	1	GO:0009056	0.785	2.87942606879415	0	modification-dependent macromolecule catabolic process	catabolic process
GO:0010498	4	GO:0010498	0.994	2.73282827159699	18	proteasomal protein catabolic process	proteasomal protein catabolic process
GO:0016052	1	GO:0009056	0.663	2.72353819582676	4	carbohydrate catabolic process	catabolic process
GO:0043161	4	GO:0010498	0.973	2.72124639904717	249	proteasome-mediated ubiquitin-dependent protein catabolic process	proteasomal protein catabolic process
GO:0006511	1	GO:0009056	0.781	2.67366413907125	312	ubiquitin-dependent protein catabolic process	catabolic process
GO:0019941	1	GO:0009056	0.782	2.64206515299955	8	modification-dependent protein catabolic process	catabolic process
GO:0009124	3	GO:0009123	0.956	2.46852108295775	1	nucleoside monophosphate biosynthetic process	nucleoside monophosphate metabolic process
GO:0051603	4	GO:0010498	0.944	2.45469288353418	40	proteolysis involved in protein catabolic process	proteasomal protein catabolic process
GO:1901565	1	GO:0009056	0.863	2.35951856302958	2	organonitrogen compound catabolic process	catabolic process
GO:0006508	4	GO:0010498	0.83	2.28988263488818	447	proteolysis	proteasomal protein catabolic process
GO:0034404	3	GO:0009123	0.587	2.05700040663396	0	nucleobase-containing small molecule biosynthetic process	nucleoside monophosphate metabolic process
GO:0001505	5	GO:0001505	0.998	2.03621217265444	4	regulation of neurotransmitter levels	regulation of neurotransmitter levels
GO:0009165	3	GO:0009123	0.78	2.02502800570193	6	nucleotide biosynthetic process	nucleoside monophosphate metabolic process
