GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0009056	catabolic process	4418	77	52.28	6.8e-05
GO:1901575	organic substance catabolic process	3848	69	45.53	8.5e-05
GO:0035966	response to topologically incorrect prot...	403	15	4.77	9.3e-05
GO:0035967	cellular response to topologically incor...	330	13	3.9	0.00016
GO:0044248	cellular catabolic process	4118	70	48.73	0.00040
GO:0009123	nucleoside monophosphate metabolic proce...	594	17	7.03	0.00071
GO:0043632	modification-dependent macromolecule cat...	1042	24	12.33	0.00132
GO:0010498	proteasomal protein catabolic process	945	22	11.18	0.00185
GO:0016052	carbohydrate catabolic process	379	12	4.48	0.00189
GO:0043161	proteasome-mediated ubiquitin-dependent ...	826	20	9.77	0.00190
GO:0006511	ubiquitin-dependent protein catabolic pr...	1017	23	12.03	0.00212
GO:0019941	modification-dependent protein catabolic...	1023	23	12.1	0.00228
GO:0009124	nucleoside monophosphate biosynthetic pr...	304	10	3.6	0.00340
GO:0051603	proteolysis involved in protein cataboli...	1252	26	14.81	0.00351
GO:1901565	organonitrogen compound catabolic proces...	2305	41	27.27	0.00437
GO:0006508	proteolysis	2326	41	27.52	0.00513
GO:0034404	nucleobase-containing small molecule bio...	349	10	4.13	0.00877
GO:0001505	regulation of neurotransmitter levels	640	15	7.57	0.00920
GO:0009165	nucleotide biosynthetic process	703	16	8.32	0.00944
