go	cluster	parent	parentSimScore	score	size	term	parentTerm
GO:0090304	1	GO:0090304	0.901	12.130768280269	0	nucleic acid metabolic process	nucleic acid metabolic process
GO:0006396	2	GO:0006396	0.982	11.0915149811213	544	RNA processing	RNA processing
GO:0030488	3	GO:0030488	1	9.79588001734407	39	tRNA methylation	tRNA methylation
GO:0006139	1	GO:0090304	0.873	9.74472749489669	30	nucleobase-containing compound metabolic process	nucleic acid metabolic process
GO:0034641	1	GO:0090304	0.838	8.74472749489669	0	cellular nitrogen compound metabolic process	nucleic acid metabolic process
GO:0006725	1	GO:0090304	0.862	8.60205999132796	1	cellular aromatic compound metabolic process	nucleic acid metabolic process
GO:0046483	1	GO:0090304	0.865	8.58502665202918	6	heterocycle metabolic process	nucleic acid metabolic process
GO:0006310	4	GO:0006310	0.996	8.52287874528034	54	DNA recombination	DNA recombination
GO:0051276	5	GO:0051276	0.991	8.20760831050175	24	chromosome organization	chromosome organization
GO:0016070	1	GO:0090304	0.857	8.11918640771921	7	RNA metabolic process	nucleic acid metabolic process
GO:0006400	6	GO:0006400	0.999	7.95860731484177	28	tRNA modification	tRNA modification
GO:0001510	3	GO:0030488	0.933	7.95860731484177	11	RNA methylation	tRNA methylation
GO:0010467	1	GO:0090304	0.528	7.92081875395237	88	gene expression	nucleic acid metabolic process
GO:0140053	7	GO:0140053	0.998	7.50863830616573	0	mitochondrial gene expression	mitochondrial gene expression
GO:0034470	6	GO:0006400	0.869	7.33724216831843	2	ncRNA processing	tRNA modification
GO:0034660	6	GO:0006400	0.826	7.30980391997149	0	ncRNA metabolic process	tRNA modification
GO:0006261	4	GO:0006310	0.65	7.03151705144607	32	DNA-templated DNA replication	DNA recombination
GO:0043170	1	GO:0090304	0.614	6.67778070526608	1	macromolecule metabolic process	nucleic acid metabolic process
GO:0032543	7	GO:0140053	0.973	6.67778070526608	124	mitochondrial translation	mitochondrial gene expression
GO:1901360	6	GO:0006400	0.422	6.56863623584101	0	organic cyclic compound metabolic process	tRNA modification
GO:0043414	8	GO:0043414	0.996	6.48148606012211	0	macromolecule methylation	macromolecule methylation
GO:0016447	4	GO:0006310	0.849	6.4089353929735	3	somatic recombination of immunoglobulin gene segments	DNA recombination
GO:0009451	3	GO:0030488	0.873	6.2518119729938	1	RNA modification	tRNA methylation
GO:0034645	9	GO:0034645	0.983	6.10790539730952	5	cellular macromolecule biosynthetic process	cellular macromolecule biosynthetic process
GO:0008033	6	GO:0006400	0.968	6.07572071393812	19	tRNA processing	tRNA modification
GO:0022613	10	GO:0022613	0.995	5.95860731484177	1	ribonucleoprotein complex biogenesis	ribonucleoprotein complex biogenesis
GO:0016445	11	GO:0016445	0.999	5.88605664769316	2	somatic diversification of immunoglobulins	somatic diversification of immunoglobulins
GO:0002562	4	GO:0006310	0.86	5.74472749489669	0	somatic diversification of immune receptors via germline recombination within a single locus	DNA recombination
GO:0007052	12	GO:0007052	0.999	5.72124639904717	62	mitotic spindle organization	mitotic spindle organization
GO:0006270	4	GO:0006310	0.563	5.45593195564972	29	DNA replication initiation	DNA recombination
GO:0098813	12	GO:0007052	0.645	5.44369749923271	2	nuclear chromosome segregation	mitotic spindle organization
GO:0006397	13	GO:0006397	0.993	5.4089353929735	180	mRNA processing	mRNA processing
GO:0002204	11	GO:0016445	0.977	5.39794000867204	1	somatic recombination of immunoglobulin genes involved in immune response	somatic diversification of immunoglobulins
GO:0002208	11	GO:0016445	0.98	5.39794000867204	4	somatic diversification of immunoglobulins involved in immune response	somatic diversification of immunoglobulins
GO:0045190	11	GO:0016445	0.976	5.39794000867204	19	isotype switching	somatic diversification of immunoglobulins
GO:0016444	4	GO:0006310	0.86	5.31875876262441	0	somatic cell DNA recombination	DNA recombination
GO:0070125	9	GO:0034645	0.569	5.09691001300806	7	mitochondrial translational elongation	cellular macromolecule biosynthetic process
GO:0002381	11	GO:0016445	0.872	5.06048074738138	17	immunoglobulin production involved in immunoglobulin-mediated immune response	somatic diversification of immunoglobulins
GO:0002200	11	GO:0016445	0.989	5.05551732784983	0	somatic diversification of immune receptors	somatic diversification of immunoglobulins
GO:0045132	12	GO:0007052	0.581	5	4	meiotic chromosome segregation	mitotic spindle organization
GO:0000375	2	GO:0006396	0.85	4.95860731484177	25	RNA splicing, via transesterification reactions	RNA processing
GO:0032259	8	GO:0043414	0.988	4.92081875395237	55	methylation	macromolecule methylation
GO:0016071	13	GO:0006397	0.939	4.92081875395237	6	mRNA metabolic process	mRNA processing
GO:0009059	9	GO:0034645	0.723	4.85387196432176	0	macromolecule biosynthetic process	cellular macromolecule biosynthetic process
GO:0006399	6	GO:0006400	0.931	4.79588001734407	2	tRNA metabolic process	tRNA modification
GO:1902850	12	GO:0007052	0.979	4.79588001734407	2	microtubule cytoskeleton organization involved in mitosis	mitotic spindle organization
GO:0006260	4	GO:0006310	0.679	4.74472749489669	101	DNA replication	DNA recombination
GO:0007059	12	GO:0007052	0.659	4.72124639904717	89	chromosome segregation	mitotic spindle organization
GO:0016570	3	GO:0030488	0.42	4.69897000433602	84	histone modification	tRNA methylation
GO:0044260	4	GO:0006310	0.655	4.67778070526608	0	cellular macromolecule metabolic process	DNA recombination
GO:0000398	2	GO:0006396	0.847	4.60205999132796	345	mRNA splicing, via spliceosome	RNA processing
GO:0000377	2	GO:0006396	0.847	4.60205999132796	0	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	RNA processing
GO:0031123	2	GO:0006396	0.738	4.58502665202918	7	RNA 3'-end processing	RNA processing
GO:0006259	4	GO:0006310	0.809	4.52287874528034	24	DNA metabolic process	DNA recombination
GO:0010564	12	GO:0007052	0.68	4.48148606012211	15	regulation of cell cycle process	mitotic spindle organization
GO:0008608	12	GO:0007052	0.54	4.46852108295774	19	attachment of spindle microtubules to kinetochore	mitotic spindle organization
GO:0090503	14	GO:0090503	1	4.38721614328026	35	RNA phosphodiester bond hydrolysis, exonucleolytic	RNA phosphodiester bond hydrolysis, exonucleolytic
GO:0000280	5	GO:0051276	0.559	4.36653154442041	0	nuclear division	chromosome organization
GO:0140013	12	GO:0007052	0.613	4.30980391997149	4	meiotic nuclear division	mitotic spindle organization
GO:0090306	12	GO:0007052	0.755	4.27572413039921	3	meiotic spindle assembly	mitotic spindle organization
GO:0008380	2	GO:0006396	0.882	4.22184874961636	173	RNA splicing	RNA processing
GO:0043628	2	GO:0006396	0.617	4.17392519729917	0	regulatory ncRNA 3'-end processing	RNA processing
GO:0006325	15	GO:0006325	0.994	4.16115090926274	222	chromatin organization	chromatin organization
GO:0044770	12	GO:0007052	0.661	4.14874165128092	6	cell cycle phase transition	mitotic spindle organization
GO:0007127	12	GO:0007052	0.594	4.05060999335509	7	meiosis I	mitotic spindle organization
GO:0090501	14	GO:0090503	0.899	4.04575749056067	17	RNA phosphodiester bond hydrolysis	RNA phosphodiester bond hydrolysis, exonucleolytic
GO:0044271	9	GO:0034645	0.658	4.03151705144607	0	cellular nitrogen compound biosynthetic process	cellular macromolecule biosynthetic process
GO:0006302	16	GO:0006302	0.996	4.00436480540245	98	double-strand break repair	double-strand break repair
GO:0070126	9	GO:0034645	0.556	3.92081875395238	5	mitochondrial translational termination	cellular macromolecule biosynthetic process
GO:0044772	12	GO:0007052	0.767	3.92081875395238	21	mitotic cell cycle phase transition	mitotic spindle organization
GO:0000725	4	GO:0006310	0.928	3.85387196432176	5	recombinational repair	DNA recombination
GO:0000724	4	GO:0006310	0.925	3.85387196432176	147	double-strand break repair via homologous recombination	DNA recombination
GO:0006364	6	GO:0006400	0.811	3.79588001734407	116	rRNA processing	tRNA modification
GO:0002312	11	GO:0016445	0.388	3.76955107862173	2	B cell activation involved in immune response	somatic diversification of immunoglobulins
GO:0044249	9	GO:0034645	0.678	3.74472749489669	0	cellular biosynthetic process	cellular macromolecule biosynthetic process
GO:0090307	12	GO:0007052	0.949	3.72124639904717	47	mitotic spindle assembly	mitotic spindle organization
GO:0048285	5	GO:0051276	0.564	3.69897000433602	0	organelle fission	chromosome organization
GO:0022402	12	GO:0007052	0.731	3.65757731917779	0	cell cycle process	mitotic spindle organization
GO:0016072	6	GO:0006400	0.756	3.61978875828839	2	rRNA metabolic process	tRNA modification
GO:0000291	13	GO:0006397	0.655	3.60205999132796	2	nuclear-transcribed mRNA catabolic process, exonucleolytic	mRNA processing
GO:1903047	12	GO:0007052	0.813	3.60205999132796	0	mitotic cell cycle process	mitotic spindle organization
GO:0006281	16	GO:0006302	0.906	3.52287874528034	251	DNA repair	double-strand break repair
GO:0006376	10	GO:0022613	0.788	3.50863830616573	23	mRNA splice site selection	ribonucleoprotein complex biogenesis
GO:2000177	17	GO:2000177	0.999	3.50863830616573	8	regulation of neural precursor cell proliferation	regulation of neural precursor cell proliferation
GO:1901576	9	GO:0034645	0.67	3.45593195564972	0	organic substance biosynthetic process	cellular macromolecule biosynthetic process
GO:0006284	16	GO:0006302	0.711	3.42021640338319	38	base-excision repair	double-strand break repair
GO:0009058	9	GO:0034645	0.665	3.4089353929735	15	biosynthetic process	cellular macromolecule biosynthetic process
GO:0043928	13	GO:0006397	0.629	3.38721614328026	17	exonucleolytic catabolism of deadenylated mRNA	mRNA processing
GO:0010948	12	GO:0007052	0.627	3.38721614328026	2	negative regulation of cell cycle process	mitotic spindle organization
GO:0071103	5	GO:0051276	0.796	3.3767507096021	2	DNA conformation change	chromosome organization
GO:0016073	6	GO:0006400	0.687	3.3767507096021	1	snRNA metabolic process	tRNA modification
GO:0009794	12	GO:0007052	0.515	3.35654732351381	1	regulation of mitotic cell cycle, embryonic	mitotic spindle organization
GO:0000082	12	GO:0007052	0.72	3.34678748622466	78	G1/S transition of mitotic cell cycle	mitotic spindle organization
GO:0000075	12	GO:0007052	0.605	3.30980391997149	0	cell cycle checkpoint signaling	mitotic spindle organization
GO:0016180	6	GO:0006400	0.72	3.30102999566398	30	snRNA processing	tRNA modification
GO:0016064	11	GO:0016445	0.401	3.30102999566398	20	immunoglobulin mediated immune response	somatic diversification of immunoglobulins
GO:0019724	11	GO:0016445	0.402	3.30102999566398	4	B cell mediated immunity	somatic diversification of immunoglobulins
GO:0007051	12	GO:0007052	0.959	3.27572413039921	23	spindle organization	mitotic spindle organization
GO:0000819	12	GO:0007052	0.625	3.26760624017703	3	sister chromatid segregation	mitotic spindle organization
GO:2000112	9	GO:0034645	0.873	3.26760624017703	0	regulation of cellular macromolecule biosynthetic process	cellular macromolecule biosynthetic process
GO:0000070	12	GO:0007052	0.729	3.24412514432751	35	mitotic sister chromatid segregation	mitotic spindle organization
GO:0019219	6	GO:0006400	0.41	3.24412514432751	0	regulation of nucleobase-containing compound metabolic process	tRNA modification
GO:0043967	3	GO:0030488	0.358	3.19382002601611	37	histone H4 acetylation	tRNA methylation
GO:0000245	10	GO:0022613	0.838	3.16749108729376	31	spliceosomal complex assembly	ribonucleoprotein complex biogenesis
GO:0007346	12	GO:0007052	0.738	3.15490195998574	68	regulation of mitotic cell cycle	mitotic spindle organization
GO:0002377	11	GO:0016445	0.933	3.14266750356873	89	immunoglobulin production	somatic diversification of immunoglobulins
GO:0090305	14	GO:0090503	0.868	3.13076828026902	78	nucleic acid phosphodiester bond hydrolysis	RNA phosphodiester bond hydrolysis, exonucleolytic
GO:0006807	1	GO:0090304	0.636	3.11918640771921	5	nitrogen compound metabolic process	nucleic acid metabolic process
GO:0070646	3	GO:0030488	0.396	3.05060999335509	2	protein modification by small protein removal	tRNA methylation
GO:0045815	15	GO:0006325	0.735	3.04095860767891	25	transcription initiation-coupled chromatin remodeling	chromatin organization
GO:0044843	12	GO:0007052	0.614	3.01322826573376	2	cell cycle G1/S phase transition	mitotic spindle organization
GO:0051726	12	GO:0007052	0.64	3	250	regulation of cell cycle	mitotic spindle organization
GO:0051303	18	GO:0051303	0.999	2.99139982823808	4	establishment of chromosome localization	establishment of chromosome localization
GO:0000959	6	GO:0006400	0.33	2.97881070093006	1	mitochondrial RNA metabolic process	tRNA modification
GO:0006415	9	GO:0034645	0.626	2.94692155651658	6	translational termination	cellular macromolecule biosynthetic process
GO:0042254	10	GO:0022613	0.954	2.90657831483776	32	ribosome biogenesis	ribonucleoprotein complex biogenesis
GO:0006298	16	GO:0006302	0.69	2.90308998699194	47	mismatch repair	double-strand break repair
GO:0140014	5	GO:0051276	0.53	2.84466396253494	6	mitotic nuclear division	chromosome organization
GO:0008213	3	GO:0030488	0.387	2.83564714421556	0	protein alkylation	tRNA methylation
GO:0006479	3	GO:0030488	0.791	2.83564714421556	37	protein methylation	tRNA methylation
GO:0050000	18	GO:0051303	0.993	2.82102305270683	0	chromosome localization	establishment of chromosome localization
GO:0051225	12	GO:0007052	0.916	2.77989191195995	50	spindle assembly	mitotic spindle organization
GO:0007080	18	GO:0051303	0.968	2.76955107862173	47	mitotic metaphase plate congression	establishment of chromosome localization
GO:0055025	19	GO:0055025	1	2.7619538968712	2	positive regulation of cardiac muscle tissue development	positive regulation of cardiac muscle tissue development
GO:0006406	20	GO:0006406	0.999	2.75448733218585	76	mRNA export from nucleus	mRNA export from nucleus
GO:0051321	12	GO:0007052	0.573	2.75448733218585	68	meiotic cell cycle	mitotic spindle organization
GO:0030261	5	GO:0051276	0.761	2.74714696902011	21	chromosome condensation	chromosome organization
GO:0044786	4	GO:0006310	0.56	2.73992861201493	0	cell cycle DNA replication	DNA recombination
GO:0016579	3	GO:0030488	0.394	2.71896663275227	177	protein deubiquitination	tRNA methylation
GO:0071840	5	GO:0051276	0.571	2.68402965454308	0	cellular component organization or biogenesis	chromosome organization
GO:1903046	12	GO:0007052	0.621	2.66354026615147	0	meiotic cell cycle process	mitotic spindle organization
GO:1901988	12	GO:0007052	0.62	2.6345120151091	1	negative regulation of cell cycle phase transition	mitotic spindle organization
GO:0071704	1	GO:0090304	0.522	2.63264407897398	0	organic substance metabolic process	nucleic acid metabolic process
GO:0061982	12	GO:0007052	0.598	2.61798295742513	0	meiosis I cell cycle process	mitotic spindle organization
GO:0010556	9	GO:0034645	0.694	2.59176003468815	0	regulation of macromolecule biosynthetic process	cellular macromolecule biosynthetic process
GO:0000278	12	GO:0007052	0.792	2.54975089168064	149	mitotic cell cycle	mitotic spindle organization
GO:0007049	12	GO:0007052	0.686	2.53760200210104	283	cell cycle	mitotic spindle organization
GO:0006974	16	GO:0006302	0.855	2.51144928349956	305	cellular response to DNA damage stimulus	double-strand break repair
GO:0007062	5	GO:0051276	0.776	2.50863830616573	20	sister chromatid cohesion	chromosome organization
GO:2001251	5	GO:0051276	0.803	2.48148606012211	1	negative regulation of chromosome organization	chromosome organization
GO:0018205	3	GO:0030488	0.412	2.44369749923271	1	peptidyl-lysine modification	tRNA methylation
GO:1901987	12	GO:0007052	0.646	2.41793663708829	3	regulation of cell cycle phase transition	mitotic spindle organization
GO:0070206	10	GO:0022613	0.444	2.41341269532824	1	protein trimerization	ribonucleoprotein complex biogenesis
GO:0031326	9	GO:0034645	0.635	2.40011692792631	0	regulation of cellular biosynthetic process	cellular macromolecule biosynthetic process
GO:0045448	12	GO:0007052	0.515	2.39361863488939	0	mitotic cell cycle, embryonic	mitotic spindle organization
GO:0019438	9	GO:0034645	0.641	2.36251027048749	0	aromatic compound biosynthetic process	cellular macromolecule biosynthetic process
GO:0007093	12	GO:0007052	0.698	2.32513885926219	4	mitotic cell cycle checkpoint signaling	mitotic spindle organization
GO:0032508	5	GO:0051276	0.778	2.32330639037513	63	DNA duplex unwinding	chromosome organization
GO:0043010	21	GO:0043010	0.997	2.31605286924849	41	camera-type eye development	camera-type eye development
GO:0000387	10	GO:0022613	0.82	2.29670862188134	57	spliceosomal snRNP assembly	ribonucleoprotein complex biogenesis
GO:0022618	10	GO:0022613	0.919	2.29157909986529	2	ribonucleoprotein complex assembly	ribonucleoprotein complex biogenesis
GO:2000178	17	GO:2000177	0.91	2.27901425584626	9	negative regulation of neural precursor cell proliferation	regulation of neural precursor cell proliferation
GO:0018130	9	GO:0034645	0.64	2.26360349772336	0	heterocycle biosynthetic process	cellular macromolecule biosynthetic process
GO:0051052	4	GO:0006310	0.723	2.26280735729526	0	regulation of DNA metabolic process	DNA recombination
GO:0050686	13	GO:0006397	0.721	2.23957751657679	0	negative regulation of mRNA processing	mRNA processing
GO:0006351	9	GO:0034645	0.689	2.23882418684427	188	DNA-templated transcription	cellular macromolecule biosynthetic process
GO:1901863	19	GO:0055025	0.871	2.23582386760967	1	positive regulation of muscle tissue development	positive regulation of cardiac muscle tissue development
GO:0045844	19	GO:0055025	0.982	2.23582386760967	1	positive regulation of striated muscle tissue development	positive regulation of cardiac muscle tissue development
GO:0051310	18	GO:0051303	0.987	2.23062267392386	17	metaphase plate congression	establishment of chromosome localization
GO:0016573	3	GO:0030488	0.387	2.2020403562628	54	histone acetylation	tRNA methylation
GO:0090329	4	GO:0006310	0.578	2.19382002601611	1	regulation of DNA-templated DNA replication	DNA recombination
GO:1901992	12	GO:0007052	0.664	2.17848647159523	3	positive regulation of mitotic cell cycle phase transition	mitotic spindle organization
GO:0034654	9	GO:0034645	0.638	2.1681302257195	0	nucleobase-containing compound biosynthetic process	cellular macromolecule biosynthetic process
GO:0006414	9	GO:0034645	0.693	2.16241156176449	20	translational elongation	cellular macromolecule biosynthetic process
GO:0045935	6	GO:0006400	0.373	2.14935376481693	0	positive regulation of nucleobase-containing compound metabolic process	tRNA modification
GO:0051028	20	GO:0006406	0.966	2.14206473528057	64	mRNA transport	mRNA export from nucleus
GO:0051783	5	GO:0051276	0.483	2.1331221856625	0	regulation of nuclear division	chromosome organization
GO:0006304	4	GO:0006310	0.627	2.11407366019857	3	DNA modification	DNA recombination
GO:0000212	12	GO:0007052	0.785	2.11125903931711	7	meiotic spindle organization	mitotic spindle organization
GO:0018393	3	GO:0030488	0.388	2.10790539730952	7	internal peptidyl-lysine acetylation	tRNA methylation
GO:0031570	12	GO:0007052	0.585	2.08724669632868	0	DNA integrity checkpoint signaling	mitotic spindle organization
GO:0046622	19	GO:0055025	0.437	2.08671609823958	11	positive regulation of organ growth	positive regulation of cardiac muscle tissue development
GO:0048645	21	GO:0043010	0.404	2.07160414774329	5	animal organ formation	camera-type eye development
GO:0032392	5	GO:0051276	0.788	2.07160414774329	4	DNA geometric change	chromosome organization
GO:0000723	5	GO:0051276	0.885	2.03151705144606	68	telomere maintenance	chromosome organization
GO:0044237	1	GO:0090304	0.635	2.02273378757271	0	cellular metabolic process	nucleic acid metabolic process
GO:0040029	15	GO:0006325	0.881	2.00921730819686	27	epigenetic regulation of gene expression	chromatin organization
GO:0032200	5	GO:0051276	0.892	2.00744648216786	27	telomere organization	chromosome organization
