GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0008038	neuron recognition	203	17	3.32	4.0e-08
GO:0071310	cellular response to organic substance	3030	81	49.56	1.8e-06
GO:0008037	cell recognition	335	19	5.48	2.8e-06
GO:0070887	cellular response to chemical stimulus	3727	90	60.95	2.8e-05
GO:0030301	cholesterol transport	124	10	2.03	3.7e-05
GO:0042221	response to chemical	5552	122	90.8	4.2e-05
GO:0009725	response to hormone	1784	51	29.18	4.8e-05
GO:0015918	sterol transport	143	10	2.34	0.00012
GO:0046677	response to antibiotic	804	28	13.15	0.00014
GO:0007166	cell surface receptor signaling pathway	2838	70	46.42	0.00017
GO:0071495	cellular response to endogenous stimulus	2075	55	33.94	0.00018
GO:0034097	response to cytokine	1215	37	19.87	0.00018
GO:0071345	cellular response to cytokine stimulus	1082	34	17.7	0.00019
GO:0010033	response to organic substance	4218	95	68.98	0.00024
GO:0009636	response to toxic substance	1142	35	18.68	0.00024
GO:0009719	response to endogenous stimulus	2626	65	42.95	0.00029
GO:0070848	response to growth factor	937	30	15.32	0.00034
GO:0033993	response to lipid	1404	40	22.96	0.00038
GO:0007519	skeletal muscle tissue development	297	14	4.86	0.00040
GO:0065008	regulation of biological quality	5368	114	87.79	0.00044
GO:0071560	cellular response to transforming growth...	303	14	4.96	0.00048
GO:0071363	cellular response to growth factor stimu...	916	29	14.98	0.00051
GO:0032870	cellular response to hormone stimulus	1144	34	18.71	0.00052
GO:0051100	negative regulation of binding	271	13	4.43	0.00054
GO:0071559	response to transforming growth factor b...	311	14	5.09	0.00063
GO:0071396	cellular response to lipid	796	26	13.02	0.00063
GO:0048545	response to steroid hormone	713	24	11.66	0.00067
GO:0045471	response to ethanol	468	18	7.65	0.00072
GO:0097435	supramolecular fiber organization	1028	31	16.81	0.00073
GO:0009968	negative regulation of signal transducti...	1657	44	27.1	0.00084
GO:0042445	hormone metabolic process	446	17	7.29	0.00111
GO:1901700	response to oxygen-containing compound	2655	63	43.42	0.00112
