#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Pele_DN23834_c0_g1_i1                                  -            103 1-cysPrx_C           PF10417.12    40   1.3e-14   55.0   0.1   1   1   1.5e-17     2e-14   54.4   0.1     1    31    66    96    66   101 0.93 -
Pele_NODE_67479_length_1781_cov_3139_897541_g1559_i35  -            180 1-cysPrx_C           PF10417.12    40   1.5e-13   51.6   0.1   1   1   3.4e-16   4.7e-13   50.0   0.1     1    36   142   173   142   177 0.87 -
Pele_NODE_88038_length_1418_cov_3027_406691_g40329_i0  -            180 1-cysPrx_C           PF10417.12    40   1.5e-13   51.6   0.1   1   1   3.4e-16   4.7e-13   50.0   0.1     1    36   142   173   142   177 0.87 -
Pele_DN6782_c0_g1_i1                                   -            197 1-cysPrx_C           PF10417.12    40   1.8e-13   51.4   0.1   1   1   3.9e-16   5.4e-13   49.8   0.1     1    36   159   190   159   194 0.87 -
Pele_DN6782_c0_g1_i18                                  -            197 1-cysPrx_C           PF10417.12    40   1.8e-13   51.4   0.1   1   1   3.9e-16   5.4e-13   49.8   0.1     1    36   159   190   159   194 0.87 -
Pele_DN6782_c0_g1_i3                                   -            197 1-cysPrx_C           PF10417.12    40   1.8e-13   51.4   0.1   1   1   3.9e-16   5.4e-13   49.8   0.1     1    36   159   190   159   194 0.87 -
Pele_DN136121_c0_g2_i2                                 -            101 1-cysPrx_C           PF10417.12    40   1.1e-12   48.8   0.1   1   1   1.3e-15   1.8e-12   48.1   0.1     1    39    63    97    63    98 0.88 -
Pele_NODE_119599_length_1019_cov_17_855180_g59706_i0   -            220 1-cysPrx_C           PF10417.12    40   2.1e-12   48.0   0.0   1   1   2.5e-15   3.5e-12   47.2   0.0     1    30   182   211   182   217 0.87 -
Pele_NODE_149367_length_760_cov_6012_024745_g82948_i0  -            184 1-cysPrx_C           PF10417.12    40   2.1e-12   47.9   0.3   1   1   4.6e-15   6.4e-12   46.4   0.3     1    27   159   182   159   184 0.93 -
Pele_NODE_157179_length_707_cov_6490_995268_g89796_i0  -            184 1-cysPrx_C           PF10417.12    40   2.1e-12   47.9   0.3   1   1   4.6e-15   6.4e-12   46.4   0.3     1    27   159   182   159   184 0.93 -
Pele_DN25427_c0_g1_i4                                  -            224 1-cysPrx_C           PF10417.12    40   3.2e-12   47.4   0.0   1   1   4.6e-15   6.3e-12   46.4   0.0     1    40   163   202   163   202 0.95 -
