#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Pdum_NODE_67500_length_1846_cov_168_880647_g18928_i0  -            251 1-cysPrx_C           PF10417.12    40   3.3e-15   56.9   0.0   1   1   1.4e-18   6.2e-15   56.0   0.0     1    40   213   248   213   248 0.97 -
Pdum_NODE_68714_length_1819_cov_210_984711_g18928_i1  -            251 1-cysPrx_C           PF10417.12    40   3.3e-15   56.9   0.0   1   1   1.4e-18   6.2e-15   56.0   0.0     1    40   213   248   213   248 0.97 -
Pdum_NODE_69849_length_1796_cov_179_906483_g18928_i2  -            251 1-cysPrx_C           PF10417.12    40   3.3e-15   56.9   0.0   1   1   1.4e-18   6.2e-15   56.0   0.0     1    40   213   248   213   248 0.97 -
Pdum_NODE_70002_length_1793_cov_203_041379_g18928_i3  -            251 1-cysPrx_C           PF10417.12    40   3.3e-15   56.9   0.0   1   1   1.4e-18   6.2e-15   56.0   0.0     1    40   213   248   213   248 0.97 -
Pdum_DN4522_c0_g1_i2                                  -            228 1-cysPrx_C           PF10417.12    40   8.5e-15   55.6   0.2   1   1   3.4e-18   1.5e-14   54.8   0.2     1    40   190   225   190   225 0.96 -
Pdum_DN12939_c0_g1_i2                                 -            246 1-cysPrx_C           PF10417.12    40   1.2e-12   48.7   0.1   1   1   5.3e-16   2.3e-12   47.8   0.1     1    28   208   235   208   243 0.90 -
Pdum_NODE_116444_length_1051_cov_172_559118_g37087_i0 -            212 1-cysPrx_C           PF10417.12    40   2.3e-12   47.8   0.1   1   1     1e-15   4.4e-12   46.9   0.1     1    38   174   207   174   209 0.95 -
Pdum_NODE_99694_length_1287_cov_263_942464_g29604_i0  -            100 1-cysPrx_C           PF10417.12    40   5.7e-12   46.5   0.0   1   1     2e-15   8.6e-12   45.9   0.0     1    38    40    77    40    79 0.93 -
Pdum_NODE_70029_length_1792_cov_1306_772858_g19671_i0 -            224 1-cysPrx_C           PF10417.12    40   1.5e-11   45.2   0.1   1   2       2.8   1.2e+04   -2.5   0.0    19    35    93   109    80   112 0.58 -
Pdum_NODE_70029_length_1792_cov_1306_772858_g19671_i0 -            224 1-cysPrx_C           PF10417.12    40   1.5e-11   45.2   0.1   2   2   8.6e-15   3.8e-11   43.9   0.0     1    38   164   201   164   203 0.93 -
Pdum_NODE_86330_length_1494_cov_1100_804997_g19671_i2 -            224 1-cysPrx_C           PF10417.12    40   1.5e-11   45.2   0.1   1   2       2.8   1.2e+04   -2.5   0.0    19    35    93   109    80   112 0.58 -
