C0,C1,C2,C3,C4,C5,C6,C7
,,,,Pele_DN13913_c0_g1_i11,,,
,,,,,Pele_DN16590_c0_g1_i22,,
,,,,,,Pele_DN31889_c0_g1_i1,
,,,Pele_DN767_c1_g1_i19,,,,
,,,Pele_DN927_c0_g1_i27,,,,
,,,Pele_NODE_1002_length_8458_cov_181_710912_g575_i0,,,,
,,,,,Pele_NODE_36942_length_2658_cov_51_443714_g16154_i0,,
,,,,,Pele_NODE_48216_length_2266_cov_87_154127_g21037_i0,,
,,,,,Pele_NODE_53269_length_2121_cov_137_894043_g18466_i1,,
Pele_NODE_34068_length_2778_cov_17_731978_g14998_i0,,,,,,,
,,,,Pele_NODE_27381_length_3096_cov_85_991068_g11417_i1,,,
,,,,Pele_NODE_30777_length_2929_cov_70_981443_g10607_i2,,,
