query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs	hmmsearch_pfam_domains
Pele_DN0_c0_g1_i16	6412.HelroP158836	3.85e-11	69.7	2D0F6@1|root,2SDZP@2759|Eukaryota,39MC9@33154|Opisthokonta,3CNZB@33208|Metazoa,3E532@33213|Bilateria	33208|Metazoa	S	Broad-Complex, Tramtrack and Bric a brac	-	-	-	-	-	-	-	-	-	-	-	-	BTB	BTB
Pele_DN0_c0_g1_i24	8090.ENSORLP00000019370	7.760000000000001e-29	111.0	KOG1075@1|root,KOG1075@2759|Eukaryota,39Y6T@33154|Opisthokonta,3BEGN@33208|Metazoa,3CZ7K@33213|Bilateria,48DPU@7711|Chordata,49ADZ@7742|Vertebrata,4A4QB@7898|Actinopterygii	33208|Metazoa	S	Ribonuclease H protein	-	-	-	-	-	-	-	-	-	-	-	-	-	
Pele_DN0_c0_g1_i7	7668.SPU_020948-tr	2.47e-95	316.0	KOG1075@1|root,KOG1075@2759|Eukaryota,39N4Q@33154|Opisthokonta,3BPSU@33208|Metazoa,3E41R@33213|Bilateria	33208|Metazoa	IQ	Reverse transcriptase (RNA-dependent DNA polymerase)	-	-	-	-	-	-	-	-	-	-	-	-	RVT_1	RVT_1
Pele_DN100011_c0_g2_i1	946362.XP_004992644.1	2.32e-46	167.0	COG0443@1|root,KOG0100@2759|Eukaryota,38BPF@33154|Opisthokonta	33154|Opisthokonta	O	negative regulation of IRE1-mediated unfolded protein response	HSPA5	GO:0000003,GO:0000166,GO:0000271,GO:0000741,GO:0000742,GO:0000746,GO:0000747,GO:0003674,GO:0003824,GO:0005488,GO:0005509,GO:0005515,GO:0005524,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005737,GO:0005739,GO:0005783,GO:0005788,GO:0005789,GO:0005790,GO:0005793,GO:0005886,GO:0005938,GO:0005975,GO:0005976,GO:0006073,GO:0006355,GO:0006357,GO:0006457,GO:0006508,GO:0006511,GO:0006605,GO:0006612,GO:0006613,GO:0006614,GO:0006616,GO:0006620,GO:0006807,GO:0006810,GO:0006886,GO:0006915,GO:0006950,GO:0006983,GO:0006984,GO:0006986,GO:0006996,GO:0006997,GO:0007154,GO:0007165,GO:0007275,GO:0007399,GO:0007417,GO:0007420,GO:0008104,GO:0008144,GO:0008150,GO:0008152,GO:0008219,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009250,GO:0009267,GO:0009272,GO:0009314,GO:0009410,GO:0009605,GO:0009607,GO:0009628,GO:0009653,GO:0009719,GO:0009889,GO:0009891,GO:0009892,GO:0009893,GO:0009966,GO:0009968,GO:0009986,GO:0009987,GO:0009991,GO:0010033,GO:0010035,GO:0010038,GO:0010042,GO:0010212,GO:0010243,GO:0010332,GO:0010383,GO:0010466,GO:0010468,GO:0010498,GO:0010556,GO:0010557,GO:0010604,GO:0010605,GO:0010608,GO:0010628,GO:0010629,GO:0010646,GO:0010648,GO:0010720,GO:0010941,GO:0010951,GO:0010975,GO:0010976,GO:0012501,GO:0012505,GO:0014070,GO:0014074,GO:0015031,GO:0015833,GO:0016020,GO:0016021,GO:0016043,GO:0016051,GO:0016246,GO:0016441,GO:0016458,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017015,GO:0017076,GO:0017111,GO:0019219,GO:0019222,GO:0019538,GO:0019899,GO:0019904,GO:0019941,GO:0019953,GO:0021549,GO:0021575,GO:0021577,GO:0021587,GO:0021589,GO:0021680,GO:0021695,GO:0022008,GO:0022037,GO:0022414,GO:0023051,GO:0023052,GO:0023057,GO:0030154,GO:0030162,GO:0030163,GO:0030176,GO:0030182,GO:0030334,GO:0030335,GO:0030431,GO:0030433,GO:0030496,GO:0030512,GO:0030554,GO:0030902,GO:0030968,GO:0031047,GO:0031090,GO:0031204,GO:0031224,GO:0031227,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031328,GO:0031344,GO:0031346,GO:0031396,GO:0031398,GO:0031399,GO:0031401,GO:0031625,GO:0031667,GO:0031668,GO:0031669,GO:0031965,GO:0031967,GO:0031974,GO:0031975,GO:0031984,GO:0032091,GO:0032268,GO:0032269,GO:0032270,GO:0032501,GO:0032502,GO:0032507,GO:0032541,GO:0032553,GO:0032555,GO:0032559,GO:0032879,GO:0032940,GO:0032991,GO:0033036,GO:0033365,GO:0033554,GO:0033692,GO:0034097,GO:0034099,GO:0034406,GO:0034613,GO:0034620,GO:0034637,GO:0034645,GO:0034663,GO:0034975,GO:0034976,GO:0035194,GO:0035437,GO:0035639,GO:0035690,GO:0035966,GO:0035967,GO:0036003,GO:0036094,GO:0036335,GO:0036498,GO:0036499,GO:0036500,GO:0036503,GO:0040012,GO:0040017,GO:0040019,GO:0040029,GO:0042149,GO:0042175,GO:0042220,GO:0042221,GO:0042493,GO:0042546,GO:0042592,GO:0042594,GO:0042886,GO:0042981,GO:0043021,GO:0043022,GO:0043066,GO:0043067,GO:0043069,GO:0043086,GO:0043154,GO:0043161,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043209,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043279,GO:0043281,GO:0043393,GO:0043496,GO:0043618,GO:0043620,GO:0043632,GO:0044036,GO:0044038,GO:0044042,GO:0044085,GO:0044092,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044257,GO:0044260,GO:0044262,GO:0044264,GO:0044265,GO:0044267,GO:0044389,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044432,GO:0044444,GO:0044446,GO:0044448,GO:0044464,GO:0044703,GO:0044764,GO:0044877,GO:0045047,GO:0045184,GO:0045185,GO:0045595,GO:0045597,GO:0045664,GO:0045666,GO:0045861,GO:0045893,GO:0045935,GO:0045944,GO:0045995,GO:0046677,GO:0046683,GO:0046872,GO:0046903,GO:0046907,GO:0048284,GO:0048471,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048532,GO:0048583,GO:0048585,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0048872,GO:0050767,GO:0050769,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050896,GO:0051082,GO:0051087,GO:0051094,GO:0051098,GO:0051100,GO:0051128,GO:0051130,GO:0051171,GO:0051172,GO:0051173,GO:0051179,GO:0051234,GO:0051235,GO:0051239,GO:0051240,GO:0051246,GO:0051247,GO:0051248,GO:0051252,GO:0051254,GO:0051270,GO:0051272,GO:0051273,GO:0051274,GO:0051278,GO:0051336,GO:0051346,GO:0051402,GO:0051591,GO:0051592,GO:0051603,GO:0051641,GO:0051649,GO:0051651,GO:0051704,GO:0051716,GO:0051787,GO:0051960,GO:0051962,GO:0052547,GO:0052548,GO:0055085,GO:0060255,GO:0060284,GO:0060322,GO:0060359,GO:0060548,GO:0060904,GO:0065002,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070589,GO:0070592,GO:0070670,GO:0070727,GO:0070848,GO:0070879,GO:0070880,GO:0070887,GO:0070972,GO:0070997,GO:0071214,GO:0071216,GO:0071236,GO:0071241,GO:0071248,GO:0071277,GO:0071287,GO:0071310,GO:0071320,GO:0071345,GO:0071353,GO:0071363,GO:0071407,GO:0071417,GO:0071478,GO:0071479,GO:0071480,GO:0071495,GO:0071496,GO:0071554,GO:0071702,GO:0071704,GO:0071705,GO:0071782,GO:0071806,GO:0071840,GO:0071852,GO:0071944,GO:0071966,GO:0072347,GO:0072594,GO:0072595,GO:0072599,GO:0072657,GO:0080090,GO:0080134,GO:0080135,GO:0090074,GO:0090092,GO:0090101,GO:0090150,GO:0090287,GO:0090288,GO:0097038,GO:0097159,GO:0097367,GO:0097501,GO:0098827,GO:0099020,GO:0099021,GO:0099568,GO:0104004,GO:0120035,GO:1900101,GO:1900102,GO:1901265,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901576,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1901998,GO:1902074,GO:1902680,GO:1903320,GO:1903322,GO:1903332,GO:1903506,GO:1903508,GO:1903573,GO:1903844,GO:1903845,GO:1903891,GO:1903894,GO:1903895,GO:1903897,GO:1904313,GO:1905897,GO:1990089,GO:1990090,GO:1990440,GO:2000026,GO:2000112,GO:2000116,GO:2000117,GO:2000145,GO:2000147,GO:2001141	-	ko:K09490	ko03060,ko04141,ko04918,ko05020,map03060,map04141,map04918,map05020	-	-	-	ko00000,ko00001,ko03110,ko04131,ko04147	1.A.33	-	-	HSP70	HSP70, Radial_spoke_3
Pele_DN100011_c0_g3_i1	10029.NP_001233668.1	1.26e-139	416.0	COG0443@1|root,KOG0100@2759|Eukaryota,38BPF@33154|Opisthokonta,3B99M@33208|Metazoa,3CZ71@33213|Bilateria,4817Y@7711|Chordata,48WW0@7742|Vertebrata,3JA4R@40674|Mammalia,35HE6@314146|Euarchontoglires,4PXMG@9989|Rodentia	33208|Metazoa	O	plays a role in facilitating the assembly of multimeric protein complexes inside the endoplasmic reticulum. Involved in the correct folding of proteins and degradation of misfolded proteins via its interaction with DNAJC10, probably to facilitate the release of DNAJC10 from its substrate	HSPA5	GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005509,GO:0005515,GO:0005524,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005739,GO:0005783,GO:0005788,GO:0005789,GO:0005790,GO:0005793,GO:0005886,GO:0006355,GO:0006357,GO:0006457,GO:0006508,GO:0006511,GO:0006807,GO:0006810,GO:0006915,GO:0006950,GO:0006983,GO:0006984,GO:0006986,GO:0007154,GO:0007165,GO:0007275,GO:0007399,GO:0007417,GO:0007420,GO:0008104,GO:0008144,GO:0008150,GO:0008152,GO:0008219,GO:0009056,GO:0009057,GO:0009267,GO:0009314,GO:0009410,GO:0009605,GO:0009607,GO:0009628,GO:0009653,GO:0009719,GO:0009889,GO:0009891,GO:0009892,GO:0009893,GO:0009966,GO:0009968,GO:0009986,GO:0009987,GO:0009991,GO:0010033,GO:0010035,GO:0010038,GO:0010042,GO:0010212,GO:0010243,GO:0010332,GO:0010466,GO:0010468,GO:0010498,GO:0010556,GO:0010557,GO:0010604,GO:0010605,GO:0010608,GO:0010628,GO:0010629,GO:0010646,GO:0010648,GO:0010720,GO:0010941,GO:0010951,GO:0010975,GO:0010976,GO:0012501,GO:0012505,GO:0014070,GO:0014074,GO:0016020,GO:0016021,GO:0016246,GO:0016441,GO:0016458,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017015,GO:0017076,GO:0017111,GO:0019219,GO:0019222,GO:0019538,GO:0019899,GO:0019904,GO:0019941,GO:0021549,GO:0021575,GO:0021577,GO:0021587,GO:0021589,GO:0021680,GO:0021695,GO:0022008,GO:0022037,GO:0023051,GO:0023052,GO:0023057,GO:0030154,GO:0030162,GO:0030163,GO:0030176,GO:0030182,GO:0030334,GO:0030335,GO:0030431,GO:0030433,GO:0030496,GO:0030512,GO:0030554,GO:0030902,GO:0030968,GO:0031047,GO:0031224,GO:0031227,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031328,GO:0031344,GO:0031346,GO:0031396,GO:0031398,GO:0031399,GO:0031401,GO:0031625,GO:0031667,GO:0031668,GO:0031669,GO:0031974,GO:0031984,GO:0032091,GO:0032268,GO:0032269,GO:0032270,GO:0032501,GO:0032502,GO:0032507,GO:0032553,GO:0032555,GO:0032559,GO:0032879,GO:0032991,GO:0033036,GO:0033365,GO:0033554,GO:0034097,GO:0034613,GO:0034620,GO:0034663,GO:0034975,GO:0034976,GO:0035194,GO:0035437,GO:0035639,GO:0035690,GO:0035966,GO:0035967,GO:0036003,GO:0036094,GO:0036335,GO:0036498,GO:0036499,GO:0036500,GO:0036503,GO:0040012,GO:0040017,GO:0040019,GO:0040029,GO:0042149,GO:0042175,GO:0042220,GO:0042221,GO:0042493,GO:0042592,GO:0042594,GO:0042981,GO:0043021,GO:0043022,GO:0043066,GO:0043067,GO:0043069,GO:0043086,GO:0043154,GO:0043161,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043209,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043279,GO:0043281,GO:0043393,GO:0043496,GO:0043618,GO:0043620,GO:0043632,GO:0044092,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044389,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0044877,GO:0045185,GO:0045595,GO:0045597,GO:0045664,GO:0045666,GO:0045861,GO:0045893,GO:0045935,GO:0045944,GO:0045995,GO:0046677,GO:0046683,GO:0046872,GO:0048471,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048532,GO:0048583,GO:0048585,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0048872,GO:0050767,GO:0050769,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050896,GO:0051082,GO:0051087,GO:0051094,GO:0051098,GO:0051100,GO:0051128,GO:0051130,GO:0051171,GO:0051172,GO:0051173,GO:0051179,GO:0051234,GO:0051235,GO:0051239,GO:0051240,GO:0051246,GO:0051247,GO:0051248,GO:0051252,GO:0051254,GO:0051270,GO:0051272,GO:0051336,GO:0051346,GO:0051402,GO:0051591,GO:0051592,GO:0051603,GO:0051641,GO:0051651,GO:0051716,GO:0051787,GO:0051960,GO:0051962,GO:0052547,GO:0052548,GO:0060255,GO:0060284,GO:0060322,GO:0060359,GO:0060548,GO:0060904,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070670,GO:0070727,GO:0070848,GO:0070887,GO:0070972,GO:0070997,GO:0071214,GO:0071216,GO:0071236,GO:0071241,GO:0071248,GO:0071277,GO:0071287,GO:0071310,GO:0071320,GO:0071345,GO:0071353,GO:0071363,GO:0071407,GO:0071417,GO:0071478,GO:0071479,GO:0071480,GO:0071495,GO:0071496,GO:0071704,GO:0071944,GO:0072347,GO:0072595,GO:0080090,GO:0080134,GO:0080135,GO:0090074,GO:0090092,GO:0090101,GO:0090287,GO:0090288,GO:0097159,GO:0097367,GO:0097501,GO:0098827,GO:0104004,GO:0120035,GO:1900101,GO:1900102,GO:1901265,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1901998,GO:1902074,GO:1902680,GO:1903320,GO:1903322,GO:1903332,GO:1903506,GO:1903508,GO:1903573,GO:1903844,GO:1903845,GO:1903891,GO:1903894,GO:1903895,GO:1903897,GO:1904313,GO:1905897,GO:1990089,GO:1990090,GO:1990440,GO:2000026,GO:2000112,GO:2000116,GO:2000117,GO:2000145,GO:2000147,GO:2001141	-	ko:K09490	ko03060,ko04141,ko04918,ko05020,map03060,map04141,map04918,map05020	-	-	-	ko00000,ko00001,ko03110,ko04131,ko04147	1.A.33	-	-	HSP70	FGGY_C, HSP70, MreB_Mbl
Pele_DN10004_c1_g4_i2	6412.HelroP180072	3.69e-50	166.0	COG5199@1|root,KOG2046@2759|Eukaryota	2759|Eukaryota	Z	actin binding	SCP1	GO:0000278,GO:0000281,GO:0000910,GO:0001300,GO:0003674,GO:0003779,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005856,GO:0005938,GO:0006996,GO:0007010,GO:0007015,GO:0007049,GO:0007568,GO:0007569,GO:0008092,GO:0008150,GO:0009987,GO:0015629,GO:0016043,GO:0022402,GO:0030029,GO:0030036,GO:0030479,GO:0030674,GO:0030863,GO:0030864,GO:0032502,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044448,GO:0044464,GO:0044877,GO:0048869,GO:0051015,GO:0051301,GO:0051764,GO:0060090,GO:0061640,GO:0061645,GO:0071840,GO:0071944,GO:0097435,GO:0099568,GO:1903047	-	ko:K20526	-	-	-	-	ko00000,ko04131	-	-	-	CH	CH
Pele_DN10013_c0_g1_i1	6500.XP_005107760.1	9.56e-166	519.0	KOG1845@1|root,KOG1845@2759|Eukaryota,38H53@33154|Opisthokonta,3BH9S@33208|Metazoa,3CYEA@33213|Bilateria	33208|Metazoa	D	MORC family CW-type zinc finger	MORC4	GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0031974,GO:0031981,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0070013	-	-	-	-	-	-	-	-	-	-	HATPase_c_3,zf-CW	HATPase_c_3, Morc6_S5, zf-CW
Pele_DN10013_c0_g2_i3	7719.XP_002130913.1	2.6999999999999997e-25	101.0	COG0589@1|root,2RXWD@2759|Eukaryota,3A8EK@33154|Opisthokonta,3C23A@33208|Metazoa,3DI4Y@33213|Bilateria	33208|Metazoa	T	Universal stress protein family	-	-	-	-	-	-	-	-	-	-	-	-	Usp	Usp
Pele_DN10013_c1_g1_i14	6412.HelroP90313	5.5200000000000006e-58	195.0	KOG2720@1|root,KOG2720@2759|Eukaryota,38FTI@33154|Opisthokonta,3BHM3@33208|Metazoa,3D1GE@33213|Bilateria	33208|Metazoa	S	GDP-D-glucose phosphorylase activity	GDPGP1	GO:0003674,GO:0003824,GO:0004645,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005975,GO:0005996,GO:0006006,GO:0008150,GO:0008152,GO:0016740,GO:0016757,GO:0016758,GO:0019318,GO:0044238,GO:0044281,GO:0044424,GO:0044464,GO:0071704,GO:0080048	2.7.7.78	ko:K15630	-	-	-	-	ko00000,ko01000	-	-	-	-	
Pele_DN10014_c0_g1_i3	7176.CPIJ006942-PA	1.06e-11	73.6	KOG3656@1|root,KOG3656@2759|Eukaryota,39X7E@33154|Opisthokonta,3BRWX@33208|Metazoa,3DCQ7@33213|Bilateria,41ZY5@6656|Arthropoda,3SKZ7@50557|Insecta,458FS@7147|Diptera,45DDB@7148|Nematocera	33208|Metazoa	T	Belongs to the G-protein coupled receptor 1 family	OR1L8	GO:0001653,GO:0003008,GO:0003674,GO:0004888,GO:0004930,GO:0004984,GO:0005575,GO:0005623,GO:0005886,GO:0007154,GO:0007165,GO:0007186,GO:0007218,GO:0007600,GO:0007606,GO:0007608,GO:0008150,GO:0008188,GO:0008528,GO:0009593,GO:0009987,GO:0016020,GO:0016021,GO:0023052,GO:0031224,GO:0032501,GO:0038023,GO:0042221,GO:0044425,GO:0044464,GO:0050789,GO:0050794,GO:0050877,GO:0050896,GO:0050906,GO:0050907,GO:0050911,GO:0051606,GO:0051716,GO:0060089,GO:0065007,GO:0071944	-	ko:K04257	ko04740,map04740	-	-	-	ko00000,ko00001,ko04030	-	-	-	7tm_1	7tm_1, 7TM_GPCR_Srw
