#                                                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Pele_DN23834_c0_g1_i1                                  -          1-cysPrx_C           PF10417.12   1.3e-14   55.0   0.1     2e-14   54.4   0.1   1.3   1   0   0   1   1   1   1 -
Pele_NODE_67479_length_1781_cov_3139_897541_g1559_i35  -          1-cysPrx_C           PF10417.12   1.5e-13   51.6   0.1   4.7e-13   50.0   0.1   1.8   2   0   0   2   2   1   1 -
Pele_NODE_88038_length_1418_cov_3027_406691_g40329_i0  -          1-cysPrx_C           PF10417.12   1.5e-13   51.6   0.1   4.7e-13   50.0   0.1   1.8   2   0   0   2   2   1   1 -
Pele_DN6782_c0_g1_i1                                   -          1-cysPrx_C           PF10417.12   1.8e-13   51.4   0.1   5.4e-13   49.8   0.1   1.8   2   0   0   2   2   1   1 -
Pele_DN6782_c0_g1_i18                                  -          1-cysPrx_C           PF10417.12   1.8e-13   51.4   0.1   5.4e-13   49.8   0.1   1.8   2   0   0   2   2   1   1 -
Pele_DN6782_c0_g1_i3                                   -          1-cysPrx_C           PF10417.12   1.8e-13   51.4   0.1   5.4e-13   49.8   0.1   1.8   2   0   0   2   2   1   1 -
Pele_DN136121_c0_g2_i2                                 -          1-cysPrx_C           PF10417.12   1.1e-12   48.8   0.1   1.8e-12   48.1   0.1   1.3   1   0   0   1   1   1   1 -
Pele_NODE_119599_length_1019_cov_17_855180_g59706_i0   -          1-cysPrx_C           PF10417.12   2.1e-12   48.0   0.0   3.5e-12   47.2   0.0   1.4   1   0   0   1   1   1   1 -
Pele_NODE_149367_length_760_cov_6012_024745_g82948_i0  -          1-cysPrx_C           PF10417.12   2.1e-12   47.9   0.3   6.4e-12   46.4   0.3   1.9   2   0   0   2   2   1   1 -
Pele_NODE_157179_length_707_cov_6490_995268_g89796_i0  -          1-cysPrx_C           PF10417.12   2.1e-12   47.9   0.3   6.4e-12   46.4   0.3   1.9   2   0   0   2   2   1   1 -
Pele_DN25427_c0_g1_i4                                  -          1-cysPrx_C           PF10417.12   3.2e-12   47.4   0.0   6.3e-12   46.4   0.0   1.5   1   0   0   1   1   1   1 -
Pele_NODE_92311_length_1352_cov_9570_408913_g42704_i0  -          1-cysPrx_C           PF10417.12   3.2e-12   47.4   0.0   6.3e-12   46.4   0.0   1.5   1   0   0   1   1   1   1 -
Pele_NODE_78898_length_1567_cov_2771_184739_g35570_i0  -          1-cysPrx_C           PF10417.12   4.1e-12   47.0   0.0   6.8e-12   46.3   0.0   1.4   1   0   0   1   1   1   1 -
Pele_NODE_82390_length_1508_cov_1533_411150_g35570_i1  -          1-cysPrx_C           PF10417.12   4.1e-12   47.0   0.0   6.8e-12   46.3   0.0   1.4   1   0   0   1   1   1   1 -
Pele_NODE_83143_length_1496_cov_2615_001405_g278_i512  -          1-cysPrx_C           PF10417.12   4.4e-12   46.9   0.1     8e-12   46.1   0.1   1.5   1   0   0   1   1   1   1 -
Pele_DN276249_c0_g1_i1                                 -          1-cysPrx_C           PF10417.12   4.5e-12   46.9   0.1   7.7e-12   46.1   0.1   1.4   1   0   0   1   1   1   1 -
Pele_NODE_114564_length_1072_cov_3782_426426_g56286_i0 -          1-cysPrx_C           PF10417.12     5e-12   46.7   0.3   1.2e-11   45.5   0.3   1.7   1   0   0   1   1   1   1 -
Pele_DN251162_c0_g1_i1                                 -          1-cysPrx_C           PF10417.12   5.4e-12   46.6   0.0     1e-11   45.7   0.0   1.5   1   0   0   1   1   1   1 -
Pele_NODE_112110_length_1099_cov_146_548733_g54652_i0  -          1-cysPrx_C           PF10417.12   5.4e-12   46.6   0.1   9.1e-12   45.9   0.1   1.4   1   0   0   1   1   1   1 -
Pele_DN3949_c0_g1_i5                                   -          1-cysPrx_C           PF10417.12   1.2e-11   45.5   0.7   2.4e-11   44.6   0.7   1.6   1   0   0   1   1   1   1 -
Pele_DN3949_c0_g1_i6                                   -          1-cysPrx_C           PF10417.12   1.3e-11   45.4   0.7   2.4e-11   44.5   0.7   1.5   1   0   0   1   1   1   1 -
Pele_DN47954_c0_g1_i2                                  -          1-cysPrx_C           PF10417.12   1.3e-11   45.4   0.0   2.5e-11   44.5   0.0   1.5   1   0   0   1   1   1   1 -
Pele_NODE_152676_length_738_cov_35_323308_g85792_i0    -          1-cysPrx_C           PF10417.12   2.2e-11   44.7   0.0   4.1e-11   43.8   0.0   1.4   1   0   0   1   1   1   1 -
Pele_DN3809_c0_g1_i2                                   -          1-cysPrx_C           PF10417.12   4.7e-11   43.6   1.2   8.9e-11   42.7   0.2   2.0   2   0   0   2   2   2   1 -
Pele_DN282061_c0_g1_i1                                 -          1-cysPrx_C           PF10417.12   6.1e-11   43.3   0.0   1.3e-10   42.2   0.0   1.6   1   0   0   1   1   1   1 -
Pele_DN3809_c0_g1_i1                                   -          1-cysPrx_C           PF10417.12   1.9e-10   41.7   0.1   3.8e-10   40.7   0.1   1.5   1   0   0   1   1   1   1 -
Pele_DN3809_c0_g1_i3                                   -          1-cysPrx_C           PF10417.12   1.9e-10   41.7   0.1   3.8e-10   40.7   0.1   1.5   1   0   0   1   1   1   1 -
Pele_DN166610_c0_g1_i1                                 -          1-cysPrx_C           PF10417.12   1.8e-09   38.5   0.1   3.3e-09   37.7   0.1   1.4   1   0   0   1   1   1   1 -
Pele_NODE_143593_length_803_cov_5_464384_g78044_i0     -          1-cysPrx_C           PF10417.12     2e-08   35.2   0.3   3.5e-08   34.5   0.3   1.4   1   0   0   1   1   1   1 -
Pele_NODE_190484_length_537_cov_2_728448_g121354_i0    -          1-cysPrx_C           PF10417.12   1.4e-07   32.5   0.0     4e-07   31.0   0.0   1.7   2   0   0   2   2   2   1 -
Pele_NODE_150001_length_756_cov_25_469985_g83483_i0    -          1-cysPrx_C           PF10417.12    0.0069   17.5   0.1     0.012   16.8   0.1   1.4   1   0   0   1   1   1   1 -
Pele_DN3340_c1_g1_i3                                   -          1-cysPrx_C           PF10417.12      0.21   12.7   0.0      0.89   10.7   0.0   2.1   1   0   0   1   1   1   0 -
Pele_DN3340_c1_g1_i17                                  -          1-cysPrx_C           PF10417.12      0.22   12.7   0.0       0.9   10.7   0.0   2.1   1   0   0   1   1   1   0 -
Pele_NODE_28788_length_3023_cov_23_601017_g12784_i0     -          14-3-3               PF00244.23  1.3e-104  349.9   3.0  1.5e-104  349.7   3.0   1.0   1   0   0   1   1   1   1 -
Pele_NODE_110706_length_1114_cov_1032_348703_g50662_i1  -          14-3-3               PF00244.23  9.1e-104  347.1   8.1  1.1e-103  346.9   8.1   1.0   1   0   0   1   1   1   1 -
Pele_NODE_79976_length_1548_cov_303_623051_g36114_i0    -          14-3-3               PF00244.23  8.9e-102  340.6  10.3    1e-101  340.4  10.3   1.0   1   0   0   1   1   1   1 -
Pele_DN19832_c0_g1_i2                                   -          14-3-3               PF00244.23  1.6e-101  339.8   6.1  1.8e-101  339.7   6.1   1.0   1   0   0   1   1   1   1 -
Pele_NODE_106723_length_1161_cov_897_362132_g51231_i0   -          14-3-3               PF00244.23  1.6e-101  339.8   6.1  1.8e-101  339.7   6.1   1.0   1   0   0   1   1   1   1 -
Pele_NODE_115069_length_1067_cov_16_726358_g56623_i0    -          14-3-3               PF00244.23  6.3e-101  337.9  12.1  7.2e-101  337.7  12.1   1.0   1   0   0   1   1   1   1 -
Pele_NODE_99422_length_1254_cov_463_165961_g46730_i0    -          14-3-3               PF00244.23  8.3e-100  334.2   8.0  9.5e-100  334.0   8.0   1.0   1   0   0   1   1   1   1 -
Pele_NODE_31611_length_2889_cov_31_131392_g13974_i0     -          14-3-3               PF00244.23   1.5e-97  326.8   6.7   5.3e-97  325.0   6.7   1.7   1   1   0   1   1   1   1 -
Pele_DN62209_c0_g1_i1                                   -          14-3-3               PF00244.23   2.1e-97  326.3   9.9   2.4e-97  326.1   9.9   1.0   1   0   0   1   1   1   1 -
Pele_NODE_147559_length_773_cov_41_904286_g81394_i0     -          14-3-3               PF00244.23   2.7e-97  326.0   6.3     3e-97  325.8   6.3   1.0   1   0   0   1   1   1   1 -
Pele_DN8566_c1_g1_i2                                    -          14-3-3               PF00244.23   1.2e-96  323.9   8.2   4.1e-96  322.1   8.2   1.7   1   1   0   1   1   1   1 -
Pele_NODE_143814_length_801_cov_188_877747_g78234_i0    -          14-3-3               PF00244.23   4.9e-96  321.9   7.6   5.5e-96  321.7   7.6   1.0   1   0   0   1   1   1   1 -
Pele_DN8566_c1_g1_i1                                    -          14-3-3               PF00244.23   3.9e-94  315.7   9.1   1.5e-93  313.8   9.1   1.7   1   1   0   1   1   1   1 -
Pele_DN2669_c0_g1_i1                                    -          14-3-3               PF00244.23   9.5e-92  307.8   2.1   1.1e-91  307.7   2.1   1.0   1   0   0   1   1   1   1 -
Pele_NODE_139614_length_835_cov_73_317585_g74804_i0     -          14-3-3               PF00244.23   4.7e-90  302.3   7.5   5.3e-90  302.1   7.5   1.0   1   0   0   1   1   1   1 -
Pele_DN1049_c0_g1_i1                                    -          14-3-3               PF00244.23   1.5e-88  297.4   6.5   1.8e-88  297.1   6.5   1.1   1   0   0   1   1   1   1 -
Pele_NODE_57014_length_2021_cov_9488_239733_g3354_i3    -          14-3-3               PF00244.23   1.2e-75  255.2   3.4   1.4e-75  255.0   3.4   1.0   1   0   0   1   1   1   1 -
Pele_DN44522_c0_g1_i1                                   -          14-3-3               PF00244.23   8.9e-72  242.5   1.8     1e-71  242.4   1.8   1.0   1   0   0   1   1   1   1 -
Pele_NODE_105172_length_1180_cov_11592_121951_g46001_i1 -          14-3-3               PF00244.23   1.3e-69  235.4   0.8   1.7e-69  235.1   0.8   1.0   1   0   0   1   1   1   1 -
Pele_NODE_140026_length_832_cov_6_401845_g75139_i0      -          14-3-3               PF00244.23   9.3e-68  229.4   1.4   1.1e-67  229.1   1.4   1.1   1   0   0   1   1   1   1 -
Pele_DN270679_c0_g1_i1                                  -          14-3-3               PF00244.23   4.3e-65  220.7  10.5   4.9e-65  220.5  10.5   1.0   1   0   0   1   1   1   1 -
Pele_NODE_33340_length_2809_cov_5718_863670_g14585_i1   -          14-3-3               PF00244.23   2.5e-45  156.1   1.2   1.2e-44  153.8   1.2   1.8   1   1   0   1   1   1   1 -
